post_id,title,url,category,category_name,tags,keywords,meta_title,meta_description,search_intent,primary_keyword,secondary_keywords,duplicate_risk,recommended_cluster,recommended_pillar,title_needs_fix,meta_needs_fix,internal_link_targets,merge_candidate,keep_status,recommended_title,recommended_meta_description,seo_priority,factcheck_needed,sc_impressions,sc_clicks,sc_ctr,sc_average_position
2026-07-30-products-56,"빈집 걱정 끝! 1인 가구를 위한 가정용 보안카메라, 이 5가지만 보고 고르세요",https://honsamnote.co.kr/blog/2026-07-30-products-56/,products,1인 가구 제품·서비스,1인 가구; 보안 카메라; 가정용 CCTV; 집 지키기; 스마트 홈,1인 가구 보안 카메라; 가정용 보안 카메라 추천; 원룸 보안; CCTV 설치; 혼자 사는 집 안전,"빈집 걱정 끝! 1인 가구를 위한 가정용 보안카메라, 이 5가지만 보고 고르세요 | 혼삶노트","혼자 사는 당신, 빈집 걱정에 불안한가요? 1인 가구를 위한 가정용 보안카메라, 꼼꼼하게 선택하고 설치하는 현실적인 방법을 알려드립니다. 시간과 돈을 아끼면서 안전을 지키는 비결을 확인하세요.",문제해결형,1인 가구 보안 카메라,가정용 보안 카메라 추천; 원룸 보안; CCTV 설치; 혼자 사는 집 안전,낮음,1인 가구 제품·서비스 기타,예,예,예,2026-08-07-products-auto-b07e5f; 2026-07-30-products-51; 2026-07-30-products-53; 2026-07-30-products-55; 2026-07-30-products-57; 2026-07-31-products-75,아니오,유지,1인 가구 보안 카메라 해결 방법,의 빈집 걱정을 덜어줄 가장 현실적인 해결책 중 하나는 바로 '가정용 보안카메라'입니다.,87,아니오,,,,
2026-07-30-products-57,"바쁜 1인 가구 직장인, 장보기 시간 아깝다면? 돈과 시간 아끼는 정기배송 서비스 선택 가이드",https://honsamnote.co.kr/blog/2026-07-30-products-57/,products,1인 가구 제품·서비스,1인 가구; 정기배송; 생활 최적화; 시간 절약; 돈 아끼기,정기배송 서비스 비교; 1인 가구 식단; 생필품 정기배송; 구독 서비스; 싱글 라이프 팁,"바쁜 1인 가구 직장인, 장보기 시간 아깝다면? 돈과 시간 아끼는 정기배송 서비스 선택 가이드 | 혼삶노트","퇴근 후 번거로운 장보기에 지친 1인 가구 직장인을 위한 정기배송 서비스 비교 가이드입니다. 식료품, 생필품 등 다양한 구독 서비스를 내 생활 패턴에 맞춰 현명하게 선택하고 시간과 비용을 절약하는 현실적인 노하우를 알려드립니다.",질문형,정기배송 서비스 비교,1인 가구 식단; 생필품 정기배송; 구독 서비스; 싱글 라이프 팁,낮음,1인 가구 제품·서비스 기타,예,예,예,2026-08-03-products-auto-55fd7c; 2026-08-05-products-auto-9973a7; 2026-08-06-products-auto-2eb0f5; 2026-08-07-products-auto-e9e85e; 2026-08-11-products-auto-fb26b6; 2026-07-30-products-51,아니오,유지,정기배송 서비스 비교 알아보기,"정기배송 서비스는 이 시간과 에너지를 절약하고, 예측 가능한 소비로 가계를 효율적으로 운영할 수 있게 돕는 강력한 대안입니다.",87,아니오,,,,
2026-07-30-safety-33,"혼자 사는 당신, 갑자기 아플 때 후회하지 않을 '생활 비상 키트' 미리 준비하기",https://honsamnote.co.kr/blog/2026-07-30-safety-33/,safety,안전·응급상황,1인 가구 안전; 혼자 아플 때; 비상약; 응급상황 대처; 생활 최적화,혼자 아플 때; 1인 가구; 비상약; 응급상황; 병원 갈 때; 생활 가이드; 건강 관리,"혼자 사는 당신, 갑자기 아플 때 후회하지 않을 '생활 비상 키트' 미리 준비하기 | 혼삶노트","혼자 사는 당신, 갑자기 아프면 서럽고 막막하죠? 응급 상황에 당황하지 않고 대처할 필수 준비물과 절차를 단계별로 안내합니다. 아플 때 후회하지 않도록 미리 대비하세요!",문제해결형,혼자 아플 때,1인 가구; 비상약; 응급상황; 병원 갈 때; 생활 가이드; 건강 관리,낮음,응급상황 대처,예,예,예,2026-08-01-safety-auto-a71046; 2026-08-06-safety-auto-9df39e; 2026-07-30-safety-36; 2026-08-06-safety-auto-b35351; 2026-07-30-safety-41; 2026-08-01-safety-auto-1a5c71,아니오,유지,혼자 아플 때 해결 방법,"혼자 살면서 아플 때의 막막함을 해결하는 가장 확실한 방법은, 아프기 전에 미리 준비해 두는 것입니다.",87,아니오,,,,
2026-07-30-safety-36,"혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요",https://honsamnote.co.kr/blog/2026-07-30-safety-36/,safety,안전·응급상황,안전; 1인 가구; 가스 냄새; 비상 상황; 생활 팁,가스 냄새 대처법; 혼자 살 때 안전; 도시가스; 가스 사고; 응급상황,"혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요 | 혼삶노트","퇴근 후 맡은 가스 냄새, 혼자 사는 집에서 당황스럽다면? 침착하게 상황을 판단하고 안전하게 대처하는 7단계 방법을 알아봅니다. 1인 가구의 안전을 최우선으로!",문제해결형,가스 냄새 대처법,혼자 살 때 안전; 도시가스; 가스 사고; 응급상황,낮음,응급상황 대처,예,예,아니오,2026-08-08-safety-auto-2186aa; 2026-07-30-safety-34; 2026-07-30-safety-41; 2026-07-31-safety-72; 2026-08-04-safety-auto-61ce38; 2026-08-06-safety-auto-425601,아니오,유지,가스 냄새 대처법 해결 방법,"만약 가스 냄새가 확실하게 느껴진다면, 당황하지 말고 즉시 **모든 창문을 활짝 열어 환기**시키세요.",87,아니오,,,,
2026-07-30-safety-41,"혼자 사는 당신이 아프거나 연락 안 될 때: 위기 상황 대비 비상연락망, 이렇게 만드세요!",https://honsamnote.co.kr/blog/2026-07-30-safety-41/,safety,안전·응급상황,1인 가구; 안전; 비상연락망; 응급상황; 생활 최적화; 위기대응,1인 가구 안전; 비상연락망 만들기; 혼자 살 때 응급상황; 위기 대비; 독거 생활 안전; 직장인 안전,"혼자 사는 당신이 아프거나 연락 안 될 때: 위기 상황 대비 비상연락망, 이렇게 만드세요! | 혼삶노트","1인 가구 직장인이 갑작스러운 비상 상황에 대비해 효율적인 비상연락망을 구축하는 방법을 알려드립니다. 단순한 연락처 저장을 넘어, 실제로 나를 도울 수 있는 시스템을 만드는 현실적인 가이드입니다.",문제해결형,1인 가구 안전,비상연락망 만들기; 혼자 살 때 응급상황; 위기 대비; 독거 생활 안전; 직장인 안전,낮음,응급상황 대처,예,예,예,2026-07-30-safety-34; 2026-08-06-safety-auto-ec7c17; 2026-08-01-safety-auto-0466e2; 2026-08-04-safety-auto-ceca45; 2026-08-06-safety-auto-0b96ff; 2026-08-06-safety-auto-d2f981,아니오,유지,1인 가구 안전 해결 방법,1인 가구의 비상연락망은 단순히 지인들의 전화번호를 모아둔 목록이 아닙니다.,87,아니오,,,,
2026-07-30-storage-18,"퇴근 후 좁은 원룸, 넘쳐나는 계절옷을 깔끔하게 정리하고 보관하는 현실적인 팁",https://honsamnote.co.kr/blog/2026-07-30-storage-18/,storage,좁은 집과 수납,1인 가구; 자취 꿀팁; 옷 정리; 수납 노하우; 계절옷 보관; 좁은 집 수납,계절옷 보관; 좁은 집 수납; 원룸 옷 정리; 옷 보관 서비스; 의류 압축팩,"퇴근 후 좁은 원룸, 넘쳐나는 계절옷을 깔끔하게 정리하고 보관하는 현실적인 팁 | 혼삶노트",계절마다 옷 정리로 고생하는 1인 가구 직장인 주목! 좁은 원룸에서도 시간과 돈 아끼며 계절옷을 깔끔하고 효율적으로 보관하는 현실적인 팁을 알려드립니다.,문제해결형,계절옷 보관,좁은 집 수납; 원룸 옷 정리; 옷 보관 서비스; 의류 압축팩,낮음,원룸 전체 수납,예,예,예,2026-08-06-storage-auto-11ba62; 2026-08-01-storage-auto-316ab0; 2026-08-07-storage-auto-ee20dc; 2026-08-13-storage-auto-92e3bb; 2026-08-01-storage-auto-387eaf; 2026-08-03-storage-auto-45d4eb,아니오,유지,계절옷 보관 해결 방법,"좁은 공간에 넘쳐나는 계절옷을 깔끔하게 정리하고 싶다면, **'비우기 → 분류 → 압축 및 보관 도구 활용 → 외부 공간 활용'**의 4단계 원칙을 따르세요.",87,아니오,,,,
2026-07-30-storage-21,"현관 열자마자 꿉꿉한 냄새? 1인 가구 신발장 냄새, 근본부터 해결하는 현실 관리법",https://honsamnote.co.kr/blog/2026-07-30-storage-21/,storage,좁은 집과 수납,신발장 냄새; 1인 가구 수납; 좁은 집 청소; 현관 관리; 생활 최적화,신발장 냄새 제거; 신발 냄새 없애는 법; 좁은 집 신발장; 1인 가구 현관 청소; 습기 제거,"현관 열자마자 꿉꿉한 냄새? 1인 가구 신발장 냄새, 근본부터 해결하는 현실 관리법 | 혼삶노트","혼자 사는 당신의 좁은 현관을 점령한 신발장 냄새. 뿌리는 탈취제로는 한계가 있죠? 꿉꿉하고 역한 냄새의 원인을 파악하고, 시간과 돈 아끼는 현실적인 해결법을 알려드립니다.",질문형,신발장 냄새 제거,신발 냄새 없애는 법; 좁은 집 신발장; 1인 가구 현관 청소; 습기 제거,낮음,원룸 전체 수납,예,예,예,2026-08-07-storage-auto-4a268b; 2026-08-08-storage-auto-276b92; 2026-08-01-storage-auto-499287; 2026-08-01-storage-auto-4eec70; 2026-08-01-storage-auto-f1fb81; 2026-08-04-storage-auto-225475,아니오,유지,신발장 냄새 제거 알아보기,신발장 냄새는 '습기'와 '환기 부족'이 만들어내는 '세균 번식'이 주원인입니다.,87,아니오,,,,
2026-07-31-products-75,"퇴근 후 널 공간도, 마를 시간도 없는 1인 가구, 미니 건조기 정말 필요할까요?",https://honsamnote.co.kr/blog/2026-07-31-products-75/,products,1인 가구 제품·서비스,1인 가구; 미니 건조기; 빨래; 가전제품; 생활 꿀팁,미니 건조기 필요성; 1인 가구 건조기; 원룸 빨래 건조; 자취 가전; 생활 최적화,"퇴근 후 널 공간도, 마를 시간도 없는 1인 가구, 미니 건조기 정말 필요할까요? | 혼삶노트","퇴근 후 쌓이는 빨래, 좁은 집에서 건조 스트레스를 겪는 1인 가구를 위한 미니 건조기 구매 가이드. 나에게 정말 필요한지 현실적인 기준으로 판단해 보세요.",질문형,미니 건조기 필요성,1인 가구 건조기; 원룸 빨래 건조; 자취 가전; 생활 최적화,낮음,1인 가구 제품·서비스 기타,예,예,아니오,2026-07-30-products-50; 2026-07-30-products-51; 2026-07-31-products-76; 2026-08-06-products-auto-a2fa71; 2026-08-06-products-auto-aad52f; 2026-08-07-products-auto-5c0731,아니오,유지,미니 건조기 필요성 알아보기,"결론부터 말씀드리자면, 모든 1인 가구에 미니 건조기가 필수템은 아닙니다.",87,아니오,,,,
2026-07-31-products-76,"자취생, 퇴근 후 음식물쓰레기 악취 탈출? 우리집에 딱 맞는 처리기 고르는 법",https://honsamnote.co.kr/blog/2026-07-31-products-76/,products,1인 가구 제품·서비스,1인 가구; 음식물쓰레기; 음식물처리기; 생활 꿀팁; 주방용품,1인 가구 음식물처리기; 자취생 음식물쓰레기; 음식물처리기 추천; 건조식 음식물처리기; 미생물 음식물처리기; 분쇄식 음식물처리기,"자취생, 퇴근 후 음식물쓰레기 악취 탈출? 우리집에 딱 맞는 처리기 고르는 법 | 혼삶노트","혼자 사는 당신의 주방, 음식물쓰레기 냄새 때문에 고민이신가요? 건조식, 미생물식, 분쇄식 음식물처리기 장단점과 선택 기준을 현실적으로 알려드립니다.",질문형,1인 가구 음식물처리기,자취생 음식물쓰레기; 음식물처리기 추천; 건조식 음식물처리기; 미생물 음식물처리기; 분쇄식 음식물처리기,낮음,1인 가구 제품·서비스 기타,예,예,예,2026-07-30-products-53; 2026-07-31-products-75; 2026-08-06-products-auto-a2fa71; 2026-08-07-products-auto-462713; 2026-08-07-products-auto-5c0731; 2026-08-09-products-auto-df5dbc,아니오,유지,1인 가구 음식물처리기 알아보기,"음식물처리기는 편리한 생활을 위한 투자지만, 무조건적인 정답은 아닙니다.",87,아니오,,,,
2026-08-01-cleaning-auto-b67a07,"혼자 사는 직장인, 대형 이불·겨울 외투 빨래? 코인 빨래방 vs 전문 세탁 서비스, 현명한 선택 기준",https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-b67a07/,cleaning,청소·세탁·집안일,1인 가구; 직장인; 청소; 세탁; 집안일; 코인 빨래방; 전문 세탁; 대형 이불; 겨울 외투,1인 가구 세탁; 대형 이불 세탁; 겨울 외투 세탁; 코인 빨래방 이용; 전문 세탁 서비스; 세탁물 비교; 시간 절약 세탁; 비용 절약 세탁,"혼자 사는 직장인, 대형 이불·겨울 외투 빨래? 코인 빨래방 vs 전문 세탁 서비스, 현명한 선택 기준 | 혼삶노트","혼자 사는 직장인을 위한 대형 이불, 겨울 외투 세탁 가이드. 시간과 비용을 아끼는 코인 빨래방과 전문 세탁 서비스 중 나에게 맞는 최적의 선택 기준을 제시합니다.",질문형,1인 가구 세탁,대형 이불 세탁; 겨울 외투 세탁; 코인 빨래방 이용; 전문 세탁 서비스; 세탁물 비교; 시간 절약 세탁; 비용 절약 세탁,낮음,세탁·옷관리,예,예,아니오,2026-08-06-cleaning-auto-530ba0; 2026-07-30-cleaning-32; 2026-08-06-cleaning-auto-f4b529; 2026-08-01-cleaning-auto-2b8bbd; 2026-08-08-cleaning-auto-3b9de2; 2026-08-08-cleaning-auto-e0020a,아니오,유지,1인 가구 세탁 알아보기,"결론부터 말씀드리자면, **시간 절약이 최우선이고 경제적 여유가 있다면 '전문 세탁 서비스'가, 비용 절약이 중요하고 직접 움직일 시간과 에너지가 있다면 '코인 빨래방'이 현명한 선택**입니다.",87,아니오,,,,
