id,post_id,url,title,claim_type,sub_category,claim,current_value,verification_status,authoritative_source,source_date,checked_date,recommended_text,action,classification_basis
21,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",가격,가격범위,비용: 전입신고: 무료 확정일자: 주민센터 방문: 600원 인터넷 등기소(온라인): 500원 매우 저렴한 비용으로 당신의 수천만 원 보증금을 지킬 수 있습니다.,500원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
22,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",법률,법률,이는 보증금을 보호받기 위한 필수 절차입니다.,보증금을 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
23,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",법률,법률,보증금 보호: 전세나 월세로 이사할 경우， 이사 당일 새 집으로 전입신고와 확정일자를 받는 것은 보증금을 보호받기 위한 핵심 절차입니다.,보증금 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
24,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",법률,법률,[이사 D-7일 이전] – 행정 처리 및 필수 준비전입신고 및 확정일자 계획 수립: 새 집으로 이사하는 경우， 이사 후 관할 주민센터 방문 또는 '정부24' 웹사이트를 통해 전입신고를 하고 확정일자를 받아야 합니다.,확정일자를 받아야 합니다. 이는 보증금을 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
25,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",법률,법률,보증금 보호: 전세나 월세로 이사할 경우， 이사 당일 새 집으로 전입신고와 확정일자를 받는 것은 보증금을 보호받기 위한 핵심 절차입니다.,확정일자를 받는 것은 보증금을 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
26,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",가격,가격범위,비용·시간·주의사항 비용 가이드 이삿짐센터: 1인 가구 포장이사 기준 50만 원~100만 원 이상(이사 거리， 짐의 양， 이사 날짜， 요일에 따라 상이).,50만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
27,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",가격,가격범위,비용·시간·주의사항 비용 가이드 이삿짐센터: 1인 가구 포장이사 기준 50만 원~100만 원 이상(이사 거리， 짐의 양， 이사 날짜， 요일에 따라 상이).,100만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
28,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",가격,가격범위,반포장은 30만 원~60만 원， 용달이사는 10만 원~30만 원 선(단순 운반).,30만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
29,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",가격,가격범위,반포장은 30만 원~60만 원， 용달이사는 10만 원~30만 원 선(단순 운반).,60만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
30,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",가격,가격범위,반포장은 30만 원~60만 원， 용달이사는 10만 원~30만 원 선(단순 운반).,10만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
31,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",가격,가격범위,대형 폐기물 처리: 품목당 1천 원~1만 원대.,1만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
32,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",가격,가격범위,입주 청소: 1인 가구 원룸(약 10평 내외) 기준 10만 원~20만 원.,20만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
33,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",통계,통계수치,약 10~20% 정도 비용 절감 효과를 볼 수 있습니다.,20%,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 수치 출처 확인 필요.,통계 수치 유형 — 출처 미확인
34,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",가격,가격범위,부동산 중개 수수료: 임대차 계약 시 법정 요율에 따라 발생합니다.,수수료: 임대차 계약,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
35,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",통계,통계수치,입주 청소: 1인 가구 원룸(약 10평 내외) 기준 10만 원~20만 원.,약 10,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 수치 출처 확인 필요.,통계 수치 유형 — 출처 미확인
37,2026-07-30-housing-46,https://honsamnote.co.kr/blog/2026-07-30-housing-46/,"이사 나가는 1인 가구, 복비·공과금 덤터기 없이 보증금 100% 안전하게 돌려받는 준비",법률,법률,혼자서 모든 걸 책임져야 하는 1인 가구에게 이사 전 보증금 반환 준비는 막막하고 불안하기만 합니다.,보증금 반환,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
42,2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,퇴실청소 분쟁 체크리스트｜원상복구 의무,가격,가격범위,(이때를 대비해 통화 녹음이나 문자 기록도 남겨두는 것이 좋습니다.) 비용·시간·주의사항 자가 청소: 비용: 청소용품 구매 비용 (약 1만~5만 원).,5만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
43,2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,퇴실청소 분쟁 체크리스트｜원상복구 의무,가격,가격범위,전문 청소 업체: 비용: 원룸/오피스텔 기준 15만 원 ~ 30만 원 이상 (평수， 오염도， 업체별 편차 큼).,15만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
44,2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,퇴실청소 분쟁 체크리스트｜원상복구 의무,가격,가격범위,전문 청소 업체: 비용: 원룸/오피스텔 기준 15만 원 ~ 30만 원 이상 (평수， 오염도， 업체별 편차 큼).,30만 원,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
45,2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,퇴실청소 분쟁 체크리스트｜원상복구 의무,통계,통계수치,(이때를 대비해 통화 녹음이나 문자 기록도 남겨두는 것이 좋습니다.) 비용·시간·주의사항 자가 청소: 비용: 청소용품 구매 비용 (약 1만~5만 원).,약 1,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 수치 출처 확인 필요.,통계 수치 유형 — 출처 미확인
46,2026-07-30-safety-34,https://honsamnote.co.kr/blog/2026-07-30-safety-34/,"혼자 사는 내가 갑자기 아플 때, 응급실 가기 전 챙길 물건 최소화 리스트",법률,법률,불필요한 구급차 이용은 과태료 대상이 될 수 있습니다.,과태료,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
49,2026-07-31-housing-71,https://honsamnote.co.kr/blog/2026-07-31-housing-71/,"혼자 사는 집 고장! 집주인이 수리 미룰 때, 내 돈 아끼는 현실적인 해결 순서",법률,법률,소액심판 청구: 소액 보증금 반환이나 수리비 청구 등의 문제에 대해 법원에 직접 제기하는 소송 절차입니다.,보증금 반환,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
50,2026-07-31-safety-72,https://honsamnote.co.kr/blog/2026-07-31-safety-72/,"장기 출장/휴가, 혼자 사는 집을 비울 때 빈집털이, 고지서 폭탄 걱정 없이 안전하게 떠나는 법",가스,가스,가스 누출로 인한 화재나 폭발 사고를 막는 가장 기본적인 조치입니다.,가스 누출로 인한 화재나 폭발,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
51,2026-07-31-safety-72,https://honsamnote.co.kr/blog/2026-07-31-safety-72/,"장기 출장/휴가, 혼자 사는 집을 비울 때 빈집털이, 고지서 폭탄 걱정 없이 안전하게 떠나는 법",전기,전기,대기전력 낭비를 막고， 누전으로 인한 화재 위험을 줄일 수 있습니다.,누전으로 인한 화재,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
53,2026-08-01-housing-auto-18e480,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-18e480/,"혼자 사는 직장인, 우리 집 화재·누수 걱정 끝! 내 보증금·물건 지키는 전월세 보험 똑똑하게 가입하기",법률,법률,화재 벌금 보장 특약: 화재 발생 시 과실 여부에 따라 부과될 수 있는 벌금을 보장하는 특약도 고려해볼 만합니다.,벌금,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
55,2026-08-01-housing-auto-1c1518,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-1c1518/,"혼자 사는 직장인, 이사 갈 때 대형 폐기물 처리? 시간과 돈 아끼는 3가지 선택 비교",법률,법률,규정 위반 시 과태료가 부과될 수 있습니다.,과태료,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
64,2026-08-01-housing-auto-abec0f,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-abec0f/,"내 첫 전월세 계약 만료, 집주인 무리한 요구에 당황? 계약갱신청구권으로 당당하게 대처하는 법",법률,법률,다만， 증액된 보증금이 있다면 해당 금액에 대해 반드시 동사무소(행정복지센터)에서 확정일자를 다시 받아두어 보증금 보호를 강화하는 것이 좋습니다.,보증금 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
65,2026-08-01-housing-auto-abec0f,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-abec0f/,"내 첫 전월세 계약 만료, 집주인 무리한 요구에 당황? 계약갱신청구권으로 당당하게 대처하는 법",법률,법률,내용증명 발송: 집주인이 계속 부당하게 거절하거나， 보증금 반환을 거부할 기미가 보인다면 '계약갱신청구권 행사 통지 및 보증금 반환 요청' 내용증명을 우체국을 통해 발송하세요.,보증금 반환,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
66,2026-08-01-housing-auto-abec0f,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-abec0f/,"내 첫 전월세 계약 만료, 집주인 무리한 요구에 당황? 계약갱신청구권으로 당당하게 대처하는 법",법률,법률,다만， 증액된 보증금이 있다면 해당 금액에 대해 반드시 동사무소(행정복지센터)에서 확정일자를 다시 받아두어 보증금 보호를 강화하는 것이 좋습니다.,확정일자를 다시 받아두어 보증금 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
67,2026-08-01-housing-auto-abec0f,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-abec0f/,"내 첫 전월세 계약 만료, 집주인 무리한 요구에 당황? 계약갱신청구권으로 당당하게 대처하는 법",법률,법률,개인 임차인이라면 대부분 이 권리를 행사할 수 있습니다.,임차인이라면 대부분 이 권리,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
72,2026-08-01-housing-auto-ace922,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-ace922/,"혼자 사는 직장인, 살던 집 주인이 바뀌었다고 연락 왔을 때? 내 보증금 지키고 계약 유지하는 똑똑한 대처법",법률,법률,이는 나중에 보증금 반환에 영향을 줄 수 있으므로 중요합니다.,보증금 반환,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
81,2026-08-01-housing-auto-c039f6,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-c039f6/,전월세 계약 갱신 방법｜묵시적 갱신,법률,법률,기존 계약에 대한 확정일자의 효력은 유지되지만， 증액된 부분은 새로운 확정일자 부여 시점부터 보호를 받기 때문입니다.,확정일자 부여 시점부터 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
82,2026-08-01-housing-auto-c039f6,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-c039f6/,전월세 계약 갱신 방법｜묵시적 갱신,법률,법률,이렇게 하면 오히려 악화됩니다 '자동 연장 되겠지' 하고 아무 조치도 취하지 않는 것: 묵시적 갱신은 임차인 보호를 위한 제도이기도 하지만， 임차인에게도 해지 통보 후 3개월의 의무가 생기므로 갑작스러운 상황 변화에 유연하게 대처하기 어려워집니다.,임차인 보호,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 공식 출처 확인 후 처리,자동 분류
83,2026-08-01-housing-auto-c039f6,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-c039f6/,전월세 계약 갱신 방법｜묵시적 갱신,가격,가격범위,변경된 보증금에 대해 확정일자를 다시 받는 경우， 주민센터에서 소정의 수수료(약 600원)가 발생할 수 있습니다.,600원),NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
84,2026-08-01-housing-auto-c039f6,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-c039f6/,전월세 계약 갱신 방법｜묵시적 갱신,통계,통계수치,임대인에게 계약 만료 6개월 전부터 2개월 전까지 권리 행사 의사를 통보하면， 임대인은 정당한 사유 없이는 거절할 수 없으며， 이때 보증금 및 월세 인상률은 최대 5%로 제한됩니다.,5%,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 수치 출처 확인 필요.,통계 수치 유형 — 출처 미확인
85,2026-08-01-housing-auto-c039f6,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-c039f6/,전월세 계약 갱신 방법｜묵시적 갱신,가격,가격범위,변경된 보증금에 대해 확정일자를 다시 받는 경우， 주민센터에서 소정의 수수료(약 600원)가 발생할 수 있습니다.,수수료(약 600,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 시장 가격은 변동. 실제 시세 확인 후 범위 표현으로 유지 또는 출처 명기.,가격 유형 + 미해당 패턴 → 외부 확인 필요
86,2026-08-01-housing-auto-c039f6,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-c039f6/,전월세 계약 갱신 방법｜묵시적 갱신,통계,통계수치,만약 5%를 초과하는 인상을 요구한다면 계약 갱신 청구권 사용을 고려한다고 명확히 밝힐 수 있습니다.,약 5,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 수치 출처 확인 필요.,통계 수치 유형 — 출처 미확인
87,2026-08-01-housing-auto-c039f6,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-c039f6/,전월세 계약 갱신 방법｜묵시적 갱신,통계,통계수치,변경된 보증금에 대해 확정일자를 다시 받는 경우， 주민센터에서 소정의 수수료(약 600원)가 발생할 수 있습니다.,약 600,NEEDS_EXTERNAL_VERIFICATION,정부기관·법령 원문·지자체,,2026-08-18,,NEEDS_EXTERNAL_VERIFICATION — 수치 출처 확인 필요.,통계 수치 유형 — 출처 미확인
