main_post,duplicate_post,tier,similarity,same_pillar,reason,differentiator,recommended_role_split
2026-08-08-products-auto-613b49,2026-08-01-products-auto-d180b4,HIGH,0.68,아니오,"같은 세부 클러스터(safety-products) / 공통 표현: 1인 가구 해충, 전문 방역 서비스, 셀프 방역 제품, 바퀴벌레, 셀프 방역","2026-08-08-products-auto-613b49 고유 키워드: 벌레 퇴치법, 바퀴벌레 퇴치, 초파리 없애는 법 / 2026-08-01-products-auto-d180b4 고유 키워드: 바퀴벌레 없애는 법, 개미 퇴치, 자취방 벌레","2026-08-08-products-auto-613b49=주요 관점 유지, 2026-08-01-products-auto-d180b4=바퀴벌레 없애는 법 중심으로 검색의도 분리 검토"
2026-08-01-safety-auto-835af8,2026-08-06-safety-auto-ec7c17,HIGH,0.65,아니오,"같은 세부 클러스터(emergency-response) / 공통 표현: CO 경보기, 일산화탄소, 난방",검색의도 다름: 2026-08-01-safety-auto-835af8=질문형 / 2026-08-06-safety-auto-ec7c17=비교형,"2026-08-01-safety-auto-835af8=주요 관점 유지, 2026-08-06-safety-auto-ec7c17=일산화탄소 경보기 중심으로 검색의도 분리 검토"
2026-08-01-safety-auto-b177af,2026-08-08-safety-auto-ee80c6,HIGH,0.66,아니오,"같은 세부 클러스터(leak-accident) / 공통 표현: 혼자 사는 집 누수, 누수, 천장 누수, 벽 누수","2026-08-01-safety-auto-b177af 고유 키워드: 천장 물샘 대처, 아파트 누수, 원룸 누수 / 2026-08-08-safety-auto-ee80c6 고유 키워드: 천장 누수, 벽 누수, 윗집 누수","2026-08-01-safety-auto-b177af=주요 관점 유지, 2026-08-08-safety-auto-ee80c6=천장 누수 중심으로 검색의도 분리 검토"
2026-08-03-safety-auto-273fdf,2026-08-10-safety-auto-46a836,HIGH,0.73,아니오,"같은 세부 클러스터(pest-control) / 공통 표현: 해충 예방, 해충, 바퀴벌레, 쥐, 위생","2026-08-03-safety-auto-273fdf 고유 키워드: 1인 가구 해충, 혼자 사는 집 바퀴벌레, 쥐 퇴치 / 2026-08-10-safety-auto-46a836 고유 키워드: 1인 가구 바퀴벌레, 혼자 사는 집 쥐, 해충 퇴치","2026-08-03-safety-auto-273fdf=주요 관점 유지, 2026-08-10-safety-auto-46a836=1인 가구 바퀴벌레 중심으로 검색의도 분리 검토"
2026-07-30-storage-19,2026-08-07-storage-auto-54d5cd,HIGH,0.59,예,"같은 세부 클러스터(oneroom-storage) / 공통 표현: 원룸수납, 공간최적화",검색의도 다름: 2026-07-30-storage-19=문제해결형 / 2026-08-07-storage-auto-54d5cd=비교형,"2026-07-30-storage-19=주요 관점 유지, 2026-08-07-storage-auto-54d5cd=침대 밑 수납 중심으로 검색의도 분리 검토"
2026-07-30-storage-24,2026-08-01-storage-auto-316ab0,HIGH,0.59,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 정리,검색의도 다름: 2026-07-30-storage-24=판단형 / 2026-08-01-storage-auto-316ab0=비교형,"2026-07-30-storage-24=주요 관점 유지, 2026-08-01-storage-auto-316ab0=좁은 집 수납 중심으로 검색의도 분리 검토"
2026-08-01-storage-auto-c94563,2026-08-08-storage-auto-37bfb5,HIGH,0.69,아니오,"같은 세부 클러스터(entryway-storage) / 공통 표현: 현관 정리, 퇴근 후 정리, 현관 수납, 시간 절약","2026-08-01-storage-auto-c94563 고유 키워드: 현관 정리, 좁은 현관 수납, 1인 가구 현관 / 2026-08-08-storage-auto-37bfb5 고유 키워드: 1인 가구 외투, 좁은 집 가방 수납, 의자 옷장","2026-08-01-storage-auto-c94563=주요 관점 유지, 2026-08-08-storage-auto-37bfb5=1인 가구 외투 중심으로 검색의도 분리 검토"
2026-07-30-cost-80,2026-07-30-cost-3,MEDIUM,0.6,아니오,"같은 세부 클러스터(telecom-bill) / 공통 표현: 1인 가구 통신비, 알뜰폰","2026-07-30-cost-80 고유 키워드: 알뜰폰, 통신 3사, 요금제 / 2026-07-30-cost-3 고유 키워드: 알뜰폰 인터넷 결합, 통신사 결합 비교, 직장인 생활비","2026-07-30-cost-80=주요 관점 유지, 2026-07-30-cost-3=알뜰폰 인터넷 결합 중심으로 검색의도 분리 검토"
2026-08-01-cost-auto-e9d2d3,2026-08-12-cost-auto-b36efb,MEDIUM,0.61,아니오,"같은 세부 클러스터(general-living-cost) / 공통 표현: 1인 가구 가전, 가전 렌탈, 가전제품",검색의도 다름: 2026-08-01-cost-auto-e9d2d3=질문형 / 2026-08-12-cost-auto-b36efb=비교형,"2026-08-01-cost-auto-e9d2d3=주요 관점 유지, 2026-08-12-cost-auto-b36efb=1인 가구 가구 중심으로 검색의도 분리 검토"
2026-08-03-cost-auto-4d199c,2026-08-08-cost-auto-c1b0b5,MEDIUM,0.61,아니오,"같은 세부 클러스터(general-living-cost) / 공통 표현: 교통비, 카셰어링, 교통비 절약","2026-08-03-cost-auto-4d199c 고유 키워드: 교통비, 대중교통, 택시 / 2026-08-08-cost-auto-c1b0b5 고유 키워드: 1인 가구 자동차, 카셰어링 장단점, 렌터카 비용","2026-08-03-cost-auto-4d199c=주요 관점 유지, 2026-08-08-cost-auto-c1b0b5=1인 가구 자동차 중심으로 검색의도 분리 검토"
2026-08-12-cost-auto-b175c0,2026-08-12-cost-auto-b36efb,MEDIUM,0.61,아니오,"같은 세부 클러스터(general-living-cost) / 공통 표현: 1인 가구 가구, 가구 구매, 중고 가구","2026-08-12-cost-auto-b175c0 고유 키워드: 가구 선택, 가구 비용, 가구 렌탈 장단점 / 2026-08-12-cost-auto-b36efb 고유 키워드: 1인 가구 가전, 중고 가구, 가전 렌탈","2026-08-12-cost-auto-b175c0=주요 관점 유지, 2026-08-12-cost-auto-b36efb=1인 가구 가전 중심으로 검색의도 분리 검토"
2026-07-30-food-16,2026-07-30-food-12,MEDIUM,0.64,아니오,"같은 세부 클러스터(food-waste) / 공통 표현: 혼밥 식재료, 음식물 쓰레기 줄이기",검색의도 다름: 2026-07-30-food-16=문제해결형 / 2026-07-30-food-12=방법형,"2026-07-30-food-16=주요 관점 유지, 2026-07-30-food-12=남은 음식 활용법 중심으로 검색의도 분리 검토"
2026-08-01-food-auto-2c9171,2026-08-06-food-auto-ef165d,MEDIUM,0.57,아니오,"같은 세부 클러스터(grocery-shopping) / 공통 표현: 1인 가구 장보기, 장보기",검색의도 다름: 2026-08-01-food-auto-2c9171=질문형 / 2026-08-06-food-auto-ef165d=비교형,"2026-08-01-food-auto-2c9171=주요 관점 유지, 2026-08-06-food-auto-ef165d=신선 채소 구매 중심으로 검색의도 분리 검토"
2026-08-06-food-auto-36b7bb,2026-08-07-food-auto-f5cf37,MEDIUM,0.63,아니오,"같은 세부 클러스터(food-waste) / 공통 표현: 혼밥 레시피, 자취 요리, 요리팁",검색의도 다름: 2026-08-06-food-auto-36b7bb=질문형 / 2026-08-07-food-auto-f5cf37=비교형,"2026-08-06-food-auto-36b7bb=주요 관점 유지, 2026-08-07-food-auto-f5cf37=1인 가구 밀키트 중심으로 검색의도 분리 검토"
2026-07-30-cleaning-25,2026-07-31-cleaning-79,MEDIUM,0.56,아니오,"같은 세부 클러스터(cleaning-tools-time) / 공통 표현: 청소 시간 절약, 효율적인 청소",검색의도 다름: 2026-07-30-cleaning-25=문제해결형 / 2026-07-31-cleaning-79=비교형,"2026-07-30-cleaning-25=주요 관점 유지, 2026-07-31-cleaning-79=1인 가구 청소 중심으로 검색의도 분리 검토"
2026-07-30-cleaning-31,2026-08-06-cleaning-auto-ec8541,MEDIUM,0.57,아니오,"같은 세부 클러스터(kitchen-cleaning) / 공통 표현: 찌든 때 청소, 주방 후드 청소",검색의도 다름: 2026-07-30-cleaning-31=문제해결형 / 2026-08-06-cleaning-auto-ec8541=질문형,"2026-07-30-cleaning-31=주요 관점 유지, 2026-08-06-cleaning-auto-ec8541=레인지 후드 청소 중심으로 검색의도 분리 검토"
2026-08-01-products-78,2026-08-01-products-auto-b433a0,MEDIUM,0.55,아니오,"같은 세부 클러스터(kitchen-appliances) / 공통 표현: 주방용품, 살림 최적화",검색의도 다름: 2026-08-01-products-78=방법형 / 2026-08-01-products-auto-b433a0=판단형,"2026-08-01-products-78=주요 관점 유지, 2026-08-01-products-auto-b433a0=1인 가구 식기세척기 중심으로 검색의도 분리 검토"
2026-08-01-products-auto-153ac4,2026-08-08-products-auto-3477b8,MEDIUM,0.59,아니오,"같은 세부 클러스터(air-environment) / 공통 표현: 1인 가구 공기청정기, 공기청정기, 실내 공기",검색의도 다름: 2026-08-01-products-auto-153ac4=비교형 / 2026-08-08-products-auto-3477b8=방법형,"2026-08-01-products-auto-153ac4=주요 관점 유지, 2026-08-08-products-auto-3477b8=좁은 집 공기 중심으로 검색의도 분리 검토"
2026-08-01-products-auto-d180b4,2026-08-08-products-auto-b03456,MEDIUM,0.64,아니오,"같은 세부 클러스터(safety-products) / 공통 표현: 1인 가구 해충, 셀프 방역 제품, 바퀴벌레, 셀프 방역, 전문 방역","2026-08-01-products-auto-d180b4 고유 키워드: 바퀴벌레 없애는 법, 개미 퇴치, 자취방 벌레 / 2026-08-08-products-auto-b03456 고유 키워드: 바퀴벌레 셀프 퇴치, 모기 없애는 법, 초파리 박멸","2026-08-01-products-auto-d180b4=주요 관점 유지, 2026-08-08-products-auto-b03456=바퀴벌레 셀프 퇴치 중심으로 검색의도 분리 검토"
2026-08-04-products-auto-db26cb,2026-08-10-products-auto-b0092a,MEDIUM,0.59,아니오,"같은 세부 클러스터(kitchen-appliances) / 공통 표현: 1인 가구 에어프라이어, 간편 요리, 에어프라이어","2026-08-04-products-auto-db26cb 고유 키워드: 1인 가구 토스터 오븐, 자취생 에어프라이어, 자취생 토스터 오븐 / 2026-08-10-products-auto-b0092a 고유 키워드: 1인 가구 전자레인지, 자취 요리, 주방 가전 추천","2026-08-04-products-auto-db26cb=주요 관점 유지, 2026-08-10-products-auto-b0092a=1인 가구 전자레인지 중심으로 검색의도 분리 검토"
2026-08-08-products-auto-613b49,2026-08-08-products-auto-b03456,MEDIUM,0.64,아니오,"같은 세부 클러스터(safety-products) / 공통 표현: 1인 가구 해충, 셀프 방역 제품, 바퀴벌레, 초파리, 셀프 방역","2026-08-08-products-auto-613b49 고유 키워드: 벌레 퇴치법, 바퀴벌레 퇴치, 초파리 없애는 법 / 2026-08-08-products-auto-b03456 고유 키워드: 바퀴벌레 셀프 퇴치, 모기 없애는 법, 초파리 박멸","2026-08-08-products-auto-613b49=주요 관점 유지, 2026-08-08-products-auto-b03456=바퀴벌레 셀프 퇴치 중심으로 검색의도 분리 검토"
2026-07-30-safety-34,2026-07-31-safety-73,MEDIUM,0.62,아니오,"같은 세부 클러스터(emergency-response) / 공통 표현: 갑자기 아플 때, 건강관리","2026-07-30-safety-34 고유 키워드: 응급실 준비물, 혼자 응급실, 비상 가방 / 2026-07-31-safety-73 고유 키워드: 혼자 고열, 1인가구 병원, 열날 때 대처","2026-07-30-safety-34=주요 관점 유지, 2026-07-31-safety-73=혼자 고열 중심으로 검색의도 분리 검토"
2026-07-30-safety-37,2026-08-09-safety-auto-14bba7,MEDIUM,0.56,아니오,"같은 세부 클러스터(fire-prevention) / 공통 표현: 1인 가구 화재, 주방 화재",검색의도 다름: 2026-07-30-safety-37=질문형 / 2026-08-09-safety-auto-14bba7=비교형,"2026-07-30-safety-37=주요 관점 유지, 2026-08-09-safety-auto-14bba7=간이 소화기 중심으로 검색의도 분리 검토"
2026-07-31-safety-72,2026-08-08-safety-auto-71a5f3,MEDIUM,0.57,아니오,"같은 세부 클러스터(emergency-response) / 공통 표현: 혼자 사는 집 안전, 빈집털이 예방",검색의도 다름: 2026-07-31-safety-72=문제해결형 / 2026-08-08-safety-auto-71a5f3=비교형,"2026-07-31-safety-72=주요 관점 유지, 2026-08-08-safety-auto-71a5f3=DIY 보안 중심으로 검색의도 분리 검토"
2026-08-01-safety-auto-0e6262,2026-08-01-safety-auto-835af8,MEDIUM,0.56,아니오,"같은 세부 클러스터(emergency-response) / 공통 표현: 일산화탄소 중독, 일산화탄소",검색의도 다름: 2026-08-01-safety-auto-0e6262=방법형 / 2026-08-01-safety-auto-835af8=질문형,"2026-08-01-safety-auto-0e6262=주요 관점 유지, 2026-08-01-safety-auto-835af8=보일러 안전 중심으로 검색의도 분리 검토"
2026-08-06-safety-auto-0b96ff,2026-08-01-safety-auto-835af8,MEDIUM,0.59,아니오,"같은 세부 클러스터(emergency-response) / 공통 표현: 보일러 안전, 일산화탄소",검색의도 다름: 2026-08-06-safety-auto-0b96ff=비교형 / 2026-08-01-safety-auto-835af8=질문형,"2026-08-06-safety-auto-0b96ff=주요 관점 유지, 2026-08-01-safety-auto-835af8=일산화탄소 중독 중심으로 검색의도 분리 검토"
2026-08-03-safety-auto-273fdf,2026-08-10-safety-auto-1af8f5,MEDIUM,0.6,아니오,"같은 세부 클러스터(pest-control) / 공통 표현: 1인 가구 해충, 쥐 퇴치, 위생",검색의도 다름: 2026-08-03-safety-auto-273fdf=방법형 / 2026-08-10-safety-auto-1af8f5=비교형,"2026-08-03-safety-auto-273fdf=주요 관점 유지, 2026-08-10-safety-auto-1af8f5=바퀴벌레 퇴치 중심으로 검색의도 분리 검토"
2026-08-10-safety-auto-e68c91,2026-08-03-safety-auto-273fdf,MEDIUM,0.59,아니오,"같은 세부 클러스터(pest-control) / 공통 표현: 해충, 바퀴벌레, 위생","2026-08-10-safety-auto-e68c91 고유 키워드: 바퀴벌레, 바퀴벌레 퇴치, 혼자 바퀴벌레 / 2026-08-03-safety-auto-273fdf 고유 키워드: 1인 가구 해충, 혼자 사는 집 바퀴벌레, 쥐 퇴치","2026-08-10-safety-auto-e68c91=주요 관점 유지, 2026-08-03-safety-auto-273fdf=1인 가구 해충 중심으로 검색의도 분리 검토"
2026-08-03-safety-auto-7bde55,2026-08-09-safety-auto-14bba7,MEDIUM,0.57,아니오,"같은 세부 클러스터(fire-prevention) / 공통 표현: 주방 화재, 소화기","2026-08-03-safety-auto-7bde55 고유 키워드: 소화기, 소방 담요, 1인 가구 안전 / 2026-08-09-safety-auto-14bba7 고유 키워드: 1인 가구 화재, 간이 소화기, 분말 소화기","2026-08-03-safety-auto-7bde55=주요 관점 유지, 2026-08-09-safety-auto-14bba7=1인 가구 화재 중심으로 검색의도 분리 검토"
2026-08-05-safety-auto-d98bca,2026-08-11-safety-auto-d99e57,MEDIUM,0.58,아니오,"같은 세부 클러스터(electrical-safety) / 공통 표현: 전기안전, 두꺼비집, 누전차단기","2026-08-05-safety-auto-d98bca 고유 키워드: 혼자사는전기사고, 두꺼비집내려감, 콘센트불꽃 / 2026-08-11-safety-auto-d99e57 고유 키워드: 1인 가구 전기 고장, 두꺼비집 내렸을 때, 콘센트 고장","2026-08-05-safety-auto-d98bca=주요 관점 유지, 2026-08-11-safety-auto-d99e57=1인 가구 전기 고장 중심으로 검색의도 분리 검토"
2026-08-06-safety-auto-0b96ff,2026-08-06-safety-auto-ec7c17,MEDIUM,0.59,아니오,"같은 세부 클러스터(emergency-response) / 공통 표현: 일산화탄소 경보기, 일산화탄소","2026-08-06-safety-auto-0b96ff 고유 키워드: 경보기 오작동, 경보기 배터리, 보일러 안전 / 2026-08-06-safety-auto-ec7c17 고유 키워드: CO 경보기, 스마트 CO 경보기, 겨울철 난방","2026-08-06-safety-auto-0b96ff=주요 관점 유지, 2026-08-06-safety-auto-ec7c17=CO 경보기 중심으로 검색의도 분리 검토"
2026-08-14-safety-auto-f47696,2026-08-09-safety-auto-eb5e4c,MEDIUM,0.58,아니오,"같은 세부 클러스터(lock-security) / 공통 표현: 현관문, 열쇠 분실, 스마트 도어락",검색의도 다름: 2026-08-14-safety-auto-f47696=문제해결형 / 2026-08-09-safety-auto-eb5e4c=방법형,"2026-08-14-safety-auto-f47696=주요 관점 유지, 2026-08-09-safety-auto-eb5e4c=1인 가구 현관문 잠김 중심으로 검색의도 분리 검토"
2026-08-10-safety-auto-e68c91,2026-08-10-safety-auto-1af8f5,MEDIUM,0.61,아니오,"같은 세부 클러스터(pest-control) / 공통 표현: 바퀴벌레 퇴치, 위생, 해충 방역",검색의도 다름: 2026-08-10-safety-auto-e68c91=방법형 / 2026-08-10-safety-auto-1af8f5=비교형,"2026-08-10-safety-auto-e68c91=주요 관점 유지, 2026-08-10-safety-auto-1af8f5=1인 가구 해충 중심으로 검색의도 분리 검토"
2026-08-07-storage-auto-613d62,2026-08-06-storage-auto-4e768a,MEDIUM,0.62,아니오,"같은 세부 클러스터(closet-clothing) / 공통 표현: 좁은 옷장 수납, 옷 정리, 옷장 최적화",검색의도 다름: 2026-08-07-storage-auto-613d62=질문형 / 2026-08-06-storage-auto-4e768a=비교형,"2026-08-07-storage-auto-613d62=주요 관점 유지, 2026-08-06-storage-auto-4e768a=1인 가구 옷장 중심으로 검색의도 분리 검토"
2026-07-30-cost-80,2026-08-08-cost-auto-123a00,LOW,0.51,아니오,같은 세부 클러스터(telecom-bill) / 공통 표현: 알뜰폰,"2026-07-30-cost-80 고유 키워드: 알뜰폰, 통신 3사, 요금제 / 2026-08-08-cost-auto-123a00 고유 키워드: 혼자 사는 직장인, 통신비 아끼는 법, 알뜰폰 추천","2026-07-30-cost-80=주요 관점 유지, 2026-08-08-cost-auto-123a00=혼자 사는 직장인 중심으로 검색의도 분리 검토"
2026-08-01-cost-auto-aa6f9d,2026-08-06-cost-auto-f652a0,LOW,0.52,아니오,"같은 세부 클러스터(general-living-cost) / 공통 표현: 생활비 아끼기, 중고거래","2026-08-01-cost-auto-aa6f9d 고유 키워드: 1인가구 가전, 1인가구 가구, 가전제품 구매 / 2026-08-06-cost-auto-f652a0 고유 키워드: 1인 가구 중고거래, 혼자 살 때 물건 정리, 중고거래 앱","2026-08-01-cost-auto-aa6f9d=주요 관점 유지, 2026-08-06-cost-auto-f652a0=1인 가구 중고거래 중심으로 검색의도 분리 검토"
2026-08-01-cost-auto-aa6f9d,2026-08-12-cost-auto-b175c0,LOW,0.52,아니오,"같은 세부 클러스터(general-living-cost) / 공통 표현: 가구 렌탈, 중고 가구","2026-08-01-cost-auto-aa6f9d 고유 키워드: 1인가구 가전, 1인가구 가구, 가전제품 구매 / 2026-08-12-cost-auto-b175c0 고유 키워드: 1인 가구 가구, 가구 선택, 가구 비용","2026-08-01-cost-auto-aa6f9d=주요 관점 유지, 2026-08-12-cost-auto-b175c0=1인 가구 가구 중심으로 검색의도 분리 검토"
2026-08-01-cost-auto-aa6f9d,2026-08-12-cost-auto-b36efb,LOW,0.53,아니오,"같은 세부 클러스터(general-living-cost) / 공통 표현: 중고 가구, 생활비 아끼기","2026-08-01-cost-auto-aa6f9d 고유 키워드: 1인가구 가전, 1인가구 가구, 가전제품 구매 / 2026-08-12-cost-auto-b36efb 고유 키워드: 1인 가구 가구, 1인 가구 가전, 가전 렌탈","2026-08-01-cost-auto-aa6f9d=주요 관점 유지, 2026-08-12-cost-auto-b36efb=1인 가구 가구 중심으로 검색의도 분리 검토"
2026-08-01-cost-auto-e9d2d3,2026-08-07-cost-auto-7256ba,LOW,0.53,아니오,"같은 세부 클러스터(general-living-cost) / 공통 표현: 가전제품, 가구",검색의도 다름: 2026-08-01-cost-auto-e9d2d3=질문형 / 2026-08-07-cost-auto-7256ba=비교형,"2026-08-01-cost-auto-e9d2d3=주요 관점 유지, 2026-08-07-cost-auto-7256ba=1인 가구 대형 폐기물 중심으로 검색의도 분리 검토"
2026-08-01-cost-auto-e9d2d3,2026-08-12-cost-auto-b175c0,LOW,0.53,아니오,"같은 세부 클러스터(general-living-cost) / 공통 표현: 가구 렌탈, 가구",검색의도 다름: 2026-08-01-cost-auto-e9d2d3=질문형 / 2026-08-12-cost-auto-b175c0=비교형,"2026-08-01-cost-auto-e9d2d3=주요 관점 유지, 2026-08-12-cost-auto-b175c0=1인 가구 가구 중심으로 검색의도 분리 검토"
2026-08-11-cost-auto-bf7238,2026-08-06-cost-auto-e2088d,LOW,0.51,아니오,같은 세부 클러스터(general-living-cost) / 공통 표현: 혼밥,검색의도 다름: 2026-08-11-cost-auto-bf7238=질문형 / 2026-08-06-cost-auto-e2088d=방법형,"2026-08-11-cost-auto-bf7238=주요 관점 유지, 2026-08-06-cost-auto-e2088d=남은 음식물 처리 중심으로 검색의도 분리 검토"
2026-08-01-food-auto-0ac183,2026-07-30-food-12,LOW,0.51,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 음식물 쓰레기 줄이기,"2026-08-01-food-auto-0ac183 고유 키워드: 남은 채소 보관, 1인 가구 식재료, 냉장고 야채 / 2026-07-30-food-12 고유 키워드: 남은 음식 활용법, 혼밥 식재료, 냉장고 정리","2026-08-01-food-auto-0ac183=주요 관점 유지, 2026-07-30-food-12=남은 음식 활용법 중심으로 검색의도 분리 검토"
2026-07-30-food-12,2026-08-01-food-auto-174113,LOW,0.53,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 혼밥 식재료,검색의도 다름: 2026-07-30-food-12=방법형 / 2026-08-01-food-auto-174113=질문형,"2026-07-30-food-12=주요 관점 유지, 2026-08-01-food-auto-174113=1인 가구 식재료 중심으로 검색의도 분리 검토"
2026-07-30-food-12,2026-08-14-food-auto-0030b0,LOW,0.5,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 음식물 쓰레기 줄이기,검색의도 다름: 2026-07-30-food-12=방법형 / 2026-08-14-food-auto-0030b0=문제해결형,"2026-07-30-food-12=주요 관점 유지, 2026-08-14-food-auto-0030b0=1인 가구 식재료 보관 중심으로 검색의도 분리 검토"
2026-08-06-food-auto-19b20f,2026-07-30-food-13,LOW,0.51,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 식단,검색의도 다름: 2026-08-06-food-auto-19b20f=문제해결형 / 2026-07-30-food-13=질문형,"2026-08-06-food-auto-19b20f=주요 관점 유지, 2026-07-30-food-13=배달음식 보관 중심으로 검색의도 분리 검토"
2026-07-30-food-13,2026-08-07-food-auto-f5cf37,LOW,0.51,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 자취 요리,검색의도 다름: 2026-07-30-food-13=질문형 / 2026-08-07-food-auto-f5cf37=비교형,"2026-07-30-food-13=주요 관점 유지, 2026-08-07-food-auto-f5cf37=1인 가구 밀키트 중심으로 검색의도 분리 검토"
2026-07-30-food-16,2026-08-01-food-auto-0ac183,LOW,0.5,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 음식물 쓰레기 줄이기,검색의도 다름: 2026-07-30-food-16=문제해결형 / 2026-08-01-food-auto-0ac183=방법형,"2026-07-30-food-16=주요 관점 유지, 2026-08-01-food-auto-0ac183=남은 채소 보관 중심으로 검색의도 분리 검토"
