post_id,url,title,primary_keyword,search_intent,mismatch_type,kw_in_opening,intent_in_opening,emotional_intro,opening_snippet,recommended_action
2026-07-30-cleaning-32,https://honsamnote.co.kr/blog/2026-07-30-cleaning-32/,1인 가구 청소 알아보기｜집안일 자동화,1인 가구 청소,문제해결형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 월요일 아침， 침대에서 겨우 몸을 일으켜 출근 준비를 시작합니다. 어제 미처 널지 못한 빨래는 세탁기 안에서 축축하고， 바닥에는 며칠 전부터 쌓인 먼지가 희끗합니다. 퇴근 후에는 지친 몸을 이끌고 겨우 배달음식으로 끼니를 때우고 나면， 쌓여가는 설거지， 빨래,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cost-2,https://honsamnote.co.kr/blog/2026-07-30-cost-2/,전기세 줄이기 비용 정리｜가스비 절약,전기세 줄이기,비용형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,문제 상황 퇴근 후 지친 몸을 이끌고 겨우 현관문을 열었는데， 우편함에 꽂힌 고지서를 보는 순간 심장이 덜컥 내려앉습니다. '지난달과 똑같이 썼는데 왜 이번 달은 이렇게 많이 나왔지?' 혼자 살기 시작한 지 얼마 안 된 당신이라면， 이 알 수 없는 공과금의 세계가 더욱,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cost-3,https://honsamnote.co.kr/blog/2026-07-30-cost-3/,"혼자 사는 직장인, 통신비 월 2만원 아끼는 알뜰폰+인터넷 vs 3사 결합, 현명한 선택 가이드",1인 가구 통신비,비교형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후 지친 몸을 이끌고 집에 왔는데， 다음 달 통신비 고지서가 또 헉 소리를 내게 합니다. 혼자 사는데 왜 이렇게 나가는 돈이 많은 걸까요? 특히 휴대폰 요금과 인터넷 요금을 합치면 생각보다 큰 비중을 차지합니다. 주변에서는 알뜰폰이 좋다고 하는데， 막상,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cost-4,https://honsamnote.co.kr/blog/2026-07-30-cost-4/,"퇴근 후 지친 혼밥러, 매달 20만원 아끼는 배달비·식비 줄이는 생활 습관",혼자사는직장인식비,문제해결형,KEYWORD_ABSENT_FROM_OPENING,no,yes,no,문제 상황 길고 고된 퇴근길， 현관문에 들어서는 순간 몸은 녹초가 됩니다. 냉장고에는 텅 비어 있거나 손질할 엄두가 나지 않는 식재료만 보입니다. 결국 스마트폰을 들어 배달 앱을 켜고， '이번 한 번만'이라는 생각으로 음식을 주문합니다. 편리함과 허기짐에 이끌려 한 끼,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cost-5,https://honsamnote.co.kr/blog/2026-07-30-cost-5/,"바쁜 1인 가구 직장인, 매달 새는 돈 막으려면? 잠든 구독 서비스 깨끗하게 정리하는 3단계",구독서비스 정리,방법형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,문제 상황 퇴근 후 지친 몸으로 집에 돌아와 배달 앱을 열고， 다음 날 출근길에 마실 커피를 사면서 문득 카드 명세서가 떠오릅니다. '이번 달도 꽤 썼구나…' 한숨을 쉬며 내역을 살펴보지만， 어떤 지출은 기억조차 나지 않습니다. 특히 매달 꾸준히 빠져나가는 '구독 서비,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cost-6,https://honsamnote.co.kr/blog/2026-07-30-cost-6/,1인 가구 보험 체크리스트｜보험료 아끼는 법,1인 가구 보험,체크형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,"문제 상황 퇴근 후 녹초가 되어 돌아온 당신， 주말엔 겨우 밀린 잠을 자거나 친구들과 만나는 것이 전부입니다. 그러다 문득 월급 명세서를 보며 한숨을 쉬죠. ""이번 달도 통장은 스쳐 지나가는구나…"" 월세， 관리비， 식비， 교통비， 통신비 등 고정 지출은 왜 이렇게 많은",CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cost-7,https://honsamnote.co.kr/blog/2026-07-30-cost-7/,관리비 절약 알아보기｜관리비 줄이는 법,관리비 절약,문제해결형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후 지친 몸으로 현관문을 열고 들어왔을 때， 당신을 반기는 건 얇디얇은 종이 한 장， 바로 관리비 고지서입니다. 혼자 사는 만큼 이것저것 아끼려고 노력했는데， 이번 달도 어쩐지 예상보다 높은 금액에 눈살을 찌푸리게 됩니다. '나 혼자 사는데 왜 이렇게 ,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-cost-70,https://honsamnote.co.kr/blog/2026-07-30-cost-70/,수도요금 폭탄 비용 정리｜누수,수도요금 폭탄,비용형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,문제 상황 퇴근 후 피곤한 몸을 이끌고 겨우 소파에 앉았는데， 띵동. 스마트폰으로 날아온 수도요금 고지서 알림에 순간 눈을 비볐습니다. '뭐지? 내가 물을 그렇게 많이 썼나?' 평소와 크게 다르지 않은 생활 패턴이었는데， 예상치 못한 숫자에 마음이 쿵 내려앉습니다. 혹,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-food-10,https://honsamnote.co.kr/blog/2026-07-30-food-10/,1인 가구 식재료 해결 방법｜소분 보관,1인 가구 식재료,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후 지친 몸을 이끌고 냉장고 문을 엽니다. 주말에 야심 차게 사둔 채소들은 이미 시들어가고， 대용량으로 산 고기는 냉장실에서 빛을 잃어가고 있죠. '이번 주말엔 꼭 요리해 먹어야지' 다짐했지만， 현실은 밀려드는 배달 앱 알림과 죄책감뿐입니다. 결국 먹지,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-food-11,https://honsamnote.co.kr/blog/2026-07-30-food-11/,식재료보관기간 해결 방법｜냉장고정리,식재료보관기간,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 힘든 퇴근 후， 겨우 몸을 이끌고 집에 도착했습니다. 텅 빈 냉장고를 채우기 위해 주말에 큰마음 먹고 장을 봤지만， 일주일이 지나면 어느새 냉장고 구석에서 시들거나 상해버린 식재료가 발견됩니다. '이건 언제 사온 거지?'， '아직 유통기한 남았는데 왜 이렇게,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-food-12,https://honsamnote.co.kr/blog/2026-07-30-food-12/,남은 음식 활용법 방법｜혼밥 식재료,남은 음식 활용법,방법형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,문제 상황 퇴근 후 지친 몸을 이끌고 집에 도착했습니다. 오늘 저녁은 뭘 해 먹을까 고민하다 냉장고 문을 열어보니， 지난 주말에 해 먹고 남은 찌개 냄비， 어제 반만 먹다 만 샐러드， 애매하게 남은 채소 조각들이 눈에 들어옵니다. '이걸 버려야 하나? 아니면 한 번 더,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-food-16,https://honsamnote.co.kr/blog/2026-07-30-food-16/,음식물 쓰레기 처리 해결 방법｜음식물 쓰레기 줄이기,음식물 쓰레기 처리,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후， 지친 몸을 이끌고 간단하게 요리해 먹고 나면 남는 건 항상 똑같은 고민입니다. 냉장고 구석에서 시들어가거나 곰팡이가 피어버린 식재료， 그리고 바로바로 처리하지 못해 주방에 스멀스멀 퍼지는 음식물 쓰레기 냄새. 좁은 집 안에 쌓이는 악취는 물론， 잦,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",원룸 계약 전 확인사항,방법형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,문제 상황 새로운 보금자리를 찾는 설렘도 잠시， 막상 마음에 쏙 드는 원룸을 발견하면 계약서에 도장을 찍기 바쁘죠. '이 정도면 괜찮겠지' 하는 마음으로 서류를 대충 훑어보고， 이미 지친 몸으로 대충 둘러본 후 덜컥 계약을 마무리합니다. 하지만 기쁨도 잠시， 입주 후 ,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-housing-43,https://honsamnote.co.kr/blog/2026-07-30-housing-43/,관리비 항목 알아보기｜관리비 확인법,관리비 항목,문제해결형,KEYWORD_ABSENT_FROM_OPENING,no,yes,no,문제 상황 설레는 마음으로 새 집에 입주한 것도 잠시， 첫 달 관리비 고지서를 받아들고 고개를 갸웃거린 적 있으신가요? 큼지막한 총액은 보이는데， 왜 이 돈을 내야 하는지 구체적인 내역은 알 길이 없어 답답합니다. '청소비， 경비비， 승강기 유지비' 같은 익숙한 항목 ,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",전입신고 방법,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,"문제 상황 새로운 보금자리로 이사하는 건 설레는 일이지만， 계약서 작성부터 이사 준비， 그리고 온갖 행정 처리까지 혼자 해내야 하는 일투성입니다. 특히 보증금 수천만 원이 걸린 전월세 계약 후， ""전입신고? 확정일자? 대체 왜 해야 하는 거지?""라는 막연한 걱정과 함께",CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-housing-46,https://honsamnote.co.kr/blog/2026-07-30-housing-46/,"이사 나가는 1인 가구, 복비·공과금 덤터기 없이 보증금 100% 안전하게 돌려받는 준비",보증금반환,문제해결형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,"문제 상황 퇴근 후 지친 몸을 이끌고 집에 왔는데， 다음 달 이사 날짜는 코앞이고 해야 할 일은 산더미 같나요? 짐 정리， 이사업체 선정， 새로운 집 구하기도 빠듯한데， 혹시 가장 큰돈인 보증금은 제대로 돌려받을 수 있을지 걱정이 앞서나요? ""이사 나갈 때 청소는 어디",CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-housing-47,https://honsamnote.co.kr/blog/2026-07-30-housing-47/,집주인수리책임 방법｜임대차계약,집주인수리책임,방법형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,문제 상황 퇴근 후 지친 몸을 이끌고 집에 들어섰는데， 화장실 변기 물이 시원하게 내려가지 않거나， 갑자기 보일러가 멈춰버려 싸늘한 기운이 감돌 때의 막막함， 느껴보셨나요? 혹은 벽 한구석에 피어나는 곰팡이를 애써 모른 척하다가 어느새 집 전체로 퍼질까 두려워 발만 동,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-housing-69,https://honsamnote.co.kr/blog/2026-07-30-housing-69/,보일러 고장 대처 알아보기｜보일러 수리,보일러 고장 대처,문제해결형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후 지친 몸을 이끌고 들어온 자취방. 따뜻한 물로 샤워하고 싶어 보일러를 틀었는데， 어쩐지 맹물만 콸콸 쏟아집니다. 설마 하는 마음에 난방 스위치를 올려보지만， 방바닥은 여전히 냉골. 한겨울 밤， 혼자 사는 집에 보일러마저 작동하지 않는다면 등골이 서늘,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-lifestyle-59,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-59/,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법",1인 가구 무기력,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 월요일부터 금요일까지 회사에서 에너지를 쏟아내고 나면， 퇴근 후 현관문을 열고 들어서는 순간부터 축 늘어지는 기분은 1인 가구 직장인이라면 한 번쯤 겪어봤을 겁니다. 배달 앱을 뒤적이다가 결국 아무것도 시키지 않고， 침대에 누워 스마트폰만 만지작거리며 몇 시,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-lifestyle-61,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-61/,1인 가구 외로움 해결 방법｜퇴근 후 쓸쓸함,1인 가구 외로움,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 바쁜 하루를 마치고 지친 몸을 이끌고 집에 들어서는 순간， 익숙한 적막이 우리를 맞이합니다. 현관문을 닫는 소리가 유난히 크게 울리고， 텅 빈 거실은 낮과는 다른 낯선 공기를 뿜어내죠. 잠시 TV를 켜 보지만 채널을 돌릴수록 공허함만 커지는 것 같고， 습관처,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-lifestyle-62,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-62/,1인 가구 식사 해결 방법｜끼니 거르지 않는 법,1인 가구 식사,방법형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,문제 상황 바쁜 직장 생활， 퇴근 후 현관문을 열고 들어서면 밀려오는 피곤함에 '오늘은 뭘 먹지?'라는 고민조차 사치처럼 느껴질 때가 많습니다. 냉장고에 먹을 게 없다는 사실을 깨닫거나， 막상 차려 먹으려니 너무 귀찮아서 대충 편의점 음식으로 때우거나 아예 한 끼를 건,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-lifestyle-64,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-64/,퇴근 후 시간 낭비 해결 방법｜무기력 극복,퇴근 후 시간 낭비,방법형,KEYWORD_ABSENT_FROM_OPENING,no,no,no,문제 상황 현관문을 열고 들어서는 순간， 길었던 하루의 피로와 함께 묘한 허전함이 밀려옵니다. 샤워하고 대충 저녁을 때우고 나면 벌써 저녁 8시. '이제 좀 쉬어볼까?' 하는 생각에 무심코 TV를 켜거나 스마트폰을 들여다봅니다. 인기 드라마의 다음 회차， 끝없이 이어지,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-lifestyle-65,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-65/,1인 가구 아플 때 해결 방법｜혼자 살 때 아프면,1인 가구 아플 때,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,no,문제 상황 밤새 열이 끓어올라 잠을 설쳤습니다. 아침이 되어 겨우 몸을 일으켜 세우려는데， 머리가 깨질 듯 아프고 온몸에 힘이 쭉 빠져 현기증이 돕니다. 겨우 화장실에 다녀와 비틀거리며 물을 마시려다가 컵을 놓쳤습니다. 쨍그랑 소리에 놀라 침대에 주저앉으니， 문득 ‘만,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-lifestyle-66,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-66/,"혼자 사는 당신, 옆집 소음에 지쳤다면 이웃과 '선'을 지키는 현실 관계 맺기",혼자 살기 이웃,문제해결형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후 지친 몸을 이끌고 집에 왔는데， 옆집에서 들려오는 음악 소리나 발걸음 소리에 머리가 지끈거린 적 있으신가요? 혹은 이웃을 마주쳤을 때 어디까지 인사를 해야 할지， 택배를 대신 받아줘야 할지 말아야 할지 애매해서 불편했던 경험은요? 혼자 사는 당신에게,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-products-50,https://honsamnote.co.kr/blog/2026-07-30-products-50/,1인 가구 세탁기 기준｜원룸 세탁기,1인 가구 세탁기,판단형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후 지친 몸으로 집에 들어섰을 때， 방 한구석에 쌓여가는 빨래 더미를 보면 한숨부터 나오시죠? 매번 코인 세탁소에 가는 것도 일이고， 그렇다고 손빨래를 하자니 시간과 체력 소모가 이만저만이 아닙니다. 작은 원룸 공간에 대형 세탁기를 들일 수도 없고， 그,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-products-51,https://honsamnote.co.kr/blog/2026-07-30-products-51/,1인 가구 미니 건조기 방법｜원룸 건조기 추천,1인 가구 미니 건조기,방법형,KEYWORD_ABSENT_FROM_OPENING,no,no,yes,문제 상황 퇴근 후 지쳐 쓰러질 것 같은 몸을 이끌고 집에 들어섰을 때， 방 한가득 빨래가 널려 있다면 어떠신가요? 좁디좁은 원룸에서 빨래 건조대는 늘 걸림돌이고， 제대로 마르지 않아 꿉꿉한 냄새라도 나면 그날 하루 피로는 두 배가 됩니다. 특히 요즘처럼 미세먼지가 심,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-products-52,https://honsamnote.co.kr/blog/2026-07-30-products-52/,로봇청소기 추천 기준｜로봇청소기 선택,로봇청소기 추천,판단형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,"문제 상황 퇴근 후 현관문을 열고 들어서는 순간， 바닥에 쌓인 잔먼지와 머리카락이 제일 먼저 눈에 들어옵니다. 주말엔 푹 쉬고 싶은데， 밀대나 일반 청소기를 들고 좁은 자취방 구석구석을 밀어야 하는 압박감에 한숨부터 나옵니다. ""좁은 원룸인데， 로봇청소기가 정말 필요할",CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-products-53,https://honsamnote.co.kr/blog/2026-07-30-products-53/,음식물 쓰레기 처리 방법｜음식물처리기 종류,음식물 쓰레기 처리,방법형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후 지친 몸으로 집에 돌아왔는데 싱크대에 놓인 음식물 쓰레기 봉투에서 스멀스멀 올라오는 악취. 특히 습하고 더운 여름철엔 초파리 떼까지 들끓어 위생은 물론 심리적 스트레스까지 더해집니다. 힘들게 요리한 뒤， 또는 배달 음식을 먹고 남은 소량의 음식물 쓰,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
2026-07-30-products-54,https://honsamnote.co.kr/blog/2026-07-30-products-54/,1인 가구 전기밥솥 기준｜미니 밥솥,1인 가구 전기밥솥,판단형,KEYWORD_ABSENT_FROM_OPENING,no,yes,yes,문제 상황 퇴근 후 지친 몸을 이끌고 집에 왔을 때， 따뜻한 집밥 한 끼가 간절할 때가 많죠. 하지만 밥솥을 열어보면 며칠 전 지어놓은 찬밥이 굳어있거나， 냉동실에 얼려둔 밥도 왠지 정이 가지 않습니다. 매번 배달 음식을 시켜 먹기엔 지갑이 가벼워지고 건강도 걱정될 때,CONTENT_ALIGNMENT_REQUIRED: 제목 키워드가 본문 앞부분에 없음 — 제목 수정 또는 본문 도입 개선
