main_post,duplicate_post,similarity_reason,recommended_action,expected_primary_keyword,redirect_required
2026-07-30-food-16,2026-08-07-food-auto-bb56bf,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 살림 (유사도 0.52),B. 역할 분리 검토,음식물 쓰레기 처리,아니오
2026-08-01-food-auto-2c9171,2026-08-01-food-auto-0f5d02,"같은 세부 클러스터(grocery-shopping) / 공통 표현: 1인 가구 장보기, 장보기 (유사도 0.51)",B. 역할 분리 검토,1인 가구 장보기,아니오
2026-08-01-food-auto-0f5d02,2026-08-04-food-auto-c6481a,"같은 세부 클러스터(grocery-shopping) / 공통 표현: 장보기, 돈 절약 (유사도 0.52)",B. 역할 분리 검토,1인 가구 장보기,아니오
2026-08-01-food-auto-0f5d02,2026-08-06-food-auto-ef165d,"같은 세부 클러스터(grocery-shopping) / 공통 표현: 1인 가구 장보기, 장보기 (유사도 0.53)",B. 역할 분리 검토,1인 가구 장보기,아니오
2026-08-01-food-auto-2c9171,2026-08-06-food-auto-ef165d,"같은 세부 클러스터(grocery-shopping) / 공통 표현: 1인 가구 장보기, 장보기 (유사도 0.57)",B. 역할 분리 검토,1인 가구 장보기,아니오
2026-08-01-food-auto-6b8a79,2026-08-06-food-auto-19b20f,같은 세부 클러스터(food-waste) / 공통 표현: 식재료 구매 (유사도 0.5),B. 역할 분리 검토,1인 가구 식재료,아니오
2026-08-01-food-auto-6b8a79,2026-08-07-food-auto-bb56bf,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 살림 (유사도 0.51),B. 역할 분리 검토,1인 가구 식재료,아니오
2026-08-01-food-auto-976f1b,2026-08-06-food-auto-b02493,같은 세부 클러스터(freeze-portion) / 공통 표현: 대용량 식재료 (유사도 0.5),B. 역할 분리 검토,1인 가구 식재료,아니오
2026-08-04-food-auto-c6481a,2026-08-06-food-auto-ef165d,같은 세부 클러스터(grocery-shopping) / 공통 표현: 장보기 (유사도 0.5),B. 역할 분리 검토,1인 가구 식재료,아니오
2026-08-06-food-auto-36b7bb,2026-08-07-food-auto-f5cf37,"같은 세부 클러스터(food-waste) / 공통 표현: 혼밥 레시피, 자취 요리, 요리팁 (유사도 0.63)",B. 역할 분리 검토,1인 가구 요리,아니오
2026-08-06-food-auto-75ad3e,2026-08-07-food-auto-bb56bf,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 살림 (유사도 0.51),B. 역할 분리 검토,1인 가구 냉동실,아니오
2026-07-30-cleaning-25,2026-07-31-cleaning-79,"같은 세부 클러스터(cleaning-tools-time) / 공통 표현: 청소 시간 절약, 효율적인 청소 (유사도 0.56)",B. 역할 분리 검토,1인 가구 청소 루틴,아니오
2026-07-30-cleaning-28,2026-07-31-cleaning-74,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 세탁기 냄새, 빨래 쉰 냄새 (유사도 0.56)",B. 역할 분리 검토,빨래 쉰 냄새 제거,아니오
2026-07-30-cleaning-28,2026-08-04-cleaning-auto-123d17,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 세탁 팁, 1인 가구 살림 (유사도 0.55)",B. 역할 분리 검토,빨래 쉰 냄새 제거,아니오
2026-07-30-cleaning-31,2026-08-06-cleaning-auto-ec8541,"같은 세부 클러스터(kitchen-cleaning) / 공통 표현: 찌든 때 청소, 주방 후드 청소 (유사도 0.57)",B. 역할 분리 검토,혼자 사는 집 청소,아니오
2026-07-30-cleaning-67,2026-08-07-cleaning-auto-c3121d,"같은 세부 클러스터(odor-removal) / 공통 표현: 냉장고 청소법, 1인 가구 냉장고, 냉장고 청소, 살림 팁 (유사도 0.67)",B. 역할 분리 검토,냉장고 냄새,아니오
2026-07-31-cleaning-74,2026-08-06-cleaning-auto-eb5789,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 세탁기 냄새, 세탁기 청소 (유사도 0.54)",B. 역할 분리 검토,세탁기 냄새,아니오
2026-07-31-cleaning-74,2026-08-08-cleaning-auto-e6a45e,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 세탁기 냄새, 세탁기 청소 (유사도 0.54)",B. 역할 분리 검토,세탁기 냄새,아니오
2026-07-31-cleaning-79,2026-08-06-cleaning-auto-858326,같은 세부 클러스터(cleaning-tools-time) / 공통 표현: 효율적인 청소 (유사도 0.5),B. 역할 분리 검토,1인 가구 청소,아니오
2026-08-06-cleaning-auto-f4b529,2026-08-01-cleaning-auto-070bfd,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 1인 가구 빨래, 빨래 (유사도 0.57)",B. 역할 분리 검토,1인 가구 빨래,아니오
2026-08-01-cleaning-auto-070bfd,2026-08-10-cleaning-auto-aeb4a0,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 1인 가구 빨래, 빨래 (유사도 0.55)",B. 역할 분리 검토,1인 가구 빨래,아니오
2026-08-01-cleaning-auto-2b8bbd,2026-08-10-cleaning-auto-6e0644,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 얼룩 제거, 세탁 꿀팁 (유사도 0.59)",B. 역할 분리 검토,옷 얼룩 제거,아니오
2026-08-01-cleaning-auto-48265b,2026-08-06-cleaning-auto-e80db8,"같은 세부 클러스터(odor-removal) / 공통 표현: 1인 가구 음식물 쓰레기, 음식물 쓰레기 냄새, 음식물쓰레기 (유사도 0.67)",B. 역할 분리 검토,1인 가구 음식물 쓰레기,아니오
2026-08-06-cleaning-auto-ec8541,2026-08-03-cleaning-auto-fd154a,같은 세부 클러스터(kitchen-cleaning) / 공통 표현: 1인 가구 주방 (유사도 0.5),B. 역할 분리 검토,주방 후드 청소,아니오
2026-08-08-cleaning-auto-e6a45e,2026-08-06-cleaning-auto-eb5789,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 세탁기 냄새, 세탁기 청소 (유사도 0.54)",B. 역할 분리 검토,세탁기 냄새,아니오
2026-08-06-cleaning-auto-f4b529,2026-08-10-cleaning-auto-aeb4a0,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 1인 가구 빨래, 빨래 (유사도 0.59)",B. 역할 분리 검토,1인 가구 빨래,아니오
2026-08-07-cleaning-auto-f340ae,2026-08-07-cleaning-auto-c3121d,"같은 세부 클러스터(odor-removal) / 공통 표현: 냉장고 정리 팁, 냉장고 냄새 제거 (유사도 0.53)",B. 역할 분리 검토,혼자사는직장인 냉장고,아니오
2026-08-08-housing-auto-82f28f,2026-07-30-housing-43,"같은 세부 클러스터(management-fee) / 공통 표현: 원룸 관리비, 오피스텔 관리비 (유사도 0.53)",B. 역할 분리 검토,관리비 줄이기,아니오
2026-07-30-housing-45,2026-08-09-housing-auto-da13ec,같은 세부 클러스터(moving-prep) / 공통 표현: 이사 체크리스트 (유사도 0.53),B. 역할 분리 검토,이사 준비,아니오
2026-08-01-housing-auto-abec0f,2026-08-01-housing-auto-ace922,같은 세부 클러스터(lease-contract) / 공통 표현: 보증금 보호 (유사도 0.51),B. 역할 분리 검토,전월세 계약갱신,아니오
2026-08-01-housing-auto-ecfb76,2026-08-07-housing-auto-5dd703,같은 세부 클러스터(lease-contract) / 공통 표현: 중도 해지 (유사도 0.51),B. 역할 분리 검토,계약 해지,아니오
2026-08-06-housing-auto-36b1cd,2026-08-08-housing-auto-d2c1ed,같은 세부 클러스터(deposit) / 공통 표현: 원상회복 (유사도 0.51),B. 역할 분리 검토,전월세 보증금,아니오
2026-08-06-housing-auto-9d6fe3,2026-08-07-housing-auto-5dd703,같은 세부 클러스터(lease-contract) / 공통 표현: 전월세 계약 해지 (유사도 0.5),B. 역할 분리 검토,1인 가구 이사,아니오
2026-07-30-lifestyle-61,2026-08-01-lifestyle-auto-b13421,같은 세부 클러스터(loneliness-isolation) / 공통 표현: 외로움 극복 (유사도 0.51),B. 역할 분리 검토,1인 가구 외로움,아니오
2026-08-06-lifestyle-auto-dd68b0,2026-08-03-lifestyle-auto-7c20c0,같은 세부 클러스터(relationship-management) / 공통 표현: 사회생활 (유사도 0.5),B. 역할 분리 검토,혼자 사는 직장인,아니오
2026-07-30-products-54,2026-08-01-products-78,"같은 세부 클러스터(kitchen-appliances) / 공통 표현: 미니 밥솥, 주방용품 (유사도 0.54)",B. 역할 분리 검토,1인 가구 전기밥솥,아니오
2026-08-01-products-78,2026-08-01-products-auto-b433a0,"같은 세부 클러스터(kitchen-appliances) / 공통 표현: 주방용품, 살림 최적화 (유사도 0.55)",B. 역할 분리 검토,1인용 밥솥,아니오
2026-08-01-products-auto-fee2c4,2026-08-01-products-auto-153ac4,"같은 세부 클러스터(air-environment) / 공통 표현: 1인 가구 공기청정기, 공기청정기 (유사도 0.53)",B. 역할 분리 검토,1인 가구 공기청정기,아니오
2026-08-01-products-auto-153ac4,2026-08-08-products-auto-3477b8,"같은 세부 클러스터(air-environment) / 공통 표현: 1인 가구 공기청정기, 공기청정기, 실내 공기 (유사도 0.59)",B. 역할 분리 검토,1인 가구 공기청정기,아니오
2026-08-01-products-auto-4d32dc,2026-08-01-products-auto-b433a0,"같은 세부 클러스터(kitchen-appliances) / 공통 표현: 1인 가구 식기세척기, 미니 식기세척기, 식기세척기 추천, 자취생 식기세척기, 식기세척기 (유사도 0.92)",C. 통합 후보,1인 가구 식기세척기,예(통합 승인 시)
2026-08-01-products-auto-4d32dc,2026-08-08-products-auto-38bb22,"같은 세부 클러스터(kitchen-appliances) / 공통 표현: 1인 가구 식기세척기, 미니 식기세척기, 식기세척기 추천, 식기세척기, 주방 가전 (유사도 0.98)",C. 통합 후보,1인 가구 식기세척기,예(통합 승인 시)
2026-08-01-products-auto-b433a0,2026-08-08-products-auto-38bb22,"같은 세부 클러스터(kitchen-appliances) / 공통 표현: 1인 가구 식기세척기, 미니 식기세척기, 식기세척기 추천, 식기세척기 (유사도 0.78)",C. 통합 후보,1인 가구 식기세척기,예(통합 승인 시)
2026-08-08-products-auto-613b49,2026-08-01-products-auto-d180b4,"같은 세부 클러스터(safety-products) / 공통 표현: 1인 가구 해충, 전문 방역 서비스, 셀프 방역 제품, 바퀴벌레, 셀프 방역 (유사도 0.68)",B. 역할 분리 검토,1인 가구 해충,아니오
2026-08-01-products-auto-d180b4,2026-08-08-products-auto-b03456,"같은 세부 클러스터(safety-products) / 공통 표현: 1인 가구 해충, 셀프 방역 제품, 바퀴벌레, 셀프 방역, 전문 방역 (유사도 0.63)",B. 역할 분리 검토,1인 가구 해충,아니오
2026-08-01-products-auto-fee2c4,2026-08-08-products-auto-3477b8,"같은 세부 클러스터(air-environment) / 공통 표현: 1인 가구 공기청정기, 공기청정기 (유사도 0.53)",B. 역할 분리 검토,1인 가구 공기청정기,아니오
2026-08-04-products-auto-db26cb,2026-08-10-products-auto-b0092a,"같은 세부 클러스터(kitchen-appliances) / 공통 표현: 1인 가구 에어프라이어, 간편 요리, 에어프라이어 (유사도 0.59)",B. 역할 분리 검토,1인 가구 에어프라이어,아니오
2026-08-08-products-auto-613b49,2026-08-08-products-auto-b03456,"같은 세부 클러스터(safety-products) / 공통 표현: 1인 가구 해충, 셀프 방역 제품, 바퀴벌레, 초파리, 셀프 방역 (유사도 0.63)",B. 역할 분리 검토,1인 가구 해충,아니오
2026-07-30-safety-34,2026-07-31-safety-73,"같은 세부 클러스터(emergency-response) / 공통 표현: 갑자기 아플 때, 건강관리 (유사도 0.62)",B. 역할 분리 검토,응급실 준비물,아니오
2026-07-30-safety-35,2026-08-05-safety-auto-9a8ad6,"같은 세부 클러스터(lock-security) / 공통 표현: 현관 보안, 생활 최적화 (유사도 0.51)",B. 역할 분리 검토,1인 가구 현관 보안,아니오
2026-07-30-safety-37,2026-08-09-safety-auto-14bba7,"같은 세부 클러스터(fire-prevention) / 공통 표현: 1인 가구 화재, 주방 화재 (유사도 0.56)",B. 역할 분리 검토,1인 가구 화재,아니오
2026-07-31-safety-72,2026-08-08-safety-auto-71a5f3,"같은 세부 클러스터(emergency-response) / 공통 표현: 혼자 사는 집 안전, 빈집털이 예방 (유사도 0.57)",B. 역할 분리 검토,혼자 사는 집 안전,아니오
2026-08-01-safety-auto-835af8,2026-08-01-safety-auto-0e6262,"같은 세부 클러스터(emergency-response) / 공통 표현: 일산화탄소 중독, 일산화탄소 (유사도 0.56)",B. 역할 분리 검토,일산화탄소 중독,아니오
2026-08-01-safety-auto-1a5c71,2026-08-01-safety-auto-a71046,"같은 세부 클러스터(emergency-response) / 공통 표현: 문 잠김, 열쇠 분실 (유사도 0.54)",B. 역할 분리 검토,혼자 사는 집 문 잠김,아니오
2026-08-01-safety-auto-835af8,2026-08-06-safety-auto-0b96ff,"같은 세부 클러스터(emergency-response) / 공통 표현: 보일러 안전, 일산화탄소 (유사도 0.59)",B. 역할 분리 검토,일산화탄소 중독,아니오
2026-08-01-safety-auto-835af8,2026-08-06-safety-auto-ec7c17,"같은 세부 클러스터(emergency-response) / 공통 표현: CO 경보기, 일산화탄소, 난방 (유사도 0.67)",B. 역할 분리 검토,일산화탄소 중독,아니오
2026-08-01-safety-auto-909169,2026-08-09-safety-auto-eb5e4c,"같은 세부 클러스터(lock-security) / 공통 표현: 열쇠 분실, 열쇠공 (유사도 0.52)",B. 역할 분리 검토,문 잠겼을 때,아니오
2026-08-01-safety-auto-b177af,2026-08-08-safety-auto-ee80c6,"같은 세부 클러스터(leak-accident) / 공통 표현: 혼자 사는 집 누수, 누수, 천장 누수, 벽 누수 (유사도 0.66)",B. 역할 분리 검토,혼자 사는 집 누수,아니오
2026-08-03-safety-auto-273fdf,2026-08-10-safety-auto-1af8f5,"같은 세부 클러스터(pest-control) / 공통 표현: 1인 가구 해충, 쥐 퇴치, 위생 (유사도 0.6)",B. 역할 분리 검토,1인 가구 해충,아니오
2026-08-03-safety-auto-273fdf,2026-08-10-safety-auto-46a836,"같은 세부 클러스터(pest-control) / 공통 표현: 해충 예방, 해충, 바퀴벌레, 쥐, 위생 (유사도 0.73)",B. 역할 분리 검토,1인 가구 해충,아니오
2026-08-03-safety-auto-273fdf,2026-08-10-safety-auto-e68c91,"같은 세부 클러스터(pest-control) / 공통 표현: 해충, 바퀴벌레, 위생 (유사도 0.59)",B. 역할 분리 검토,1인 가구 해충,아니오
2026-08-03-safety-auto-7bde55,2026-08-09-safety-auto-14bba7,"같은 세부 클러스터(fire-prevention) / 공통 표현: 주방 화재, 소화기 (유사도 0.57)",B. 역할 분리 검토,주방 화재,아니오
2026-08-06-safety-auto-ec7c17,2026-08-06-safety-auto-0b96ff,"같은 세부 클러스터(emergency-response) / 공통 표현: 일산화탄소 경보기, 일산화탄소 (유사도 0.6)",B. 역할 분리 검토,일산화탄소 경보기,아니오
2026-08-10-safety-auto-1af8f5,2026-08-10-safety-auto-e68c91,"같은 세부 클러스터(pest-control) / 공통 표현: 바퀴벌레 퇴치, 위생, 해충 방역 (유사도 0.61)",B. 역할 분리 검토,1인 가구 해충,아니오
2026-08-10-safety-auto-46a836,2026-08-10-safety-auto-e68c91,"같은 세부 클러스터(pest-control) / 공통 표현: 1인 가구 바퀴벌레, 방역, 위생, 해충, 바퀴벌레 (유사도 0.75)",C. 통합 후보,1인 가구 바퀴벌레,예(통합 승인 시)
2026-07-30-storage-19,2026-08-05-storage-auto-d93cd5,같은 세부 클러스터(oneroom-storage) / 공통 표현: 원룸수납 (유사도 0.5),B. 역할 분리 검토,침대밑수납,아니오
2026-07-30-storage-19,2026-08-06-storage-auto-772373,같은 세부 클러스터(oneroom-storage) / 공통 표현: 공간활용 (유사도 0.5),B. 역할 분리 검토,침대밑수납,아니오
2026-07-30-storage-19,2026-08-07-storage-auto-54d5cd,"같은 세부 클러스터(oneroom-storage) / 공통 표현: 원룸수납, 공간최적화 (유사도 0.59)",B. 역할 분리 검토,침대밑수납,아니오
2026-07-30-storage-24,2026-08-01-storage-auto-316ab0,같은 세부 클러스터(oneroom-storage) / 공통 표현: 정리 (유사도 0.59),B. 역할 분리 검토,1인 가구 수납,아니오
2026-07-30-storage-24,2026-08-06-storage-auto-ee77b8,같은 세부 클러스터(oneroom-storage) / 공통 표현: 정리 (유사도 0.52),B. 역할 분리 검토,1인 가구 수납,아니오
2026-07-30-storage-24,2026-08-10-storage-auto-046a46,같은 세부 클러스터(oneroom-storage) / 공통 표현: 정리 (유사도 0.5),B. 역할 분리 검토,1인 가구 수납,아니오
2026-08-01-storage-auto-316ab0,2026-08-06-storage-auto-ee77b8,같은 세부 클러스터(oneroom-storage) / 공통 표현: 정리 (유사도 0.53),B. 역할 분리 검토,1인 가구 수납,아니오
2026-08-01-storage-auto-316ab0,2026-08-10-storage-auto-046a46,같은 세부 클러스터(oneroom-storage) / 공통 표현: 정리 (유사도 0.51),B. 역할 분리 검토,1인 가구 수납,아니오
2026-08-08-storage-auto-12975c,2026-08-01-storage-auto-39ae63,같은 세부 클러스터(oneroom-storage) / 공통 표현: 청소 도구 (유사도 0.53),B. 역할 분리 검토,1인 가구 청소 도구 수납,아니오
2026-08-01-storage-auto-39ae63,2026-08-08-storage-auto-24e806,같은 세부 클러스터(oneroom-storage) / 공통 표현: 청소 도구 (유사도 0.51),B. 역할 분리 검토,1인 가구 수납,아니오
2026-08-01-storage-auto-c94563,2026-08-08-storage-auto-37bfb5,"같은 세부 클러스터(entryway-storage) / 공통 표현: 현관 정리, 퇴근 후 정리, 현관 수납, 시간 절약 (유사도 0.69)",B. 역할 분리 검토,현관 정리,아니오
2026-08-01-storage-auto-f1fb81,2026-08-06-storage-auto-b1740f,같은 세부 클러스터(oneroom-storage) / 공통 표현: 좁은 집 수납 노하우 (유사도 0.5),B. 역할 분리 검토,1인 가구 부피 큰 짐,아니오
2026-08-05-storage-auto-1764b0,2026-08-06-storage-auto-4e768a,"같은 세부 클러스터(closet-clothing) / 공통 표현: 1인 가구 옷장, 옷장 최적화 (유사도 0.53)",B. 역할 분리 검토,1인 가구 옷장,아니오
2026-08-07-storage-auto-613d62,2026-08-06-storage-auto-4e768a,"같은 세부 클러스터(closet-clothing) / 공통 표현: 좁은 옷장 수납, 옷 정리, 옷장 최적화 (유사도 0.62)",B. 역할 분리 검토,1인 가구 옷 정리,아니오
2026-08-06-storage-auto-772373,2026-08-07-storage-auto-fcc47d,같은 세부 클러스터(oneroom-storage) / 공통 표현: 좁은 원룸 수납 (유사도 0.5),B. 역할 분리 검토,1인 가구 캐리어,아니오
2026-08-06-storage-auto-ddb1d8,2026-08-07-storage-auto-6dca4b,같은 세부 클러스터(oneroom-storage) / 공통 표현: 효율적인 삶 (유사도 0.51),B. 역할 분리 검토,1인 가구 수납,아니오
2026-08-08-storage-auto-12975c,2026-08-08-storage-auto-24e806,같은 세부 클러스터(oneroom-storage) / 공통 표현: 청소 도구 (유사도 0.51),B. 역할 분리 검토,1인 가구 청소 도구 수납,아니오
