post_id,url,category,title,phrase_found,total_occurrences,sentence_context,decision,keep_reason,soften_suggestion,checked_date
2026-08-03-housing-auto-f53851,https://honsamnote.co.kr/blog/2026-08-03-housing-auto-f53851/,housing,"혼자 사는 직장인, 빈집 vs 풀옵션 원룸/오피스텔, 뭘 골라야 현명할까? 시간과 돈 아끼는 최적의 선택 가이드",무조건,2,"**무조건 월세만 보고 빈집 계약하기:** 당장 월세 몇만 원 아끼려고 빈집을 계약했는데, 막상 가전/가구를 새로 구매하려니 생각보다 훨씬 큰 초기 비용에 당황하는 경우가 많습니다.",SOFTEN,,"""완전히 제거""→""곰팡이 발생 정도와 위치에 따라 효과가 다를 수 있음""",2026-08-18
2026-08-07-cost-auto-24b43b,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-24b43b/,cost,"혼자 사는 직장인, 쌓여가는 먼지에 한숨만 나온다면? 로봇청소기 vs 일반 청소기, 내게 맞는 효율적인 청소법은?",반드시,2,반드시 정리해야 합니다.,SOFTEN,,"""반드시"" 삭제 또는 ""권장합니다""로 완화",2026-08-18
2026-08-07-cost-auto-24b43b,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-24b43b/,cost,"혼자 사는 직장인, 쌓여가는 먼지에 한숨만 나온다면? 로봇청소기 vs 일반 청소기, 내게 맞는 효율적인 청소법은?",완벽하게,2,"*   **청결 기준이 매우 높거나 꼼꼼한 청소를 선호하는 사람:** 로봇청소기는 구석이나 틈새, 오염이 심한 곳까지 완벽하게 청소하기 어렵습니다.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-08-housing-auto-d2c1ed,https://honsamnote.co.kr/blog/2026-08-08-housing-auto-d2c1ed/,housing,"혼자 사는 직장인, 이사 갈 때 퇴실 청소? 셀프 vs 전문 업체, 보증금 지키는 현명한 선택 가이드",완벽하게,1,"*   **청소에 대한 부담감이나 스트레스가 큰 사람:** 완벽하게 청소해야 한다는 압박감에 시달리고 싶지 않다면, 마음의 평화를 사는 비용이라 생각할 수 있습니다.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-10-safety-auto-1af8f5,https://honsamnote.co.kr/blog/2026-08-10-safety-auto-1af8f5/,safety,"혼자 사는 당신, 우리 집 바퀴벌레/쥐 발견했을 때: DIY 셀프 퇴치 vs. 전문 방역 서비스, 나에게 맞는 선택은?",반드시,2,사용 시 반드시 환기하고 반려동물이나 음식에 닿지 않도록 주의합니다.,SOFTEN,,"""반드시 완전히 제거""→""효과가 다를 수 있으며, 지속 발생 시 전문 방역 검토 권장""",2026-08-18
2026-08-10-safety-auto-1af8f5,https://honsamnote.co.kr/blog/2026-08-10-safety-auto-1af8f5/,safety,"혼자 사는 당신, 우리 집 바퀴벌레/쥐 발견했을 때: DIY 셀프 퇴치 vs. 전문 방역 서비스, 나에게 맞는 선택은?",완벽하게,1,"*   **완벽한 퇴치 어려움:** 눈에 보이는 해충만 잡는 데 그칠 수 있고, 알집이나 숨어있는 개체까지 완벽하게 제거하기 어려워 재발 가능성이 높습니다.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-11-safety-auto-197473,https://honsamnote.co.kr/blog/2026-08-11-safety-auto-197473/,safety,"혼자 사는 당신, 집에서 넘어져 움직일 수 없을까 걱정될 때: 웨어러블 낙상 감지기 vs. 공간형 비접촉 센서, 나에게 맞는 안전 선택은?",100%,2,"중요한 것은 어떤 시스템이든 100% 완벽하지 않다는 점을 인지하고, 본인의 활동성, 프라이버시 민감도, 예산 등을 종합적으로 고려하여 결정해야 합니다.",SOFTEN,,"""100%"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-11-safety-auto-197473,https://honsamnote.co.kr/blog/2026-08-11-safety-auto-197473/,safety,"혼자 사는 당신, 집에서 넘어져 움직일 수 없을까 걱정될 때: 웨어러블 낙상 감지기 vs. 공간형 비접촉 센서, 나에게 맞는 안전 선택은?",완벽하게,1,"*   비상 연락망 설정 및 테스트: 30분~1시간
*   **주의사항:**
    *   **완벽한 시스템은 없습니다:** 어떤 낙상 감지 시스템이든 100% 완벽하게 모든 낙상을 감지하거나, 오작동이 전혀 없는 것은 아닙니다.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-06-cost-auto-bf984a,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-bf984a/,cost,1인 가구 식비 절약 비교｜에어프라이어 구매,완벽하게,1,*   **복합형 가전제품에 대한 과도한 기대:** '에어프라이어+전자레인지+오븐' 같은 복합 제품이 모든 기능을 완벽하게 수행할 것이라고 기대하면 실망할 수 있습니다.,SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-07-cost-auto-efcd2f,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-efcd2f/,cost,"혼자 사는 직장인, 사랑하는 반려동물 병원비 폭탄 걱정된다면? 펫보험 vs 예방 관리, 내게 맞는 최적의 선택은?",100%,1,"*   **'보험료=만능'이라는 생각 금지:** 펫보험은 보장 한도와 자기부담금이 존재하며, 모든 질병을 100% 보장해주지 않습니다.",SOFTEN,,"""100%"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-08-cost-auto-770f4a,https://honsamnote.co.kr/blog/2026-08-08-cost-auto-770f4a/,cost,"혼자 사는 직장인, 답답한 실내 공기, 어떻게 관리해야 할까? 공기청정기 vs 제습기 vs 환기, 내게 맞는 최적의 선택은?",완벽하게,1,"이렇게 하면 오히려 악화됩니다

*   **환기 없이 공기청정기만 믿기:** 공기청정기는 미세먼지를 제거하지만, 이산화탄소 농도나 특정 유해 가스(새집증후군 유발 물질 등)를 완벽하게 제거하지 못합니다.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-08-safety-auto-be207d,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-be207d/,safety,"혼자 사는 당신, 집에서 원인 모를 이상한 냄새가 날 때: 위험 신호인지, 단순한 문제인지 판단하고 안전하게 대처하는 법",완전히,1,"원인과 판단 기준
집에서 나는 이상한 냄새는 생각보다 다양한 원인이 있을 수 있으며, 어떤 냄새냐에 따라 대처법이 완전히 달라집니다.",SOFTEN,,"""완전히 제거""→""냄새를 크게 줄일 수 있으며""",2026-08-18
2026-08-09-cost-auto-80b3c9,https://honsamnote.co.kr/blog/2026-08-09-cost-auto-80b3c9/,cost,"혼자 사는 직장인, 매주 장보기 귀찮고 음식물 쓰레기 걱정된다면? 식료품 정기배송 vs 직접 장보기, 내게 맞는 최적의 선택은?",100%,1,*   **선택의 제약:** 구성 품목을 내가 원하는 대로 100% 고르기 어려울 수 있습니다.,SOFTEN,,"""100%"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-11-cost-auto-bf7238,https://honsamnote.co.kr/blog/2026-08-11-cost-auto-bf7238/,cost,"혼자 사는 직장인, '오늘 뭐 먹지?' 고민에 매번 지갑 열린다면? 식비 확 줄이는 1인 가구 맞춤 식단 계획법",100%,1,"**주의사항:**
*   **완벽주의는 금물:** 식단 계획을 100% 지키지 못해도 괜찮습니다.",SOFTEN,,"""100%"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-11-cost-auto-bf7238,https://honsamnote.co.kr/blog/2026-08-11-cost-auto-bf7238/,cost,"혼자 사는 직장인, '오늘 뭐 먹지?' 고민에 매번 지갑 열린다면? 식비 확 줄이는 1인 가구 맞춤 식단 계획법",완벽하게,1,"먼저 확인할 결론
혼자 사는 직장인의 식비 고민을 해결하고 싶다면, **'미리 주 단위 식단 계획'을 세우는 것이 핵심입니다.** 단, 완벽하게 짜여진 식단표를 지키려 하기보다, 본인의 라이프스타일과 요리 역량을 고려한 **'현실적인 유연성'**이 중요합니다.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,housing,퇴실청소 분쟁 체크리스트｜원상복구 의무,반드시,2,"특히 '퇴실 시 전문 청소 의무', '특정 부분 원상복구' 등 특약이 있는지 반드시 확인해야 합니다.",SOFTEN,,"""반드시"" 삭제 또는 ""권장합니다""로 완화",2026-08-18
2026-08-06-safety-auto-a5c266,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-a5c266/,safety,"혼자 사는 당신, 외출 중 갑자기 가스·누수 사고 걱정될 때? 스마트 가스 감지기 vs. 스마트 누수 센서, 나에게 맞는 원격 모니터링은?",100%,1,"**❌ 사지 않아도 되는 경우**
*   **인덕션 등 전기 조리 기구만 사용하고 가스 보일러가 없는 100% 비가스 주택 거주자:** 가스 누출 위험 자체가 없습니다.",SOFTEN,,"""100%"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
2026-08-06-safety-auto-a5c266,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-a5c266/,safety,"혼자 사는 당신, 외출 중 갑자기 가스·누수 사고 걱정될 때? 스마트 가스 감지기 vs. 스마트 누수 센서, 나에게 맞는 원격 모니터링은?",완벽하게,1,"*   **만능은 아님:** 스마트 감지기는 사고를 '조기에 알려주는' 도구이지, 사고 자체를 '완벽하게 막아주는' 도구는 아닙니다.",SOFTEN,,"""완벽하게"" 표현 — 절대적 보장 불가. ""크게 줄일 수 있습니다"" 또는 ""효과가 있을 수 있습니다"" 수준으로 완화 권고.",2026-08-18
