post_id,category,matched_pattern,snippet,recommended_action
2026-08-03-safety-auto-7bde55,safety,금액,"* **소방 담요:** 20,000원 ~ 40,000원대 (보관",수치·법규 최신성 확인 필요
2026-08-04-cost-auto-7e7d88,cost,퍼센트,를 널어 실내 습도를 40~60%로 유지하면 체감 온도를 높,수치·법규 최신성 확인 필요
2026-08-04-cost-auto-dac7b3,cost,금액,"금액을 정하세요. (예: 0원, 3만원 이하, 5만원 이",수치·법규 최신성 확인 필요
2026-08-04-housing-auto-cbaa3c,housing,퍼센트,"합니다. (매매가의 0.3~0.5% 수준, 상한 요율 내에서",수치·법규 최신성 확인 필요
2026-08-04-housing-auto-cbaa3c,housing,법률·행정 용어,년 치 월세를 모으면 전세 보증금의 일부가 될 텐데 하는 생,수치·법규 최신성 확인 필요
2026-08-05-cost-auto-9715f2,cost,금액,"기 비용:** 생수는 거의 0원, 필터 피처는 3~5만원대",수치·법규 최신성 확인 필요
2026-08-05-cost-auto-9715f2,cost,법률·행정 용어,대이며 렌탈 시 설치비 및 보증금이 발생할 수 있습니다.,수치·법규 최신성 확인 필요
2026-08-05-cost-auto-e4ec33,cost,금액,** 지역마다 10L 기준 250원~500원 수준으로 다양합니,수치·법규 최신성 확인 필요
2026-08-05-cost-auto-e4ec33,cost,법률·행정 용어,따라야 합니다. 위반 시 과태료가 부과될 수 있습니다. (,수치·법규 최신성 확인 필요
2026-08-05-housing-auto-580e50,housing,법률·행정 용어,"니다."" * **추가 보증금 또는 월세:** 집주인이",수치·법규 최신성 확인 필요
2026-08-05-housing-auto-f0090f,housing,금액,반드시 확인합니다. (비용 700원) * **계약 조건,수치·법규 최신성 확인 필요
2026-08-05-housing-auto-f0090f,housing,퍼센트,해야 합니다. 월급의 25~30%를 넘지 않는 선에서 주거비,수치·법규 최신성 확인 필요
2026-08-05-housing-auto-f0090f,housing,법률·행정 용어,**중개 수수료:** 보증금과 월세에 따라 요율이 달라,수치·법규 최신성 확인 필요
2026-08-05-safety-auto-d98bca,safety,금액,해결 (과부하 조절):** 0원. 가전제품 사용 습관 조절,수치·법규 최신성 확인 필요
2026-08-06-cost-auto-515c77,cost,법률·행정 용어,해야 합니다. 6. **전입신고 및 주소 변경:** 이사,수치·법규 최신성 확인 필요
2026-08-06-cost-auto-b32a96,cost,금액,"* * 배송비 3,000원을 아끼기 위해 내가 직접",수치·법규 최신성 확인 필요
2026-08-06-cost-auto-c59747,cost,금액,"예시: 넷플릭스 프리미엄(17,000원) + 티빙 프리미엄(13,",수치·법규 최신성 확인 필요
2026-08-06-cost-auto-cfda8d,cost,금액,"니다. (예: 주 5회 * 5,000원 = 25,000원 → 월",수치·법규 최신성 확인 필요
2026-08-06-cost-auto-f652a0,cost,금액,"세요. (예: 작은 가구류 2,000원~5,000원, 대형 가전/",수치·법규 최신성 확인 필요
2026-08-06-cost-auto-f652a0,cost,퍼센트,"** 새 제품 가격의 50~70% 선에서 시작하되, 중고거래",수치·법규 최신성 확인 필요
2026-08-06-cost-auto-f652a0,cost,법률·행정 용어,"버리면 환경 오염은 물론, 과태료를 물게 될 수도 있습니다.",수치·법규 최신성 확인 필요
2026-08-06-housing-auto-1870eb,housing,법률·행정 용어,"* **예산:** 전세 보증금 또는 월세(보증금+월세),",수치·법규 최신성 확인 필요
2026-08-06-housing-auto-1a9827,housing,금액,*주행 요금:** 1km당 150원 ~ 200원대 (유류비 포,수치·법규 최신성 확인 필요
2026-08-06-housing-auto-36b1cd,housing,법령 조항,* 원상회복 의무는 민법 제615조에 명시된 임차인의 의무입니,수치·법규 최신성 확인 필요
2026-08-06-housing-auto-36b1cd,housing,법률·행정 용어,이 엄습해 옵니다. 바로 '보증금' 때문이죠. 벽에 걸었던,수치·법규 최신성 확인 필요
2026-08-06-housing-auto-5c27e6,housing,퍼센트,시되어 있는가?** (거의 100% 명시되어 있을 것입니다.),수치·법규 최신성 확인 필요
2026-08-06-housing-auto-5c27e6,housing,법률·행정 용어,"최악의 경우 계약 해지 및 보증금 손실, 심지어 손해배상 책",수치·법규 최신성 확인 필요
2026-08-06-housing-auto-778093,housing,법률·행정 용어,나갈 때 원상복구 문제로 보증금 반환에 차질이 생기거나 심,수치·법규 최신성 확인 필요
2026-08-06-housing-auto-849c13,housing,법률·행정 용어,"사 갈 때 원상복구 문제로 보증금 못 받는 건 아닐까?',",수치·법규 최신성 확인 필요
2026-08-06-housing-auto-9d6fe3,housing,법률·행정 용어,시 내가 너무 늦게 말해서 보증금을 못 돌려받는 건 아닐까?,수치·법규 최신성 확인 필요
2026-08-06-safety-auto-0b96ff,safety,금액,"건전지는 1개당 1,000~2,000원 내외이며, 교체는 1~2분",수치·법규 최신성 확인 필요
2026-08-06-safety-auto-97b7d5,safety,금액,"등록증 재발급 수수료:** 5,000원 정도 (사진 별도).",수치·법규 최신성 확인 필요
2026-08-06-safety-auto-a5c266,safety,퍼센트,용하고 가스 보일러가 없는 100% 비가스 주택 거주자:**,수치·법규 최신성 확인 필요
2026-08-07-cost-auto-0c25d9,cost,퍼센트,장기적으로는 월평균 20~40% 이상의 지출 절감 효과를,수치·법규 최신성 확인 필요
2026-08-07-cost-auto-431981,cost,금액,특정 사용량까지는 kWh당 100원이었던 요금이 그 이상을 사,수치·법규 최신성 확인 필요
2026-08-07-cost-auto-431981,cost,퍼센트,도를 1℃ 낮출 때마다 약 7%의 에너지를 절약할 수 있습,수치·법규 최신성 확인 필요
2026-08-07-cost-auto-7256ba,cost,금액,"고려 사항입니다. 최대한 0원에 해결하고 싶은지, 아니면",수치·법규 최신성 확인 필요
2026-08-07-cost-auto-7256ba,cost,법률·행정 용어,다. 무단 투기로 오해받아 과태료가 부과될 수 있습니다.,수치·법규 최신성 확인 필요
2026-08-07-cost-auto-846842,cost,법률·행정 용어,의하세요. * **전세보증금 보장 아님:** 이 보험은,수치·법규 최신성 확인 필요
2026-08-07-cost-auto-b1ff82,cost,금액,"* **장점:** 비용 0원에 가까움, 시간 제약 없음",수치·법규 최신성 확인 필요
2026-08-07-cost-auto-efcd2f,cost,퍼센트,부담해야 하는 비율(예: 10%~50%)을 확인합니다. 비,수치·법규 최신성 확인 필요
2026-08-07-housing-auto-0bc6a2,housing,퍼센트,지 않은 물건이 전체 짐의 50% 이상인가? * 현재,수치·법규 최신성 확인 필요
2026-08-07-housing-auto-5dd703,housing,법률·행정 용어,"달라지는 부분이 없는지, 보증금과 월세는 어떻게 되는지 등",수치·법규 최신성 확인 필요
2026-08-07-housing-auto-baa8f0,housing,퍼센트,"용, 실내 적정 습도(50~60%) 유지, 꾸준한 환기(특히",수치·법규 최신성 확인 필요
2026-08-07-housing-auto-baa8f0,housing,법률·행정 용어,나갈 때 원상회복 문제로 보증금까지 깎일까 봐 걱정이 앞섭,수치·법규 최신성 확인 필요
2026-08-07-housing-auto-eb35f1,housing,법률·행정 용어,니다. 임대차 계약서나 주택임대차보호법에 따라 집의 주요 설비나,수치·법규 최신성 확인 필요
2026-08-07-safety-auto-5a549d,safety,퍼센트,세요. * **100%는 없다:** 어떤 보관 솔,수치·법규 최신성 확인 필요
2026-08-07-safety-auto-5a549d,safety,법률·행정 용어,"통장 사본, 신분증 사본, 보증금 계약서 사본, 보험 증서,",수치·법규 최신성 확인 필요
2026-08-07-safety-auto-6b24c5,safety,금액,도어락 비밀번호 변경:** 0원 (자가) *,수치·법규 최신성 확인 필요
2026-08-07-safety-auto-6b24c5,safety,법률·행정 용어,"이 산더미처럼 밀려옵니다. 전입신고, 인터넷 설치, 짐 정리,",수치·법규 최신성 확인 필요
2026-08-08-cost-auto-65e819,cost,금액,"습니다. (평균 2,000~5,000원) * **가장",수치·법규 최신성 확인 필요
2026-08-08-cost-auto-770f4a,cost,퍼센트,"도를 확인해보세요. 여름철 70% 이상, 겨울철 50% 이상",수치·법규 최신성 확인 필요
2026-08-08-cost-auto-bbb3d7,cost,법률·행정 용어,요청해야 합니다. 보통 전세보증금 반환 시 또는 월세 마지막,수치·법규 최신성 확인 필요
2026-08-08-cost-auto-c1b0b5,cost,금액,천원 x 4시간 + 주행료 170원 x 50km) x 2회 +,수치·법규 최신성 확인 필요
2026-08-08-cost-auto-c1b0b5,cost,퍼센트,+ 취등록세 (차량가의 약 7%) + 첫해 자동차 보험료,수치·법규 최신성 확인 필요
2026-08-08-housing-auto-4e32dc,housing,법률·행정 용어,기준) 또는 임차인의 경우 임대차보호법 및 계약 특약에 따라 임대,수치·법규 최신성 확인 필요
2026-08-08-housing-auto-8b0461,housing,법률·행정 용어,수 있습니다. * **보증금 분쟁:** 이사 나갈 때,수치·법규 최신성 확인 필요
2026-08-08-housing-auto-d2c1ed,housing,금액,5만원. (기존 보유 시 0원) * **시간:**,수치·법규 최신성 확인 필요
2026-08-08-housing-auto-d2c1ed,housing,법률·행정 용어,"'대충 했다가 집주인에게 보증금 깎일까?', '전문 업체를",수치·법규 최신성 확인 필요
2026-08-08-safety-auto-2186aa,safety,금액,기능을 활용하는 것이므로 0원입니다. **시간:**,수치·법규 최신성 확인 필요
2026-08-09-cost-auto-80b3c9,cost,금액,"라인 주문 시 배송비(보통 2,500원~4,000원), 오프라인",수치·법규 최신성 확인 필요
2026-08-09-cost-auto-80b3c9,cost,퍼센트,품목을 내가 원하는 대로 100% 고르기 어려울 수 있습니다,수치·법규 최신성 확인 필요
2026-08-09-housing-auto-da13ec,housing,법률·행정 용어,부를 제대로 확인하지 못해 보증금 문제로 골치 아픈 일이 생,수치·법규 최신성 확인 필요
2026-08-10-housing-auto-4bca9b,housing,법률·행정 용어,"틀어질 수 있고, 퇴거 시 보증금 반환 지연 등 불이익을 받",수치·법규 최신성 확인 필요
