rank,post_id,url,category,cluster,old_title,proposed_title,primary_keyword,search_intent,optimization_score,reason
11,2026-08-07-storage-auto-4a268b,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-4a268b/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 집 '잡동사니 수납'에 고민이라면? 패브릭 수납함 vs 투명 플라스틱 박스, 내게 맞는 선택 기준 비교",좁은 집 수납 비교｜원룸 정리,좁은 집 수납,비교형,10.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
12,2026-08-08-safety-auto-fcd8d6,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-fcd8d6/,안전·응급상황,emergency-response,"혼자 사는 당신, 늦은 밤/주말 갑자기 아플 때: 응급실은 부담스럽고 일반 병원은 닫았을 때, 현명하게 병원 찾고 이동하는 법",1인가구 응급상황 비용 정리｜늦은 밤 병원,1인가구 응급상황,비용형,10.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
13,2026-08-13-safety-auto-6b585a,https://honsamnote.co.kr/blog/2026-08-13-safety-auto-6b585a/,안전·응급상황,emergency-response,"혼자 사는 당신, 늦은 밤 옆집/윗집에서 ‘쿵’ 또는 ‘악’ 하는 이상한 소리가 들려올 때: 단순 소음인지 위험 신호인지 판단하고 안전하게 대처하는 법",1인 가구 이웃 소음 기준｜밤늦은 소리,1인 가구 이웃 소음,판단형,10.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
14,2026-08-13-storage-auto-ccc061,https://honsamnote.co.kr/blog/2026-08-13-storage-auto-ccc061/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 집 싱크대/세면대 하부장이 '정리 안 되는 블랙홀'이라면? 배관 피해 깔끔하게 숨기고 효율적으로 쓰는 현실 수납법",싱크대 하부장 정리 알아보기｜세면대 하부장 수납,싱크대 하부장 정리,질문형,10.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
15,2026-08-03-storage-auto-45d4eb,https://honsamnote.co.kr/blog/2026-08-03-storage-auto-45d4eb/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 계절 바뀔 때마다 쌓이는 이불! 압축팩 vs 부직포 수납함, 현명하게 고르는 보관법 비교",1인 가구 수납 비교｜좁은 집 이불,1인 가구 수납,비교형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
16,2026-08-04-storage-auto-06061f,https://honsamnote.co.kr/blog/2026-08-04-storage-auto-06061f/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 책상 위 '전자기기 케이블 지옥'이라면? 깔끔한 '스마트 충전 스테이션' 만드는 현실 수납법",1인 가구 책상 정리 알아보기｜원룸 케이블 정리,1인 가구 책상 정리,질문형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
17,2026-08-06-safety-auto-063890,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-063890/,안전·응급상황,emergency-response,"혼자 사는 당신, 주말 밤 갑자기 음식 중독 증상이 나타났을 때: 응급처치부터 병원 방문 판단 기준까지",1인 가구 식중독 기준｜혼자 살 때 아플 때,1인 가구 식중독,판단형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
18,2026-08-06-safety-auto-b04dc4,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-b04dc4/,안전·응급상황,emergency-response,"혼자 사는 당신, 욕실/주방 배수구가 갑자기 막혀 물이 역류할 때: 당황하지 않고 안전하게 막고 해결하는 현실적인 방법",배수구 막혔을 때 방법｜싱크대 역류,배수구 막혔을 때,방법형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
19,2026-08-06-storage-auto-53c51c,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-53c51c/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 틈새 공간, 버려두기 아깝다면? '초슬림 틈새 선반' vs '모듈형 스택킹 수납', 현명하게 고르는 법 비교",1인 가구 틈새 수납 비교｜초슬림 선반,1인 가구 틈새 수납,비교형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
20,2026-08-06-storage-auto-d7c10d,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-d7c10d/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 '어딘가 어중간한 물건'에 발 걸린다면? 버려지는 틈새 공간, 숨은 수납력으로 바꾸는 현실 가이드",1인 가구 수납 알아보기｜좁은 공간 수납,1인 가구 수납,질문형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
21,2026-08-07-storage-auto-b02bd8,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-b02bd8/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 책상·선반 위 '쓸데없는 작은 소품들' 때문에 눈이 어지럽다면? '비움'과 '효율적인 진열'로 깔끔하게 쓰는 현실 수납법",1인 가구 소품 알아보기｜원룸 소품 정리,1인 가구 소품,질문형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
22,2026-08-08-storage-auto-15969c,https://honsamnote.co.kr/blog/2026-08-08-storage-auto-15969c/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 퇴근 후 벗어놓은 옷·가방, 좁은 원룸 임시 보관 어디에 할지 막막하다면? 이동식 행거 vs. 벽걸이 후크, 내게 맞는 선택 기준 비교",1인 가구 옷 수납 비교｜원룸 임시 보관,1인 가구 옷 수납,비교형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
23,2026-08-09-storage-auto-b54398,https://honsamnote.co.kr/blog/2026-08-09-storage-auto-b54398/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 '부피 큰 계절 이불' 어디에 보관해야 할지 막막하다면? 손상 없이 깔끔하게 보관하는 현실 수납법",1인 가구 이불 수납 알아보기｜원룸 이불 보관,1인 가구 이불 수납,질문형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
24,2026-08-12-safety-auto-52e6c7,https://honsamnote.co.kr/blog/2026-08-12-safety-auto-52e6c7/,안전·응급상황,emergency-response,"혼자 사는 당신, 주방/침실 화재 경보기가 갑자기 울릴 때: 당황하지 않고 안전하게 오작동 확인 및 대처하는 현실적인 방법",혼자 화재 경보기 방법｜화재 경보기 오작동,혼자 화재 경보기,방법형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
25,2026-08-12-storage-auto-0db620,https://honsamnote.co.kr/blog/2026-08-12-storage-auto-0db620/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 집 서랍 속 '조립 가구 남은 부품·자잘한 수리 용품' 때문에 어지럽다면? 깔끔하게 정리하고 필요할 때 바로 찾아 쓰는 현실 수납법",원룸 수납 알아보기｜자잘한 부품 정리,원룸 수납,질문형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
26,2026-08-14-storage-auto-be0ab4,https://honsamnote.co.kr/blog/2026-08-14-storage-auto-be0ab4/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 '식사·작업 공간' 부족하다면? 접이식 가구 vs 변신형 가구, 현명하게 고르는 법 비교",1인 가구 식사 공간 비교｜원룸 작업 공간,1인 가구 식사 공간,비교형,10.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
27,2026-08-01-cleaning-auto-b67a07,https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-b67a07/,청소·세탁·집안일,laundry-clothing,"혼자 사는 직장인, 대형 이불·겨울 외투 빨래? 코인 빨래방 vs 전문 세탁 서비스, 현명한 선택 기준",1인 가구 세탁 비교｜대형 이불 세탁,1인 가구 세탁,비교형,10.53,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
28,2026-08-06-cleaning-auto-07ebe3,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-07ebe3/,청소·세탁·집안일,laundry-clothing,"혼자 사는 당신, 건조기 돌릴 때마다 정전기·건조 시간 불만? 건조 시트 vs. 드라이볼, 후회 없는 선택 기준",건조기 정전기 비교｜건조 시간 단축,건조기 정전기,비교형,10.53,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
29,2026-08-04-safety-auto-ceca45,https://honsamnote.co.kr/blog/2026-08-04-safety-auto-ceca45/,안전·응급상황,emergency-response,"혼자 사는 당신, 갑자기 창문이 깨졌을 때? 날카로운 위험과 침입 걱정 없이 안전하게 대처하는 법",창문 깨짐 방법｜유리 파편,창문 깨짐,방법형,10.5,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
30,2026-08-05-storage-auto-c8c36f,https://honsamnote.co.kr/blog/2026-08-05-storage-auto-c8c36f/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 집에 못 박기 망설인다면? 벽 뚫지 않고 '숨은 공간' 활용하는 현실 수납법",1인 가구 벽 수납 알아보기｜원룸 못 박기,1인 가구 벽 수납,질문형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
31,2026-08-06-safety-auto-5817e5,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-5817e5/,안전·응급상황,emergency-response,"혼자 사는 당신, 태풍·호우·강풍 예보가 떴을 때: 갑작스러운 재해에 우리 집을 안전하게 지키는 현실적인 방법",1인가구 재난대비 체크리스트｜태풍 대비,1인가구 재난대비,체크형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
32,2026-08-06-safety-auto-b35351,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-b35351/,안전·응급상황,emergency-response,"혼자 사는 당신, 예상치 못한 방문자가 '점검왔다'며 현관문을 두드릴 때: 신분 확인부터 안전한 응대까지 현실적인 대처법",방문자 응대 체크리스트｜현관문,방문자 응대,체크형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
33,2026-08-06-storage-auto-19a86d,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-19a86d/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 '새 가구' 하나 들여도 수납 고민이라면? '다기능 수납 가구' 똑똑하게 고르는 현실 가이드",1인 가구 수납 가구 알아보기｜좁은 원룸 가구,1인 가구 수납 가구,질문형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
34,2026-08-06-storage-auto-bb011a,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-bb011a/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 대용량 생활용품 좁은 집에 쌓아두다 발 디딜 틈 없다면? 똑똑하게 수납하고 현명하게 비축하는 현실 가이드",1인 가구 대용량 구매 알아보기｜원룸 생활용품 보관,1인 가구 대용량 구매,질문형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
35,2026-08-06-storage-auto-c14a3a,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-c14a3a/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 중요한 서류와 영수증이 책상 위에 쌓여 답답하다면? 좁은 원룸 '종이 쓰레기' 없이 깔끔하게 보관하는 현실 수납법",1인 가구 서류 정리 알아보기｜원룸 수납,1인 가구 서류 정리,질문형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
36,2026-08-07-safety-auto-580f1f,https://honsamnote.co.kr/blog/2026-08-07-safety-auto-580f1f/,안전·응급상황,emergency-response,"혼자 사는 당신, 갑자기 심한 알레르기 반응이 나타났을 때: 증상 확인부터 응급처치, 병원 판단 기준까지",1인 가구 알레르기 기준｜혼자 알레르기,1인 가구 알레르기,판단형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
37,2026-08-07-storage-auto-c71b14,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-c71b14/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 '기본 수납공간' 없어 늘 어지럽다면? 첫 번째 대형 수납 가구 현명하게 고르는 법",1인 가구 수납장 방법｜원룸 옷장,1인 가구 수납장,방법형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
38,2026-08-07-storage-auto-ee20dc,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-ee20dc/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 집에 '쌓여가는 취미 용품' 때문에 스트레스라면? 깔끔하게 정리하고 몰입하며 즐기는 현실 수납법",1인 가구 취미 용품 알아보기｜좁은 집 수납,1인 가구 취미 용품,질문형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
39,2026-08-07-storage-auto-ffedfc,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-ffedfc/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 쌓여가는 책 때문에 좁은 원룸이 답답하다면? '이것'부터 확인하고 책 수납 최적화하는 현실 가이드",1인 가구 책 수납 알아보기｜좁은 원룸 책 정리,1인 가구 책 수납,질문형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
40,2026-08-08-storage-auto-276b92,https://honsamnote.co.kr/blog/2026-08-08-storage-auto-276b92/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 '세탁물 더미' 발에 채이고 지저분하다면? '고정형 vs 접이식 vs 다용도 세탁 바구니' 현명하게 고르는 법 비교",1인 가구 세탁 바구니 비교｜좁은 원룸 빨래통,1인 가구 세탁 바구니,비교형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
41,2026-08-08-storage-auto-fda98a,https://honsamnote.co.kr/blog/2026-08-08-storage-auto-fda98a/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 집에 '비상약 상자' 어디에 둬야 할지 막막하다면? 응급 상황에 찾기 쉽고 깔끔하게 보관하는 현실 수납법",1인 가구 약 수납 알아보기｜좁은 집 약 정리,1인 가구 약 수납,질문형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
42,2026-08-11-storage-auto-80b064,https://honsamnote.co.kr/blog/2026-08-11-storage-auto-80b064/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 빨래 건조대가 '거실 한가운데 애물단지'라면? '이동식 vs 접이식 vs 벽걸이' 현명하게 고르고 깔끔하게 쓰는 현실 수납법",1인 가구 빨래 건조대 비교｜좁은 집 건조대,1인 가구 빨래 건조대,비교형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
43,2026-08-12-safety-auto-020b2f,https://honsamnote.co.kr/blog/2026-08-12-safety-auto-020b2f/,안전·응급상황,emergency-response,"혼자 사는 당신, 욕실이나 주방 배수구에서 갑자기 악취가 올라올 때: 당황하지 않고 원인 파악부터 위생적으로 해결하는 현실적인 방법",배수구 냄새 제거 방법｜싱크대 악취,배수구 냄새 제거,방법형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
