post_id,url,title,total_phrase_count,top_phrase,top_phrase_count,all_phrases,priority,note
2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",7,퇴근 후,5,혼자 사는 당신(1); 퇴근 후(5); 혼자 사는 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-01-cleaning-auto-84665e,https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-84665e/,1인 가구 쓰레기 알아보기｜원룸 분리수거,7,퇴근 후,3,혼자 사는 당신(1); 퇴근 후(3); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-01-food-auto-7f290f,https://honsamnote.co.kr/blog/2026-08-01-food-auto-7f290f/,1인 가구 요리 비교｜미니 다지기 추천,7,퇴근 후,3,혼자 사는 당신(1); 현명한 선택(1); 퇴근 후(3); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-01-housing-auto-18e480,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-18e480/,"혼자 사는 직장인, 우리 집 화재·누수 걱정 끝! 내 보증금·물건 지키는 전월세 보험 똑똑하게 가입하기",7,혼자 사는 당신,4,혼자 사는 당신(4); 퇴근 후(1); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-01-products-auto-4d32dc,https://honsamnote.co.kr/blog/2026-08-01-products-auto-4d32dc/,1인 가구 식기세척기 방법｜미니 식기세척기,7,퇴근 후,4,혼자 사는 당신(1); 현명한 선택(1); 퇴근 후(4); 혼자 사는 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-01-products-auto-9e3228,https://honsamnote.co.kr/blog/2026-08-01-products-auto-9e3228/,1인 가구 밀키트 방법｜식비 절약 노하우,7,퇴근 후,4,혼자 사는 당신(1); 현명한 선택(1); 퇴근 후(4); 혼자 사는 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-03-products-auto-55fd7c,https://honsamnote.co.kr/blog/2026-08-03-products-auto-55fd7c/,1인 가구 스마트 조명 알아보기｜스마트홈 입문,7,퇴근 후,3,퇴근 후(3); 혼자 사는 직장인(2); 스마트하게(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-04-cost-auto-959521,https://honsamnote.co.kr/blog/2026-08-04-cost-auto-959521/,"혼자 사는 직장인, 집밥 먹고 싶은데 매번 고민된다면? 밀키트 vs 직접 요리 vs 간편식, 내게 맞는 최적의 선택은?",7,퇴근 후,4,퇴근 후(4); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-05-housing-auto-7ef549,https://honsamnote.co.kr/blog/2026-08-05-housing-auto-7ef549/,1인가구인터넷 비교｜통신3사,7,현명한 선택,3,혼자 사는 당신(1); 현명한 선택(3); 퇴근 후(1); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-cleaning-auto-858326,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-858326/,청소포 비교｜극세사 걸레,7,퇴근 후,4,현명한 선택(1); 퇴근 후(4); 1인 가구 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-07-cleaning-auto-40f096,https://honsamnote.co.kr/blog/2026-08-07-cleaning-auto-40f096/,1인 가구 청소 비교｜가사 서비스,7,퇴근 후,5,현명한 선택(1); 퇴근 후(5); 혼자 사는 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-07-lifestyle-auto-6d2617,https://honsamnote.co.kr/blog/2026-08-07-lifestyle-auto-6d2617/,1인가구 반려동물 알아보기｜반려동물 입양,7,퇴근 후,6,퇴근 후(6); 혼자 사는 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-08-food-auto-476c5f,https://honsamnote.co.kr/blog/2026-08-08-food-auto-476c5f/,1인 가구 밥 비교｜냉동밥 만드는 법,7,혼자 사는 직장인,3,현실적인 방법(1); 현명한 선택(1); 퇴근 후(2); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-09-food-auto-bd7a7d,https://honsamnote.co.kr/blog/2026-08-09-food-auto-bd7a7d/,1인 가구 채소 비교｜손질 채소 구매,7,퇴근 후,5,혼자 사는 당신(1); 현명한 선택(1); 퇴근 후(5),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-11-lifestyle-auto-90d3e2,https://honsamnote.co.kr/blog/2026-08-11-lifestyle-auto-90d3e2/,생활 리듬 회복 해결 방법｜밤샘 야근 후,7,퇴근 후,6,퇴근 후(6); 혼자 사는 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-07-30-lifestyle-59,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-59/,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법",6,퇴근 후,5,퇴근 후(5); 1인 가구 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-07-30-lifestyle-63,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-63/,안부 연락 해결 방법｜부모님 안부,6,퇴근 후,4,혼자 사는 당신(1); 퇴근 후(4); 1인 가구 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-07-30-safety-35,https://honsamnote.co.kr/blog/2026-07-30-safety-35/,1인 가구 현관 보안 해결 방법｜현관문 잠금,6,혼자 사는 당신,4,혼자 사는 당신(4); 퇴근 후(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-01-food-auto-6b8a79,https://honsamnote.co.kr/blog/2026-08-01-food-auto-6b8a79/,1인 가구 식재료 기준｜혼자 살 때 마트,6,퇴근 후,3,혼자 사는 당신(1); 퇴근 후(3); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-01-housing-auto-abec0f,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-abec0f/,"내 첫 전월세 계약 만료, 집주인 무리한 요구에 당황? 계약갱신청구권으로 당당하게 대처하는 법",6,혼자 사는 당신,4,혼자 사는 당신(4); 퇴근 후(1); 혼자 사는 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-01-safety-auto-835af8,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-835af8/,"혼자 사는 당신, 보일러나 난방기 사용 중 갑자기 어지럽고 메스꺼울 때? 침묵의 살인자 일산화탄소 대처법",6,혼자 사는 당신,5,혼자 사는 당신(5); 퇴근 후(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-04-food-auto-c6481a,https://honsamnote.co.kr/blog/2026-08-04-food-auto-c6481a/,1인 가구 식재료 비교｜식재료 구독 서비스,6,퇴근 후,6,퇴근 후(6),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-04-products-auto-db26cb,https://honsamnote.co.kr/blog/2026-08-04-products-auto-db26cb/,1인 가구 에어프라이어 비교｜간편 요리,6,퇴근 후,4,퇴근 후(4); 혼자 사는 직장인(1); 1인 가구 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-05-products-auto-7a3772,https://honsamnote.co.kr/blog/2026-08-05-products-auto-7a3772/,1인 가구 청소기 기준｜무선 청소기 추천,6,혼자 사는 당신,2,혼자 사는 당신(2); 후회 없는(1); 퇴근 후(2); 혼자 사는 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-cost-auto-3826dd,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-3826dd/,1인 가구 보안 비교｜스마트 도어락,6,혼자 사는 직장인,4,혼자 사는 당신(1); 퇴근 후(1); 혼자 사는 직장인(4),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-cost-auto-f652a0,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-f652a0/,"혼자 사는 직장인, 안 쓰는 물건 쌓여만 간다면? 중고거래 vs 나눔, 후회 없이 처분하고 용돈 버는 법",6,혼자 사는 직장인,3,현실적인 방법(1); 퇴근 후(2); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-food-auto-06029f,https://honsamnote.co.kr/blog/2026-08-06-food-auto-06029f/,1인 가구 양념 기준｜필수 양념,6,혼자 사는 당신,2,혼자 사는 당신(2); 현실적인 방법(1); 퇴근 후(1); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-food-auto-b02493,https://honsamnote.co.kr/blog/2026-08-06-food-auto-b02493/,1인 가구 식재료 비교｜소량 팩,6,현명한 선택,3,혼자 사는 당신(2); 현명한 선택(3); 퇴근 후(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-housing-auto-1a9827,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-1a9827/,"혼자 사는 직장인, 급하게 작은 짐 옮길 때? 카셰어링 탑차 vs 용달 서비스, 내 돈 아끼는 현명한 선택은?",6,혼자 사는 직장인,4,현명한 선택(1); 퇴근 후(1); 혼자 사는 직장인(4),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-products-auto-44e274,https://honsamnote.co.kr/blog/2026-08-06-products-auto-44e274/,1인 가구 인터넷 비교｜인터넷 요금제 비교,6,혼자 사는 직장인,5,퇴근 후(1); 혼자 사는 직장인(5),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-products-auto-aad52f,https://honsamnote.co.kr/blog/2026-08-06-products-auto-aad52f/,"혼자 사는 직장인, 매일 입는 옷 관리 막막하다면? 의류관리기 vs. 핸디 스팀다리미, 내게 딱 맞는 선택은?",6,혼자 사는 직장인,3,현명한 선택(1); 퇴근 후(2); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-06-products-auto-b3c106,https://honsamnote.co.kr/blog/2026-08-06-products-auto-b3c106/,1인 가구 도어록 방법｜스마트 도어록 설치,6,혼자 사는 직장인,3,혼자 사는 당신(1); 퇴근 후(1); 혼자 사는 직장인(3); 스마트하게(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-07-cost-auto-24b43b,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-24b43b/,"혼자 사는 직장인, 쌓여가는 먼지에 한숨만 나온다면? 로봇청소기 vs 일반 청소기, 내게 맞는 효율적인 청소법은?",6,퇴근 후,4,퇴근 후(4); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-07-food-auto-18079e,https://honsamnote.co.kr/blog/2026-08-07-food-auto-18079e/,1인 가구 저녁 비교｜혼밥 메뉴 고민,6,퇴근 후,4,퇴근 후(4); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-07-food-auto-55d572,https://honsamnote.co.kr/blog/2026-08-07-food-auto-55d572/,"혼자 사는 직장인, 퇴근 후 저녁 요리 망설일 때: 주말 2시간으로 평일 요리 시간 10분 만드는 스마트 식재료 준비 루틴",6,퇴근 후,4,현실적인 방법(1); 퇴근 후(4); 혼자 사는 직장인(1),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-07-products-auto-462713,https://honsamnote.co.kr/blog/2026-08-07-products-auto-462713/,1인 가구 식재료 알아보기｜냉장고 정리법,6,혼자 사는 당신,4,혼자 사는 당신(4); 퇴근 후(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-07-safety-auto-6b24c5,https://honsamnote.co.kr/blog/2026-08-07-safety-auto-6b24c5/,"혼자 사는 당신, 새 집 이사 직후 '이것' 안 하면 위험! 도어락 비밀번호와 열쇠 관리 안전 가이드",6,혼자 사는 당신,6,혼자 사는 당신(6),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-08-food-auto-0ac2e1,https://honsamnote.co.kr/blog/2026-08-08-food-auto-0ac2e1/,1인 가구 밥 해결 방법｜밥 보관법,6,혼자 사는 직장인,4,퇴근 후(2); 혼자 사는 직장인(4),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-08-food-auto-9b0e80,https://honsamnote.co.kr/blog/2026-08-08-food-auto-9b0e80/,1인 가구 허브 비교｜혼밥 향신료,6,혼자 사는 직장인,3,현명한 선택(2); 퇴근 후(1); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-10-cost-auto-88aeb7,https://honsamnote.co.kr/blog/2026-08-10-cost-auto-88aeb7/,1인 가구 주방 비교｜전기레인지 추천,6,혼자 사는 직장인,4,퇴근 후(2); 혼자 사는 직장인(4),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-11-products-auto-fb26b6,https://honsamnote.co.kr/blog/2026-08-11-products-auto-fb26b6/,"혼자 사는 직장인, 온라인으로 산 조립 가구 앞에서 막막하다면? 셀프 조립 vs. 전문가 서비스, 내게 딱 맞는 선택은?",6,현명한 선택,2,현명한 선택(2); 퇴근 후(2); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-13-food-auto-05f1fc,https://honsamnote.co.kr/blog/2026-08-13-food-auto-05f1fc/,혼밥 채소 해결 방법｜냉동 채소 활용,6,퇴근 후,3,현명한 선택(1); 퇴근 후(3); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-13-housing-auto-5aa38a,https://honsamnote.co.kr/blog/2026-08-13-housing-auto-5aa38a/,혼자 사는 직장인 택배 방법｜택배 분실,6,혼자 사는 직장인,3,혼자 사는 당신(1); 퇴근 후(2); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-13-products-auto-2cf601,https://honsamnote.co.kr/blog/2026-08-13-products-auto-2cf601/,1인 가구 제모 비교｜제모기 추천,6,혼자 사는 직장인,3,현명한 선택(1); 퇴근 후(2); 혼자 사는 직장인(3),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-08-14-products-auto-6493cd,https://honsamnote.co.kr/blog/2026-08-14-products-auto-6493cd/,"혼자 사는 직장인, 좁은 집에 쌓여가는 짐 때문에 한숨 쉰다면? 공유 창고 vs 집 안 공간 최적화, 내게 맞는 최적의 선택은?",6,퇴근 후,3,현명한 선택(1); 퇴근 후(3); 혼자 사는 직장인(2),HIGH,반복 표현 과다 — 다양한 표현으로 분산 검토
2026-07-29-food-9,https://honsamnote.co.kr/blog/2026-07-29-food-9/,1인 가구 식단 방법｜일주일 식단 짜기,5,퇴근 후,4,퇴근 후(4); 혼자 사는 직장인(1),MEDIUM,일반 수준
2026-07-30-cleaning-25,https://honsamnote.co.kr/blog/2026-07-30-cleaning-25/,1인 가구 청소 루틴 해결 방법｜퇴근 후 청소,5,퇴근 후,2,퇴근 후(2); 혼자 사는 직장인(2); 1인 가구 직장인(1),MEDIUM,일반 수준
2026-07-30-cost-6,https://honsamnote.co.kr/blog/2026-07-30-cost-6/,1인 가구 보험 체크리스트｜보험료 아끼는 법,5,1인 가구 직장인,2,혼자 사는 당신(1); 시간과 돈을 아껴(1); 퇴근 후(1); 1인 가구 직장인(2),MEDIUM,일반 수준
2026-07-30-lifestyle-61,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-61/,1인 가구 외로움 해결 방법｜퇴근 후 쓸쓸함,5,퇴근 후,2,현명한 선택(1); 퇴근 후(2); 혼자 사는 직장인(2),MEDIUM,일반 수준
2026-07-30-products-50,https://honsamnote.co.kr/blog/2026-07-30-products-50/,1인 가구 세탁기 기준｜원룸 세탁기,5,혼자 사는 당신,1,혼자 사는 당신(1); 현명한 선택(1); 퇴근 후(1); 혼자 사는 직장인(1); 1인 가구 직장인(1),MEDIUM,일반 수준
2026-08-01-cost-auto-f9f9ca,https://honsamnote.co.kr/blog/2026-08-01-cost-auto-f9f9ca/,1인 가구 식비 해결 방법｜식재료 소분,5,퇴근 후,2,퇴근 후(2); 혼자 사는 직장인(1); 스마트하게(2),MEDIUM,일반 수준
2026-08-01-food-auto-2c9171,https://honsamnote.co.kr/blog/2026-08-01-food-auto-2c9171/,1인 가구 장보기 알아보기｜대용량 식재료 활용,5,퇴근 후,2,현명한 선택(1); 퇴근 후(2); 스마트하게(2),MEDIUM,일반 수준
2026-08-01-lifestyle-auto-b13421,https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-b13421/,1인 가구 커뮤니티 해결 방법｜외로움 극복,5,퇴근 후,3,퇴근 후(3); 혼자 사는 직장인(2),MEDIUM,일반 수준
2026-08-01-lifestyle-auto-f56796,https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-f56796/,혼자 사는 집 비교｜퇴근 후 루틴,5,퇴근 후,3,퇴근 후(3); 혼자 사는 직장인(2),MEDIUM,일반 수준
2026-08-03-cleaning-auto-d96324,https://honsamnote.co.kr/blog/2026-08-03-cleaning-auto-d96324/,1인 가구 청소기 비교｜로봇청소기 추천,5,퇴근 후,2,현명한 선택(1); 퇴근 후(2); 1인 가구 직장인(2),MEDIUM,일반 수준
2026-08-03-cleaning-auto-fd154a,https://honsamnote.co.kr/blog/2026-08-03-cleaning-auto-fd154a/,전자레인지 냄새 제거 알아보기｜전자레인지 찌든 때,5,혼자 사는 당신,3,혼자 사는 당신(3); 퇴근 후(2),MEDIUM,일반 수준
2026-08-03-cost-auto-d01191,https://honsamnote.co.kr/blog/2026-08-03-cost-auto-d01191/,1인 가구 청소 서비스 방법｜생활비 절약,5,퇴근 후,2,현명한 선택(1); 퇴근 후(2); 혼자 사는 직장인(1); 1인 가구 직장인(1),MEDIUM,일반 수준
2026-08-04-cost-auto-7e7d88,https://honsamnote.co.kr/blog/2026-08-04-cost-auto-7e7d88/,"혼자 사는 직장인, 난방비 폭탄 걱정될 때! 우리 집 겨울, 후회 없이 따뜻하고 저렴하게 나는 법",5,퇴근 후,4,퇴근 후(4); 혼자 사는 직장인(1),MEDIUM,일반 수준
2026-08-04-products-auto-e91dfc,https://honsamnote.co.kr/blog/2026-08-04-products-auto-e91dfc/,가구 설치 알아보기｜조립 서비스,5,퇴근 후,2,혼자 사는 당신(1); 현명한 선택(1); 퇴근 후(2); 혼자 사는 직장인(1),MEDIUM,일반 수준
2026-08-05-products-auto-9973a7,https://honsamnote.co.kr/blog/2026-08-05-products-auto-9973a7/,1인 가구 택배 기준｜스마트 택배함,5,혼자 사는 직장인,3,현명한 선택(1); 퇴근 후(1); 혼자 사는 직장인(3),MEDIUM,일반 수준
2026-08-06-cleaning-auto-ec8541,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-ec8541/,주방 후드 청소 알아보기｜레인지 후드 청소,5,퇴근 후,4,현실적인 방법(1); 퇴근 후(4),MEDIUM,일반 수준
2026-08-06-cost-auto-515c77,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-515c77/,"혼자 사는 직장인, 매년 이사 갈 때마다 막막하다면? 직접 vs 전문 이사 서비스, 후회 없는 결정 가이드",5,퇴근 후,2,퇴근 후(2); 혼자 사는 직장인(2); 1인 가구 직장인(1),MEDIUM,일반 수준
2026-08-06-cost-auto-9d0ea4,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-9d0ea4/,1인 가구 해충 비교｜해충 박멸 비용,5,혼자 사는 직장인,2,혼자 사는 당신(1); 현명한 선택(1); 퇴근 후(1); 혼자 사는 직장인(2),MEDIUM,일반 수준
2026-08-06-cost-auto-b32a96,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-b32a96/,온라인 쇼핑 배송비 기준｜배송비 아끼는 법,5,퇴근 후,2,퇴근 후(2); 혼자 사는 직장인(2); 1인 가구 직장인(1),MEDIUM,일반 수준
2026-08-06-food-auto-993221,https://honsamnote.co.kr/blog/2026-08-06-food-auto-993221/,1인 가구 육수 비교｜혼자 요리 양념,5,퇴근 후,3,퇴근 후(3); 혼자 사는 직장인(2),MEDIUM,일반 수준
2026-08-06-housing-auto-1870eb,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-1870eb/,"혼자 사는 직장인, 새 집 어디로 갈까? 빌라 vs 오피스텔 vs 아파트, 시간과 돈 아끼는 현명한 선택 가이드",5,혼자 사는 직장인,3,혼자 사는 당신(1); 퇴근 후(1); 혼자 사는 직장인(3),MEDIUM,일반 수준
2026-08-06-products-auto-17f494,https://honsamnote.co.kr/blog/2026-08-06-products-auto-17f494/,"혼자 사는 직장인, 구겨진 옷 때문에 출근길 스트레스받는다면? 1인 가구 스팀다리미 vs 의류관리기, 내게 맞는 최적의 선택은?",5,혼자 사는 직장인,2,현명한 선택(1); 퇴근 후(1); 혼자 사는 직장인(2); 1인 가구 직장인(1),MEDIUM,일반 수준
2026-08-07-cleaning-auto-1c4212,https://honsamnote.co.kr/blog/2026-08-07-cleaning-auto-1c4212/,건조기 비교｜제습기,5,현명한 선택,2,혼자 사는 당신(1); 현명한 선택(2); 퇴근 후(2),MEDIUM,일반 수준
