id,post_id,url,title,risk_level,claim,claim_type,current_value,verification_required,verification_status,recommended_action,source_required,source_used,checked_date
11,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,보증금 보호의 기준 시점은 '전입신고와 확정일자를 모두 마친 다음 날 0시'입니다.,법률,보증금 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
12,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,이사 직후 미루다가 집주인에게 예기치 못한 문제가 발생(예: 집이 경매로 넘어감)하면 당신의 보증금이 보호받지 못하거나 후순위로 밀려날 수 있습니다.,법률,보증금이 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
13,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,둘 중 하나만 처리하면 보증금을 완벽하게 보호받을 수 없습니다.,법률,보증금을 완벽하게 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
14,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,"(첫 이용 시 프로그램 설치 등에 시간이 더 걸릴 수 있습니다.) 주의사항:전입신고는 이사 후 14일 이내 의무: 주민등록법에 따라 이사한 날로부터 14일 이내에 전입신고를 하지 않으면 과태료가 부과될 수 있습니다.",법률,과태료,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
15,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,(전입신고 기한) □ 임대차 계약서 원본을 준비했는가?,행정,전입신고 기한,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
16,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,원인과 판단 기준 전입신고와 확정일자가 왜 중요한지는 대한민국 주택임대차보호법과 직접적으로 연관되어 있습니다.,법률,확정일자가 왜 중요한지는 대한민국 주택임대차보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
17,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,확정일자의 중요성: '우선변제권' 확보 원인: 전입신고와 함께 확정일자를 받으면， 주택임대차보호법상 '우선변제권'이 생깁니다.,법률,"확정일자를 받으면, 주택임대차보호",yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
18,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,전대차(재임대) 계약에서 전입신고/확정일자 시도: 원칙적으로 전대차 계약은 임차인(전대인)의 동의를 얻어 재임대하는 것으로， 전차인(실제 거주자)은 전입신고와 확정일자를 통해 주택임대차보호법의 보호를 받기 어렵습니다.,법률,확정일자를 통해 주택임대차보호법의 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
19,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,직접 계약을 체결한 임차인만이 보증금을 보호받을 수 있습니다.,법률,임차인만이 보증금을 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
20,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,비용: 전입신고: 무료 확정일자: 주민센터 방문: 600원 인터넷 등기소(온라인): 500원 매우 저렴한 비용으로 당신의 수천만 원 보증금을 지킬 수 있습니다.,가격,600원 ,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
21,2026-07-30-housing-44,https://honsamnote.co.kr/blog/2026-07-30-housing-44/,"혼자 사는 직장인, 내 전월세 보증금 지키는 법: 이사 후 전입신고·확정일자 한 번에 끝내기",P1,비용: 전입신고: 무료 확정일자: 주민센터 방문: 600원 인터넷 등기소(온라인): 500원 매우 저렴한 비용으로 당신의 수천만 원 보증금을 지킬 수 있습니다.,가격,500원 ,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
22,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,이는 보증금을 보호받기 위한 필수 절차입니다.,법률,보증금을 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
23,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,보증금 보호: 전세나 월세로 이사할 경우， 이사 당일 새 집으로 전입신고와 확정일자를 받는 것은 보증금을 보호받기 위한 핵심 절차입니다.,법률,보증금 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
24,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,"[이사 D-7일 이전] – 행정 처리 및 필수 준비전입신고 및 확정일자 계획 수립: 새 집으로 이사하는 경우， 이사 후 관할 주민센터 방문 또는 '정부24' 웹사이트를 통해 전입신고를 하고 확정일자를 받아야 합니다.",법률,확정일자를 받아야 합니다. 이는 보증금을 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
25,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,보증금 보호: 전세나 월세로 이사할 경우， 이사 당일 새 집으로 전입신고와 확정일자를 받는 것은 보증금을 보호받기 위한 핵심 절차입니다.,법률,확정일자를 받는 것은 보증금을 보호,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
26,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,비용·시간·주의사항 비용 가이드 이삿짐센터: 1인 가구 포장이사 기준 50만 원~100만 원 이상(이사 거리， 짐의 양， 이사 날짜， 요일에 따라 상이).,가격,50만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
27,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,비용·시간·주의사항 비용 가이드 이삿짐센터: 1인 가구 포장이사 기준 50만 원~100만 원 이상(이사 거리， 짐의 양， 이사 날짜， 요일에 따라 상이).,가격,100만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
28,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,반포장은 30만 원~60만 원， 용달이사는 10만 원~30만 원 선(단순 운반).,가격,30만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
29,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,반포장은 30만 원~60만 원， 용달이사는 10만 원~30만 원 선(단순 운반).,가격,60만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
30,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,반포장은 30만 원~60만 원， 용달이사는 10만 원~30만 원 선(단순 운반).,가격,10만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
31,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,대형 폐기물 처리: 품목당 1천 원~1만 원대.,가격,1만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
32,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,입주 청소: 1인 가구 원룸(약 10평 내외) 기준 10만 원~20만 원.,가격,20만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
33,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,약 10~20% 정도 비용 절감 효과를 볼 수 있습니다.,통계,20%,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
34,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,부동산 중개 수수료: 임대차 계약 시 법정 요율에 따라 발생합니다.,가격,수수료: 임대차 계약,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
35,2026-07-30-housing-45,https://honsamnote.co.kr/blog/2026-07-30-housing-45/,"1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트",P1,입주 청소: 1인 가구 원룸(약 10평 내외) 기준 10만 원~20만 원.,통계,약 10,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
36,2026-07-30-housing-46,https://honsamnote.co.kr/blog/2026-07-30-housing-46/,"이사 나가는 1인 가구, 복비·공과금 덤터기 없이 보증금 100% 안전하게 돌려받는 준비",P1,계약 해지 통보 시점: 주택임대차보호법에 따라 계약 만료 6개월 전부터 2개월 전까지 임대인에게 계약 해지 통보를 해야 합니다.,법률,주택임대차보호법,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
37,2026-07-30-housing-46,https://honsamnote.co.kr/blog/2026-07-30-housing-46/,"이사 나가는 1인 가구, 복비·공과금 덤터기 없이 보증금 100% 안전하게 돌려받는 준비",P1,혼자서 모든 걸 책임져야 하는 1인 가구에게 이사 전 보증금 반환 준비는 막막하고 불안하기만 합니다.,법률,보증금 반환,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
42,2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,퇴실청소 분쟁 체크리스트｜원상복구 의무,P1,(이때를 대비해 통화 녹음이나 문자 기록도 남겨두는 것이 좋습니다.) 비용·시간·주의사항 자가 청소: 비용: 청소용품 구매 비용 (약 1만~5만 원).,가격,5만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
43,2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,퇴실청소 분쟁 체크리스트｜원상복구 의무,P1,전문 청소 업체: 비용: 원룸/오피스텔 기준 15만 원 ~ 30만 원 이상 (평수， 오염도， 업체별 편차 큼).,가격,15만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
44,2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,퇴실청소 분쟁 체크리스트｜원상복구 의무,P1,전문 청소 업체: 비용: 원룸/오피스텔 기준 15만 원 ~ 30만 원 이상 (평수， 오염도， 업체별 편차 큼).,가격,30만 원,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
45,2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,퇴실청소 분쟁 체크리스트｜원상복구 의무,P1,(이때를 대비해 통화 녹음이나 문자 기록도 남겨두는 것이 좋습니다.) 비용·시간·주의사항 자가 청소: 비용: 청소용품 구매 비용 (약 1만~5만 원).,통계,약 1,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
46,2026-07-30-safety-34,https://honsamnote.co.kr/blog/2026-07-30-safety-34/,"혼자 사는 내가 갑자기 아플 때, 응급실 가기 전 챙길 물건 최소화 리스트",P1,불필요한 구급차 이용은 과태료 대상이 될 수 있습니다.,법률,과태료,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
47,2026-07-30-safety-34,https://honsamnote.co.kr/blog/2026-07-30-safety-34/,"혼자 사는 내가 갑자기 아플 때, 응급실 가기 전 챙길 물건 최소화 리스트",P1,실비보험: 개인 실비보험에 가입되어 있다면 응급실 진료비 및 처치 비용의 일부를 보상받을 수 있습니다.,의료,응급실 진료비 및 처치,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
48,2026-07-31-housing-71,https://honsamnote.co.kr/blog/2026-07-31-housing-71/,"혼자 사는 집 고장! 집주인이 수리 미룰 때, 내 돈 아끼는 현실적인 해결 순서",P1,일반적으로 민법 제623조(임대인의 의무)에 따라 임대인(집주인)은 임차인(세입자)이 임대차 계약의 목적물(집)을 그 용도에 따라 사용·수익할 수 있도록 필요한 상태를 유지할 의무가 있습니다.,법률,법 제623조,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
49,2026-07-31-housing-71,https://honsamnote.co.kr/blog/2026-07-31-housing-71/,"혼자 사는 집 고장! 집주인이 수리 미룰 때, 내 돈 아끼는 현실적인 해결 순서",P1,소액심판 청구: 소액 보증금 반환이나 수리비 청구 등의 문제에 대해 법원에 직접 제기하는 소송 절차입니다.,법률,보증금 반환,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
50,2026-07-31-safety-72,https://honsamnote.co.kr/blog/2026-07-31-safety-72/,"장기 출장/휴가, 혼자 사는 집을 비울 때 빈집털이, 고지서 폭탄 걱정 없이 안전하게 떠나는 법",P1,가스 누출로 인한 화재나 폭발 사고를 막는 가장 기본적인 조치입니다.,가스,가스 누출로 인한 화재나 폭발,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
51,2026-07-31-safety-72,https://honsamnote.co.kr/blog/2026-07-31-safety-72/,"장기 출장/휴가, 혼자 사는 집을 비울 때 빈집털이, 고지서 폭탄 걱정 없이 안전하게 떠나는 법",P1,대기전력 낭비를 막고， 누전으로 인한 화재 위험을 줄일 수 있습니다.,전기,누전으로 인한 화재,yes,NEEDS_EXTERNAL_VERIFICATION,"공식기관(정부·지자체·법령) 확인 후 수정 또는 ""관련 기준 변경 가능 — 공식기관 최신 내용 확인 권장"" 안내 추가",정부기관·법령 원문·지자체,,
