post_id,title,url,current_category,proposed_cluster,orphan_reason,content_value,search_intent,recommended_action,incoming_link_candidates,confidence,orphan_type
2026-07-27-welcome,혼자 사는 삶을 더 쉽게 만드는 법 — 1인 가구 생활백서를 시작하며,https://honsamnote.co.kr/blog/2026-07-27-welcome/,,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,문제해결형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,(관련성 있는 후보 없음),MEDIUM,B
2026-08-06-cleaning-auto-ba24cc,"혼자 사는 당신, 설거지 후 주방 싱크대 물이 안 내려가? 지금 당장 막힌 배수구 뻥 뚫는 현실적인 솔루션",https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-ba24cc/,청소·세탁·집안일,욕실 청소,클러스터(욕실 청소)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,질문형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-cleaning-26(퇴근 후 마주한 눅눅한 욕실, 1인 가구 화장실 곰팡이, 딱 30분이면 끝내는 완벽 제거 가이드); 2026-07-30-cleaning-27(혼자 사는 당신, 샤워실 배수구 냄새? 퇴근 후 15분 만에 잡는 법); 2026-07-30-cleaning-29(바쁜 1인 가구, 침구 세탁 주기 헷갈릴 때? 쾌적한 잠자리를 위한 현실 가이드)",MEDIUM,C
2026-08-06-lifestyle-auto-2e08db,"혼자 사는 직장인, 평일 연차나 공휴일에 생활 리듬이 무너진다면? 나만의 '갓생 휴일' 루틴으로 재정비하는 현실 가이드",https://honsamnote.co.kr/blog/2026-08-06-lifestyle-auto-2e08db/,관계·고립·생활 리듬,생활리듬·시간관리,클러스터(생활리듬·시간관리)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,질문형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-lifestyle-60(주말 무기력 해결 방법｜주말 계획); 2026-07-30-lifestyle-62(퇴근 후 혼밥이 귀찮은 1인 가구, 매일 끼니 거르지 않고 건강 챙기는 현실적인 식사 루틴); 2026-07-30-lifestyle-64(퇴근 후 무기력함에 지친 1인 가구 직장인, 잠들기 전 2시간으로 내일을 바꾸는 저녁 루틴)",MEDIUM,C
2026-08-06-lifestyle-auto-7d8463,"혼자 사는 직장인, 퇴근 후 적당한 외부 활동 찾기가 망설여진다면? 소규모 취미 클래스 vs. 단기 체험 모임, 나에게 맞는 선택 기준",https://honsamnote.co.kr/blog/2026-08-06-lifestyle-auto-7d8463/,관계·고립·생활 리듬,관계 관리,클러스터(관계 관리)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,비교형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-lifestyle-65(혼자 사는 내가 갑자기 아플 때, 망설임 없이 도움을 요청하고 돌봐줄 사람 찾는 실전 가이드); 2026-08-01-lifestyle-auto-976633(1인 가구 직장인, '혼자라서 시간 많지?' 오해에 지쳤다면? 퇴근 후 내 시간 지키는 현명한 거절법); 2026-08-01-lifestyle-auto-ab470f(혼자 사는 직장인, 새로운 인연 찾기가 막막하다면? 데이팅 앱 vs. 오프라인 모임, 나에게 맞는 선택 기준)",MEDIUM,C
2026-08-06-safety-auto-5817e5,"혼자 사는 당신, 태풍·호우·강풍 예보가 떴을 때: 갑작스러운 재해에 우리 집을 안전하게 지키는 현실적인 방법",https://honsamnote.co.kr/blog/2026-08-06-safety-auto-5817e5/,안전·응급상황,응급상황 대처,클러스터(응급상황 대처)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,체크형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-safety-33(혼자 사는 당신, 갑자기 아플 때 후회하지 않을 '생활 비상 키트' 미리 준비하기); 2026-07-30-safety-34(혼자 사는 내가 갑자기 아플 때, 응급실 가기 전 챙길 물건 최소화 리스트); 2026-07-30-safety-36(혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요)",MEDIUM,C
2026-08-06-safety-auto-b35351,"혼자 사는 당신, 예상치 못한 방문자가 '점검왔다'며 현관문을 두드릴 때: 신분 확인부터 안전한 응대까지 현실적인 대처법",https://honsamnote.co.kr/blog/2026-08-06-safety-auto-b35351/,안전·응급상황,응급상황 대처,클러스터(응급상황 대처)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,체크형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-safety-33(혼자 사는 당신, 갑자기 아플 때 후회하지 않을 '생활 비상 키트' 미리 준비하기); 2026-07-30-safety-34(혼자 사는 내가 갑자기 아플 때, 응급실 가기 전 챙길 물건 최소화 리스트); 2026-07-30-safety-36(혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요)",MEDIUM,C
2026-08-07-food-auto-0e8387,"1인 가구 직장인, 혼자 시킨 배달 음식 한 끼에 다 못 먹을 때: 버리지 않고 다음 끼니까지 알뜰하게 즐기는 현실적인 전략",https://honsamnote.co.kr/blog/2026-08-07-food-auto-0e8387/,혼밥·식재료 관리,식재료 낭비 줄이기,클러스터(식재료 낭비 줄이기)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,문제해결형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-food-12(혼자 사는 당신, 냉장고 속 남은 음식 버릴지 말지 망설일 때, 안전하고 맛있게 활용하는 법); 2026-07-30-food-13(1인 가구, 남은 배달음식 버릴까? 다음 끼니까지 안전하게 보관하는 현실적인 팁); 2026-07-30-food-16(퇴근 후 요리하는 1인 가구, 냄새 없이 음식물 쓰레기 줄이는 현실적인 루틴)",MEDIUM,C
2026-08-07-housing-auto-e33294,"혼자 사는 직장인, 입주 며칠 만에 새 집에서 누수 발견! 당황 말고 수리비 책임 따지고 해결하는 법",https://honsamnote.co.kr/blog/2026-08-07-housing-auto-e33294/,주거·계약·이사,전월세 계약,클러스터(전월세 계약)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,방법형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-housing-46(이사 나가는 1인 가구, 복비·공과금 덤터기 없이 보증금 100% 안전하게 돌려받는 준비); 2026-07-30-housing-48(옵션 가전 고장 알아보기｜세입자 책임); 2026-08-01-housing-auto-abec0f(내 첫 전월세 계약 만료, 집주인 무리한 요구에 당황? 계약갱신청구권으로 당당하게 대처하는 법)",MEDIUM,C
2026-08-07-products-auto-75313c,1인 가구 보풀제거기 알아보기｜옷 보풀 제거,https://honsamnote.co.kr/blog/2026-08-07-products-auto-75313c/,1인 가구 제품·서비스,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,문제해결형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-07-30-products-51(꿉꿉한 빨래, 좁은 방에 널지 마세요! 1인 가구 직장인을 위한 미니 건조기, 실패 없이 선택하는 법); 2026-07-30-products-55(냉동실 자리 부족한 1인 가구 직장인, 식비 절약 소형 냉동고 꼭 사야 할까요?); 2026-08-06-products-auto-aad52f(혼자 사는 직장인, 매일 입는 옷 관리 막막하다면? 의류관리기 vs. 핸디 스팀다리미, 내게 딱 맞는 선택은?)",MEDIUM,B
2026-08-07-products-auto-bd7178,"혼자 사는 직장인, 낯선 초인종 소리에 불안하다면? 1인 가구 스마트 도어벨, 현명하게 고르는 3가지 기준",https://honsamnote.co.kr/blog/2026-08-07-products-auto-bd7178/,1인 가구 제품·서비스,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,판단형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-08-14-products-auto-50ff5a(혼자 사는 직장인, 낮에 배송된 택배 문 앞에 쌓여 불안하다면? 1인 가구 스마트 택배함 vs 무인택배함, 내게 맞는 최적의 선택은?); 2026-08-06-cost-auto-3826dd(혼자 사는 직장인, 불안한 우리 집 보안, 돈 들이지 않고 강화할 수 있을까? 스마트 도어락 vs CCTV vs 보안 서비스, 현명한 선택 가이드); 2026-07-30-products-50(혼자 사는 직장인, 빨래방 갈 시간 없을 때! 소형 세탁기, '이 기준'으로 후회 없이 고르세요)",MEDIUM,B
2026-08-07-safety-auto-580f1f,"혼자 사는 당신, 갑자기 심한 알레르기 반응이 나타났을 때: 증상 확인부터 응급처치, 병원 판단 기준까지",https://honsamnote.co.kr/blog/2026-08-07-safety-auto-580f1f/,안전·응급상황,응급상황 대처,클러스터(응급상황 대처)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,판단형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-safety-33(혼자 사는 당신, 갑자기 아플 때 후회하지 않을 '생활 비상 키트' 미리 준비하기); 2026-07-30-safety-34(혼자 사는 내가 갑자기 아플 때, 응급실 가기 전 챙길 물건 최소화 리스트); 2026-07-30-safety-36(혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요)",MEDIUM,C
2026-08-08-cleaning-auto-a4c61f,"혼자 사는 당신, 가습기/제습기 속 검은 물때와 퀴퀴한 냄새? 15분 만에 세균 걱정 없이 쾌적하게 만드는 현실 솔루션",https://honsamnote.co.kr/blog/2026-08-08-cleaning-auto-a4c61f/,청소·세탁·집안일,욕실 청소,클러스터(욕실 청소)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,질문형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-cleaning-26(퇴근 후 마주한 눅눅한 욕실, 1인 가구 화장실 곰팡이, 딱 30분이면 끝내는 완벽 제거 가이드); 2026-07-30-cleaning-27(혼자 사는 당신, 샤워실 배수구 냄새? 퇴근 후 15분 만에 잡는 법); 2026-07-30-cleaning-29(바쁜 1인 가구, 침구 세탁 주기 헷갈릴 때? 쾌적한 잠자리를 위한 현실 가이드)",MEDIUM,C
2026-08-08-cost-auto-c1b0b5,"혼자 사는 직장인, 가끔 차 필요할 때마다 택시비 부담되고 대중교통 불편하다면? 카셰어링 vs 중고차 vs 렌터카, 내게 맞는 최적의 이동 수단 찾는 법",https://honsamnote.co.kr/blog/2026-08-08-cost-auto-c1b0b5/,생활비 최적화,생활비 절약 전반,이미 유사한 다른 글이 있음(통합/역할분리 후보) — 이 글에 개별 링크를 만들기보다 그 검토 결과를 따라야 함,보통,비교형,통합/역할분리 검토 결과에 따름,"2026-07-29-cost-1(월급날 한숨만? 1인 가구 직장인의 한 달 고정비, 이대로 따라 하면 무조건 줄어듭니다); 2026-07-30-cost-6(내 돈 새는 줄도 몰랐죠? 1인 가구 직장인, 숨은 보험료 줄이는 3단계 점검법); 2026-08-01-cost-auto-0d71f8(혼자 사는 직장인, 배달 앱 유료 멤버십, 나에게 진짜 이득일까? 손익분기점 계산해 후회 없이 결정하는 법)",MEDIUM,D
2026-08-08-food-auto-2c836a,"1인 가구 직장인, 개봉한 식재료 신선하게 보관할 때: 밀폐 용기 vs. 랩·지퍼백, 당신의 최적 선택 가이드",https://honsamnote.co.kr/blog/2026-08-08-food-auto-2c836a/,혼밥·식재료 관리,식재료 낭비 줄이기,클러스터(식재료 낭비 줄이기)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,비교형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-food-12(혼자 사는 당신, 냉장고 속 남은 음식 버릴지 말지 망설일 때, 안전하고 맛있게 활용하는 법); 2026-07-30-food-13(1인 가구, 남은 배달음식 버릴까? 다음 끼니까지 안전하게 보관하는 현실적인 팁); 2026-07-30-food-16(퇴근 후 요리하는 1인 가구, 냄새 없이 음식물 쓰레기 줄이는 현실적인 루틴)",MEDIUM,C
2026-08-08-food-auto-76d24e,"1인 가구 직장인, 혼자 요리하고 남은 '애매한 한 끼분' 음식, 버리지 않고 다음 끼니까지 알뜰하게 즐기는 법",https://honsamnote.co.kr/blog/2026-08-08-food-auto-76d24e/,혼밥·식재료 관리,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,문제해결형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-07-29-food-9(퇴근 후 지쳐도 괜찮아: 1인 가구 직장인이 냉장고 털어 일주일 식단을 미리 짜는 현실적인 방법); 2026-07-30-food-10(퇴근 후 요리 스트레스 줄여줄 1인 가구 필수템, 식재료 소분과 냉동 보관 완벽 가이드); 2026-07-30-food-11(퇴근 후 지친 당신, 냉장고 식재료 썩히지 않고 알뜰하게 다 먹는 보관 기간 가이드)",MEDIUM,B
2026-08-08-food-auto-89ea49,"혼자 사는 직장인, 두부 한 모 앞에서 망설일 때: 버리지 않고 끝까지 신선하게 즐기는 구매부터 보관, 활용법",https://honsamnote.co.kr/blog/2026-08-08-food-auto-89ea49/,혼밥·식재료 관리,냉동·소분,"클러스터(냉동·소분)와의 주제 적합도가 높음(matchScore 2) — 단순히 아직 연결이 안 됐을 뿐, 양질 콘텐츠로 판단",높음,문제해결형,관련 글에서 링크 추가 검토,"2026-07-30-food-10(퇴근 후 요리 스트레스 줄여줄 1인 가구 필수템, 식재료 소분과 냉동 보관 완벽 가이드); 2026-08-01-food-auto-976f1b(1인 가구, 명절 선물 식재료 너무 많을 때? 버리지 않고 알뜰하게 소비하는 현명한 계획 세우기); 2026-08-03-food-auto-b8f8a0(1인 가구 직장인, 신선한 고기·생선 한 팩이 부담될 때? 버리지 않고 맛있게 즐기는 구매부터 소분, 냉동 보관까지의 현실적인 루틴)",MEDIUM,A
2026-08-08-food-auto-89f7c0,"1인 가구 직장인, 쌀 한 포대 앞에서 망설일 때: 소량 팩 vs. 대용량, 아니면 즉석밥? 당신의 밥상과 지갑을 위한 최적의 선택",https://honsamnote.co.kr/blog/2026-08-08-food-auto-89f7c0/,혼밥·식재료 관리,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,비교형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-07-29-food-9(퇴근 후 지쳐도 괜찮아: 1인 가구 직장인이 냉장고 털어 일주일 식단을 미리 짜는 현실적인 방법); 2026-07-30-food-11(퇴근 후 지친 당신, 냉장고 식재료 썩히지 않고 알뜰하게 다 먹는 보관 기간 가이드); 2026-08-01-food-auto-7bc9dc(1인 가구 직장인, 매일 밥 짓는 번거로움과 햇반의 지갑 압박 사이: 미니 밥솥 vs. 즉석밥, 당신의 최적 선택 가이드)",MEDIUM,B
2026-08-08-housing-auto-8b0461,"혼자 사는 직장인, 새집 입주 후 당황스러운 전기·가스·수도 명의 변경! 순서대로 해결하고 요금 폭탄 피하는 법",https://honsamnote.co.kr/blog/2026-08-08-housing-auto-8b0461/,주거·계약·이사,이사 준비,클러스터(이사 준비)에는 속하지만 대표성이 약함(matchScore 1) — 의도적으로 독립적인 글로 취급 가능,보통,비용형,독립 콘텐츠로 유지 — 무리하게 링크 만들지 않음,"2026-07-30-housing-42(내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법); 2026-07-30-housing-45(1인 가구 이사, 퇴근 후 틈틈이 준비해도 시간과 돈 아끼는 최적의 체크리스트); 2026-08-01-housing-auto-e11fd3(혼자 사는 직장인, 빈집 입주 가전·가구, 새것 vs 중고 vs 렌탈! 내 생활에 맞는 똑똑한 선택 가이드)",MEDIUM,C
2026-08-08-products-auto-a84bd7,"혼자 사는 직장인, 퇴근 후 무거운 장바구니 대신? 1인 가구 온라인 장보기 서비스, 현명하게 고르고 알뜰하게 이용하는 법",https://honsamnote.co.kr/blog/2026-08-08-products-auto-a84bd7/,1인 가구 제품·서비스,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,방법형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-08-12-products-auto-2ee7a1(혼자 사는 직장인, 매번 장보기 번거롭고 필요한 건 깜빡한다면? 1인 가구 맞춤 구독 박스 vs 직접 장보기, 나에게 딱 맞는 선택은?); 2026-08-06-cost-auto-bf984a(혼자 사는 직장인, 매일 식비는 줄이고 싶지만 요리할 시간은 부족하다면? 에어프라이어 vs 전자레인지, 후회 없이 결정하는 법); 2026-08-11-cost-auto-bf7238(혼자 사는 직장인, '오늘 뭐 먹지?' 고민에 매번 지갑 열린다면? 식비 확 줄이는 1인 가구 맞춤 식단 계획법)",MEDIUM,B
2026-08-09-housing-auto-1e381e,"혼자 사는 직장인, 장기간 집 비울 때? 스마트 기기 vs 지인 vs 관리사무소, 뭘 믿어야 안심될까?",https://honsamnote.co.kr/blog/2026-08-09-housing-auto-1e381e/,주거·계약·이사,(미분류),세부 클러스터에 매치되는 keyword/tag가 없어 미분류 상태 — §3 unclustered-review 결과를 먼저 확인,보통,비교형,unclustered-review 결과에 따라 클러스터 배정 후 재검토,"2026-08-11-products-auto-056afc(혼자 사는 직장인, 집 비울 때나 혼자 있을 때 우리 집 보안 걱정된다면? 1인 가구 홈 CCTV vs. 전문 보안 서비스, 내게 맞는 최적의 선택은?); 2026-07-30-safety-40(해외여행/출장 떠나는 1인 가구, 집 비우기 전 잊지 말아야 할 안전 점검 순서); 2026-08-01-safety-auto-c574d6(혼자 사는 당신, 외부 침입 대비할 때? 스마트 도어벨 vs. 가정용 CCTV, 나에게 맞는 현관 보안은?)",MEDIUM,B
