cluster_id,cluster_name,primary_page,primary_url,primary_title,supporting_page_count,supporting_pages,reason
lease-contract,전월세 계약,2026-07-30-housing-48,https://honsamnote.co.kr/blog/2026-07-30-housing-48/,옵션 가전 고장 알아보기｜세입자 책임,10,2026-07-30-housing-46; 2026-08-01-housing-auto-abec0f; 2026-08-07-housing-auto-5dd703; 2026-08-01-housing-auto-ecfb76; 2026-08-06-housing-auto-9d6fe3; 2026-08-01-housing-auto-ace922; 2026-08-05-housing-auto-580e50; 2026-08-11-housing-auto-a2f088; 2026-08-03-housing-auto-f53851; 2026-08-07-housing-auto-e33294,주제 적합도(matchScore 38.7점 환산)·들어오는 링크·본문 충실도 기준 최상위
ingredient-storage,식재료 보관,2026-08-06-food-auto-38c543,https://honsamnote.co.kr/blog/2026-08-06-food-auto-38c543/,"혼자 사는 직장인, 냉장고 문 열 때마다 스멀스멀 올라오는 퀴퀴한 냄새? 식욕도 위생도 살리는 깔끔한 해결법",10,2026-08-04-food-auto-8d3bfc; 2026-08-05-food-auto-c06744; 2026-08-11-food-auto-d47a0f; 2026-08-06-food-auto-c5562a; 2026-08-08-food-auto-0ac2e1; 2026-08-14-food-auto-950e9e; 2026-08-13-food-auto-f7b0fc; 2026-08-08-food-auto-cfd186; 2026-08-13-food-auto-4b3fa7; 2026-08-11-food-auto-a86ad1,주제 적합도(matchScore 46.6점 환산)·들어오는 링크·본문 충실도 기준 최상위
solo-meal-recipe,혼밥 레시피·식단,2026-07-29-food-9,https://honsamnote.co.kr/blog/2026-07-29-food-9/,퇴근 후 지쳐도 괜찮아: 1인 가구 직장인이 냉장고 털어 일주일 식단을 미리 짜는 현실적인 방법,9,2026-07-30-food-15; 2026-07-30-food-14; 2026-08-06-food-auto-585c1b; 2026-08-07-food-auto-e08b8c; 2026-08-07-food-auto-c3ab2b; 2026-08-14-food-auto-78155f; 2026-08-09-food-auto-e39c1f; 2026-08-07-food-auto-18079e; 2026-08-10-food-auto-0b9c15,주제 적합도(matchScore 92.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
moving-prep,이사 준비,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",9,2026-07-30-housing-45; 2026-08-01-housing-auto-e6f8ea; 2026-08-01-housing-auto-e11fd3; 2026-08-09-housing-auto-da13ec; 2026-08-06-housing-auto-1a9827; 2026-08-05-housing-auto-f0090f; 2026-08-07-housing-auto-0bc6a2; 2026-08-14-housing-auto-189ec3; 2026-08-08-housing-auto-8b0461,주제 적합도(matchScore 68.9점 환산)·들어오는 링크·본문 충실도 기준 최상위
lock-security,도어락·보안,2026-07-30-safety-35,https://honsamnote.co.kr/blog/2026-07-30-safety-35/,"혼자 사는 당신, 늦은 밤 퇴근 후 불안한 현관 보안 이대로 강화하세요",9,2026-08-01-safety-auto-909169; 2026-08-07-safety-auto-6b24c5; 2026-08-09-safety-auto-eb5e4c; 2026-08-05-safety-auto-9a8ad6; 2026-07-30-safety-39; 2026-08-01-safety-auto-c574d6; 2026-08-14-safety-auto-f47696; 2026-08-06-safety-auto-3d7ecc; 2026-08-07-safety-auto-eecdaa,주제 적합도(matchScore 77.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
fire-prevention,화재 예방,2026-07-30-safety-37,https://honsamnote.co.kr/blog/2026-07-30-safety-37/,나 혼자 사는 집에 불이 났다면? 당황하지 않고 대피하는 5단계 행동 수칙,9,2026-08-03-safety-auto-7bde55; 2026-08-09-safety-auto-14bba7; 2026-08-05-safety-auto-4e7f26; 2026-07-30-safety-40; 2026-08-04-safety-auto-3547d2; 2026-08-06-safety-auto-669f80; 2026-08-07-safety-auto-5a549d; 2026-08-07-safety-auto-a9b07e; 2026-08-08-safety-auto-be207d,주제 적합도(matchScore 61.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
relationship-management,관계 관리,2026-08-01-lifestyle-auto-ab470f,https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-ab470f/,"혼자 사는 직장인, 새로운 인연 찾기가 막막하다면? 데이팅 앱 vs. 오프라인 모임, 나에게 맞는 선택 기준",7,2026-07-30-lifestyle-65; 2026-08-01-lifestyle-auto-976633; 2026-08-03-lifestyle-auto-7c20c0; 2026-08-10-lifestyle-auto-1dd1a3; 2026-08-06-lifestyle-auto-dd68b0; 2026-08-04-lifestyle-auto-fd9e87; 2026-08-06-lifestyle-auto-7d8463,주제 적합도(matchScore 42.9점 환산)·들어오는 링크·본문 충실도 기준 최상위
cleaning-tools-time,청소도구·시간절약,2026-07-30-cleaning-25,https://honsamnote.co.kr/blog/2026-07-30-cleaning-25/,"퇴근 후 지친 1인 가구, 10분씩 쪼개서 끝내는 주간 청소 루틴",6,2026-08-03-cleaning-auto-d96324; 2026-07-31-cleaning-79; 2026-08-04-cleaning-auto-0b0c02; 2026-08-07-cleaning-auto-40f096; 2026-08-06-cleaning-auto-858326; 2026-08-05-cleaning-auto-b9c84f,주제 적합도(matchScore 78.3점 환산)·들어오는 링크·본문 충실도 기준 최상위
odor-removal,냄새 제거,2026-08-06-cleaning-auto-907063,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-907063/,"혼자 사는 당신, 현관문 열자마자 신발장 냄새에 미간 찌푸린다고요? 10분 만에 꿉꿉한 냄새 싹 잡고 쾌적하게 만드는 현실 솔루션",6,2026-08-07-cleaning-auto-f340ae; 2026-08-07-cleaning-auto-c3121d; 2026-07-30-cleaning-67; 2026-08-01-cleaning-auto-48265b; 2026-08-06-cleaning-auto-e80db8; 2026-08-09-cleaning-auto-e21eb5,주제 적합도(matchScore 41.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
kitchen-appliances,주방가전,2026-08-10-products-auto-b0092a,https://honsamnote.co.kr/blog/2026-08-10-products-auto-b0092a/,"혼자 사는 직장인, 퇴근 후 간편하고 맛있는 요리, 어떤 조리 기구가 답일까? 에어프라이어 vs 전자레인지, 내게 맞는 최적의 선택은?",6,2026-08-01-products-auto-4d32dc; 2026-08-01-products-auto-b433a0; 2026-07-30-products-54; 2026-08-04-products-auto-db26cb; 2026-08-01-products-78; 2026-08-08-products-auto-38bb22,주제 적합도(matchScore 34.5점 환산)·들어오는 링크·본문 충실도 기준 최상위
grocery-shopping,장보기·식비절약,2026-08-01-food-auto-2c9171,https://honsamnote.co.kr/blog/2026-08-01-food-auto-2c9171/,"1인 가구 직장인, 대형마트 대용량 식재료 앞에서 망설일 때? 현명하게 구매하고 다 쓰는 전략",6,2026-08-01-food-auto-0f5d02; 2026-08-04-food-auto-908ca9; 2026-08-04-food-auto-c6481a; 2026-08-06-food-auto-ef165d; 2026-08-08-food-auto-476c5f; 2026-08-10-food-auto-d3517e,주제 적합도(matchScore 57.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
freeze-portion,냉동·소분,2026-07-30-food-10,https://honsamnote.co.kr/blog/2026-07-30-food-10/,"퇴근 후 요리 스트레스 줄여줄 1인 가구 필수템, 식재료 소분과 냉동 보관 완벽 가이드",5,2026-08-01-food-auto-976f1b; 2026-08-03-food-auto-b8f8a0; 2026-08-06-food-auto-3a64d3; 2026-08-08-food-auto-89ea49; 2026-08-06-food-auto-b02493,주제 적합도(matchScore 52.5점 환산)·들어오는 링크·본문 충실도 기준 최상위
landlord-issues,집주인 문제,2026-08-06-housing-auto-778093,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-778093/,"혼자 사는 직장인, 우리 집 안전 지킴이! 디지털 도어락 vs 보조키, 내게 맞는 현명한 선택은?",5,2026-08-06-housing-auto-5c27e6; 2026-07-30-housing-47; 2026-07-31-housing-71; 2026-08-04-housing-auto-e8de0c; 2026-08-10-housing-auto-4bca9b,주제 적합도(matchScore 37.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
kitchen-storage,주방 수납,2026-07-30-storage-20,https://honsamnote.co.kr/blog/2026-07-30-storage-20/,"바쁜 1인 가구 직장인, 퇴근 후에도 어지러운 주방? 딱 3단계로 끝내는 현실적인 정리법",5,2026-08-06-storage-auto-ae69e9; 2026-08-08-storage-auto-55b81f; 2026-08-09-storage-auto-b05c4f; 2026-08-14-storage-auto-fcf546; 2026-08-03-storage-auto-747118,주제 적합도(matchScore 74.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
cleaning-appliances,청소가전,2026-08-05-products-auto-7a3772,https://honsamnote.co.kr/blog/2026-08-05-products-auto-7a3772/,"혼자 사는 직장인, 로봇청소기로 놓친 먼지까지 깔끔하게! 1인 가구 무선 스틱 청소기, 후회 없이 고르는 3가지 기준",4,2026-08-08-products-auto-57c503; 2026-07-30-products-52; 2026-07-31-products-77; 2026-07-30-products-58,주제 적합도(matchScore 42.5점 환산)·들어오는 링크·본문 충실도 기준 최상위
air-environment,공기청정기·환경가전,2026-08-07-products-auto-4602dc,https://honsamnote.co.kr/blog/2026-08-07-products-auto-4602dc/,"혼자 사는 직장인, 좁은 집 빨래 건조가 매번 스트레스라면? 의류건조기 vs. 제습기+건조대, 내게 딱 맞는 선택은?",3,2026-08-01-products-auto-153ac4; 2026-08-01-products-auto-fee2c4; 2026-08-08-products-auto-3477b8,주제 적합도(matchScore 33.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
pest-control,해충 퇴치,2026-08-03-safety-auto-273fdf,https://honsamnote.co.kr/blog/2026-08-03-safety-auto-273fdf/,"혼자 사는 당신, 한밤중 갑자기 대형 바퀴벌레나 쥐를 발견했을 때: 패닉 없이 안전하게 퇴치하고 예방하는 법",3,2026-08-10-safety-auto-1af8f5; 2026-08-10-safety-auto-46a836; 2026-08-10-safety-auto-e68c91,주제 적합도(matchScore 56.2점 환산)·들어오는 링크·본문 충실도 기준 최상위
closet-clothing,옷장·옷정리,2026-08-07-storage-auto-613d62,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-613d62/,"1인 가구 직장인, 계절 바뀌는 좁은 옷장 '철 지난 옷' 때문에 스트레스라면? 손상 없이 깔끔하게 보관하는 현실 수납법",3,2026-08-06-storage-auto-4e768a; 2026-08-05-storage-auto-1764b0; 2026-08-12-storage-auto-1aceff,주제 적합도(matchScore 56.9점 환산)·들어오는 링크·본문 충실도 기준 최상위
telecom-bill,통신비,2026-07-30-cost-3,https://honsamnote.co.kr/blog/2026-07-30-cost-3/,"혼자 사는 직장인, 통신비 월 2만원 아끼는 알뜰폰+인터넷 vs 3사 결합, 현명한 선택 가이드",2,2026-07-30-cost-80; 2026-08-08-cost-auto-123a00,주제 적합도(matchScore 39.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
management-fee,관리비,2026-07-30-housing-43,https://honsamnote.co.kr/blog/2026-07-30-housing-43/,"첫 관리비 고지서, 뭉뚱그려진 금액에 헷갈리는 1인 가구? 내 돈 지키는 항목별 확인법",2,2026-08-06-housing-auto-baef02; 2026-08-08-housing-auto-82f28f,주제 적합도(matchScore 36.3점 환산)·들어오는 링크·본문 충실도 기준 최상위
safety-products,생활안전용품,2026-08-08-products-auto-613b49,https://honsamnote.co.kr/blog/2026-08-08-products-auto-613b49/,1인 가구 해충 비교｜벌레 퇴치법,2,2026-08-01-products-auto-d180b4; 2026-08-08-products-auto-b03456,주제 적합도(matchScore 37.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
leak-accident,누수·생활사고,2026-08-01-safety-auto-b177af,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-b177af/,"혼자 사는 당신, 갑자기 천장에서 물이 새거나 벽이 젖을 때 당황하지 않고 대처하는 방법",2,2026-08-06-safety-auto-a5c266; 2026-08-08-safety-auto-ee80c6,주제 적합도(matchScore 31.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
entryway-storage,현관 수납,2026-08-01-storage-auto-c94563,https://honsamnote.co.kr/blog/2026-08-01-storage-auto-c94563/,"퇴근 후 1인 가구, 현관문 열자마자 어지럽다면? 1평 현관, '비우는 공간'으로 만드는 현실 수납법",2,2026-08-08-storage-auto-37bfb5; 2026-08-07-storage-auto-2cdaeb,주제 적합도(matchScore 34.1점 환산)·들어오는 링크·본문 충실도 기준 최상위
neighbor-noise,이웃·층간소음,2026-08-07-lifestyle-auto-6e452d,https://honsamnote.co.kr/blog/2026-08-07-lifestyle-auto-6e452d/,"혼자 사는 직장인, 낯선 이웃이 자꾸 말 걸고 다가올 때? 적정 거리 지키며 관계 최적화하는 실전 가이드",1,2026-07-30-lifestyle-66,주제 적합도(matchScore 32.5점 환산)·들어오는 링크·본문 충실도 기준 최상위
appliance-layout,가전 배치·공간활용,2026-07-30-storage-17,https://honsamnote.co.kr/blog/2026-07-30-storage-17/,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",1,2026-08-09-storage-auto-897697,주제 적합도(matchScore 86.6점 환산)·들어오는 링크·본문 충실도 기준 최상위
trash-disposal,쓰레기·폐기,2026-08-01-cleaning-auto-84665e,https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-84665e/,"혼자 사는 직장인, 좁은 원룸 쓰레기 산? 악취 없이 깔끔하게 버리는 스마트 분리배출 루틴",1,2026-08-13-cleaning-auto-545cef,주제 적합도(matchScore 23.0점 환산)·들어오는 링크·본문 충실도 기준 최상위
solo-cooking-tips,자취요리 팁,2026-08-06-food-auto-06029f,https://honsamnote.co.kr/blog/2026-08-06-food-auto-06029f/,"혼자 사는 직장인, 첫 요리에 어떤 양념 살지 막막할 때? 낭비 없이 우리 집 만능 양념통 만드는 현실적인 기준",1,2026-08-01-food-auto-7bc9dc,주제 적합도(matchScore 20.2점 환산)·들어오는 링크·본문 충실도 기준 최상위
electricity-bill,전기요금,2026-08-07-cost-auto-431981,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-431981/,"혼자 사는 직장인, 덥고 추울 때마다 전기요금 폭탄 걱정된다면? 숨은 전력 도둑 잡고 요금 확 줄이는 3단계 전략",1,2026-08-04-cost-auto-7e7d88,주제 적합도(matchScore 34.9점 환산)·들어오는 링크·본문 충실도 기준 최상위
electrical-safety,전기 안전,2026-08-05-safety-auto-d98bca,https://honsamnote.co.kr/blog/2026-08-05-safety-auto-d98bca/,"혼자 사는 당신, 늦은 밤 갑자기 두꺼비집이 내려가거나 콘센트에서 스파크가 튈 때: 당황하지 않고 안전하게 확인하고 대처하는 법",1,2026-08-11-safety-auto-d99e57,주제 적합도(matchScore 16.6점 환산)·들어오는 링크·본문 충실도 기준 최상위
