post_id,category,title,search_intent,has_conclusion_section,conclusion_section_title,p1_category,action,applied,note
2026-08-03-products-auto-1b3cc6,products,1인 가구 냉방 알아보기｜이동식 에어컨 장단점,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-04-safety-auto-61ce38,safety,칼에 베였을 때 기준｜요리 중 부상,판단형,false,,true,SKIP_P1,false,P1 고위험 카테고리(safety) — 건드리지 않음
2026-08-05-lifestyle-auto-420299,lifestyle,재택근무 루틴 알아보기｜재택근무 생활 리듬,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-05-storage-auto-d93cd5,storage,"1인 가구 직장인, 좁은 원룸 벽면을 효율적으로 쓰고 싶다면? 페그보드 vs. 벽 선반, 내게 맞는 선택 기준 비교",비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-06-cost-auto-e8c32b,cost,"혼자 사는 직장인, 예상치 못한 지출에 늘 불안하다면? 나만의 비상금 통장, 어떻게 만들어야 할까?",질문형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-06-food-auto-834b6e,food,1인가구냉동 비교｜식재료신선보관,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-06-lifestyle-auto-2e08db,lifestyle,생활 리듬 붕괴 알아보기｜평일 연차,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-06-lifestyle-auto-91c019,lifestyle,혼자 사는 친구 알아보기｜결혼 육아 친구,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-06-products-auto-17f494,products,"혼자 사는 직장인, 구겨진 옷 때문에 출근길 스트레스받는다면? 1인 가구 스팀다리미 vs 의류관리기, 내게 맞는 최적의 선택은?",비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-06-products-auto-2eb0f5,products,"혼자 사는 직장인, 짧은 출장/휴가 때 반려동물 돌봄 걱정이라면? 펫시터 vs. 펫호텔 vs. 스마트 기기, 내게 맞는 최적의 선택은?",비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-06-products-auto-b9fc71,products,"혼자 사는 직장인, 비싼 카페 커피 졸업하고 싶다면? 캡슐 커피 머신 vs 핸드드립, 나에게 딱 맞는 선택은?",비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-06-storage-auto-772373,storage,1인 가구 캐리어 알아보기｜좁은 원룸 수납,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-06-storage-auto-c25261,storage,1인 가구 서랍 정리 비교｜서랍 칸막이,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-07-cleaning-auto-21d8af,cleaning,다림질 매트 비교｜다리미판,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-07-lifestyle-auto-0b115c,lifestyle,1인 가구 감정 해소 비교｜심리 상담 비용,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-07-lifestyle-auto-6e452d,lifestyle,이웃 부담 알아보기｜낯선 이웃,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-07-safety-auto-a9b07e,safety,건물화재경보기 기준｜화재경보,판단형,false,,true,SKIP_P1,false,P1 고위험 카테고리(safety) — 건드리지 않음
2026-08-07-storage-auto-fcc47d,storage,1인 가구 수납 알아보기｜계절 가전 보관,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-08-cleaning-auto-176b73,cleaning,밥솥 냄새 알아보기｜밥솥 밥맛,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-08-cleaning-auto-a4c61f,cleaning,가습기 물때 알아보기｜제습기 냄새,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-08-cost-auto-123a00,cost,"혼자 사는 직장인, 매달 새는 통신비 아까울 때! 메이저 vs 알뜰폰, 내게 맞는 후회 없는 선택 가이드",비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-08-food-auto-89f7c0,food,1인 가구 쌀 비교｜쌀 보관,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-08-housing-auto-fd6c09,housing,1인 가구 외풍 차단 비교｜난방비 절약,비교형,false,,true,SKIP_P1,false,P1 고위험 카테고리(housing) — 건드리지 않음
2026-08-08-storage-auto-37bfb5,storage,1인 가구 외투 알아보기｜좁은 집 가방 수납,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-08-storage-auto-9dbb87,storage,1인 가구 욕실 수납 알아보기｜좁은 욕실 정리,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-09-cleaning-auto-117267,cleaning,실리콘 곰팡이 제거 알아보기｜욕실 곰팡이,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-09-food-auto-937ea1,food,1인 가구 고기 보관 알아보기｜혼밥 생선 보관,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-09-housing-auto-1e381e,housing,"혼자 사는 직장인, 장기간 집 비울 때? 스마트 기기 vs 지인 vs 관리사무소, 뭘 믿어야 안심될까?",비교형,false,,true,SKIP_P1,false,P1 고위험 카테고리(housing) — 건드리지 않음
2026-08-09-products-auto-df5dbc,products,1인 가구 폐기물 알아보기｜대형 폐기물 신고,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-09-safety-auto-14bba7,safety,"혼자 사는 당신, 주방이나 콘센트에서 작은 불이 났을 때: 스프레이형 간이 소화기 vs. 일반 분말 소화기, 나에게 맞는 선택은?",비교형,false,,true,SKIP_P1,false,P1 고위험 카테고리(safety) — 건드리지 않음
2026-08-09-storage-auto-897697,storage,1인 가구 공구 알아보기｜좁은 집 공구 수납,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-10-cost-auto-78f79c,cost,1인 가구 집 수리 비교｜자가 수리 비용,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-10-food-auto-d3517e,food,"혼자 사는 직장인, 특정 요리 후 남은 '이색 소량 식재료' (고수, 코코넛 밀크 등): 버리지 않고 다음 끼니까지 알뜰하게 해치우는 현실 가이드",문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-10-lifestyle-auto-1dd1a3,lifestyle,1인 가구 긴급 연락처 알아보기｜혼자 살 때 비상 연락망,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-10-lifestyle-auto-3e13f1,lifestyle,1인 가구 여행 알아보기｜혼자 여행,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-10-safety-auto-1af8f5,safety,1인 가구 해충 비교｜바퀴벌레 퇴치,비교형,false,,true,SKIP_P1,false,P1 고위험 카테고리(safety) — 건드리지 않음
2026-08-11-food-auto-d47a0f,food,1인 가구 식재료 알아보기｜대용량 과일,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-11-products-auto-3a0a24,products,"혼자 사는 직장인, 좁은 집에서 부피 큰 이불 빨래가 막막하다면? 코인 세탁소 vs 전문 업체, 내게 맞는 최적의 선택은?",비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-12-cost-auto-b36efb,cost,1인 가구 가구 비교｜중고 가구,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-12-food-auto-6ed755,food,1인 가구 우유 비교｜혼자 우유,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-12-food-auto-7b4cd9,food,1인 가구 유제품 보관 알아보기｜남은 생크림 활용,문제해결형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-13-cleaning-auto-545cef,cleaning,대형 폐기물 처리 기준｜소형 가전 버리기,판단형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-13-cleaning-auto-7ef0d4,cleaning,바닥청소 추천 비교｜물걸레 청소법,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-13-cost-auto-b1e536,cost,1인 가구 공구 비교｜멀티 공구 세트,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-13-food-auto-4b3fa7,food,1인 가구 과일 비교｜신선 베리,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-13-safety-auto-6b585a,safety,1인 가구 이웃 소음 기준｜밤늦은 소리,판단형,false,,true,SKIP_P1,false,P1 고위험 카테고리(safety) — 건드리지 않음
2026-08-13-safety-auto-dcd18d,safety,"혼자 사는 당신, 비상식량·비상용 물, 어떻게 준비해야 할까? 시판 비상식량 키트 vs. DIY 식료품 로테이션, 나에게 맞는 안전 선택은?",비교형,false,,true,SKIP_P1,false,P1 고위험 카테고리(safety) — 건드리지 않음
2026-08-14-cleaning-auto-1ca76b,cleaning,음식물 처리 비교｜음식물 쓰레기통,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
2026-08-14-lifestyle-auto-e506f6,lifestyle,1인 가구 기념일 비교｜혼자 생일 보내기,비교형,true,## 먼저 확인할 결론,false,APPLY,false,"[DRY RUN] 결론 섹션(""## 먼저 확인할 결론"")을 첫 번째 섹션으로 이동 예정"
