rank,post_id,url,current_title,proposed_title,primary_keyword,search_intent,cluster,primary_page,score,grade,confidence,action,reason
11,2026-08-06-safety-auto-8dc9e3,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-8dc9e3/,"혼자 사는 당신, 스마트 기기 많아 정전에 불안하다면? 휴대용 파워뱅크 vs. UPS, 나에게 맞는 정전 대비책은?",1인가구 정전 비교｜스마트홈 정전,1인가구 정전,비교형,emergency-response,no,10.4,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
12,2026-08-05-products-auto-7a3772,https://honsamnote.co.kr/blog/2026-08-05-products-auto-7a3772/,"혼자 사는 직장인, 로봇청소기로 놓친 먼지까지 깔끔하게! 1인 가구 무선 스틱 청소기, 후회 없이 고르는 3가지 기준",1인 가구 청소기 기준｜무선 청소기 추천,1인 가구 청소기,판단형,cleaning-appliances,yes,10.3,A,HIGH,APPLIED,"A등급 재판정: score 10.3, 대표 키워드+의도 포함, 충돌 없음"
13,2026-08-07-products-auto-4602dc,https://honsamnote.co.kr/blog/2026-08-07-products-auto-4602dc/,"혼자 사는 직장인, 좁은 집 빨래 건조가 매번 스트레스라면? 의류건조기 vs. 제습기+건조대, 내게 딱 맞는 선택은?",1인 가구 빨래 비교｜의류건조기,1인 가구 빨래,비교형,air-environment,yes,10.3,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
14,2026-07-30-cleaning-26,https://honsamnote.co.kr/blog/2026-07-30-cleaning-26/,"퇴근 후 마주한 눅눅한 욕실, 1인 가구 화장실 곰팡이, 딱 30분이면 끝내는 완벽 제거 가이드",1인 가구 화장실 청소 방법｜곰팡이 제거 방법,1인 가구 화장실 청소,방법형,bathroom-cleaning,yes,10.1,A,HIGH,APPLIED,"A등급 재판정: score 10.1, 대표 키워드+의도 포함, 충돌 없음"
15,2026-07-30-cleaning-29,https://honsamnote.co.kr/blog/2026-07-30-cleaning-29/,"바쁜 1인 가구, 침구 세탁 주기 헷갈릴 때? 쾌적한 잠자리를 위한 현실 가이드",1인 가구 침구 세탁 주기 알아보기｜침구 관리법,1인 가구 침구 세탁 주기,질문형,bathroom-cleaning,no,10.1,A,HIGH,APPLIED,"A등급 재판정: score 10.1, 대표 키워드+의도 포함, 충돌 없음"
16,2026-07-30-food-13,https://honsamnote.co.kr/blog/2026-07-30-food-13/,"1인 가구, 남은 배달음식 버릴까? 다음 끼니까지 안전하게 보관하는 현실적인 팁",배달음식 보관 알아보기｜남은 음식 처리,배달음식 보관,질문형,food-waste,yes,10,A,HIGH,APPLIED,"A등급 재판정: score 10.0, 대표 키워드+의도 포함, 충돌 없음"
17,2026-08-06-safety-auto-d2f981,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-d2f981/,"혼자 사는 당신, 늦은 밤 귀갓길 불안할 때? 호신용 경보기 vs. 스마트폰 호신 앱, 나에게 맞는 선택은?",1인 가구 안전 비교｜호신용 경보기,1인 가구 안전,비교형,emergency-response,no,10,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
18,2026-08-12-safety-auto-15ca61,https://honsamnote.co.kr/blog/2026-08-12-safety-auto-15ca61/,"혼자 사는 당신, 갑자기 정전될 때? 배터리식 비상등 vs. 충전식 자가발전/태양광 비상등, 나에게 맞는 안전 선택은?",1인 가구 정전 비교｜비상등 추천,1인 가구 정전,비교형,emergency-response,no,10,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
19,2026-08-01-safety-auto-0466e2,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-0466e2/,"혼자 사는 당신, 집에서 갑자기 쓰러지거나 움직일 수 없을 때? 스마트 응급 호출 시스템, 나에게 정말 필요할까?",1인 가구 안전 알아보기｜응급 호출,1인 가구 안전,질문형,emergency-response,no,9.9,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
20,2026-08-01-storage-auto-499287,https://honsamnote.co.kr/blog/2026-08-01-storage-auto-499287/,"베란다 없는 원룸러, 방 한가운데 빨래 건조대? 최소 공간으로 '빨래 지옥' 끝내는 법",원룸 빨래 알아보기｜빨래 건조대,원룸 빨래,질문형,oneroom-storage,no,9.9,A,HIGH,APPLIED,"A등급 재판정: score 9.9, 대표 키워드+의도 포함, 충돌 없음"
21,2026-08-13-safety-auto-dcd18d,https://honsamnote.co.kr/blog/2026-08-13-safety-auto-dcd18d/,"혼자 사는 당신, 비상식량·비상용 물, 어떻게 준비해야 할까? 시판 비상식량 키트 vs. DIY 식료품 로테이션, 나에게 맞는 안전 선택은?",1인 가구 비상식량 비교｜비상용 물 준비,1인 가구 비상식량,비교형,emergency-response,no,9.9,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
22,2026-08-03-lifestyle-auto-dfa23e,https://honsamnote.co.kr/blog/2026-08-03-lifestyle-auto-dfa23e/,"혼자 사는 직장인, 명절·연말연시 찾아오는 외로움, 나만의 방식으로 즐겁게 대비하는 법",혼자 명절 방법｜명절 외로움,혼자 명절,방법형,loneliness-isolation,no,9.8,A,HIGH,APPLIED,"A등급 재판정: score 9.8, 대표 키워드+의도 포함, 충돌 없음"
23,2026-08-01-cleaning-auto-84665e,https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-84665e/,"혼자 사는 직장인, 좁은 원룸 쓰레기 산? 악취 없이 깔끔하게 버리는 스마트 분리배출 루틴",1인 가구 쓰레기 알아보기｜원룸 분리수거,1인 가구 쓰레기,질문형,trash-disposal,yes,9.7,A,HIGH,APPLIED,"A등급 재판정: score 9.7, 대표 키워드+의도 포함, 충돌 없음"
24,2026-08-07-lifestyle-auto-6e452d,https://honsamnote.co.kr/blog/2026-08-07-lifestyle-auto-6e452d/,"혼자 사는 직장인, 낯선 이웃이 자꾸 말 걸고 다가올 때? 적정 거리 지키며 관계 최적화하는 실전 가이드",이웃 부담 알아보기｜낯선 이웃,이웃 부담,질문형,neighbor-noise,yes,9.7,A,HIGH,APPLIED,"A등급 재판정: score 9.7, 대표 키워드+의도 포함, 충돌 없음"
25,2026-07-29-cost-1,https://honsamnote.co.kr/blog/2026-07-29-cost-1/,"월급날 한숨만? 1인 가구 직장인의 한 달 고정비, 이대로 따라 하면 무조건 줄어듭니다",1인 가구 고정비 비용 정리｜고정비 줄이는 방법,1인 가구 고정비,비용형,general-living-cost,yes,9.5,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
26,2026-07-30-cost-6,https://honsamnote.co.kr/blog/2026-07-30-cost-6/,"내 돈 새는 줄도 몰랐죠? 1인 가구 직장인, 숨은 보험료 줄이는 3단계 점검법",1인 가구 보험 체크리스트｜보험료 아끼는 법,1인 가구 보험,체크형,general-living-cost,no,9.5,A,HIGH,APPLIED,"A등급 재판정: score 9.5, 대표 키워드+의도 포함, 충돌 없음"
27,2026-08-06-food-auto-06029f,https://honsamnote.co.kr/blog/2026-08-06-food-auto-06029f/,"혼자 사는 직장인, 첫 요리에 어떤 양념 살지 막막할 때? 낭비 없이 우리 집 만능 양념통 만드는 현실적인 기준",1인 가구 양념 기준｜필수 양념,1인 가구 양념,판단형,solo-cooking-tips,yes,9.5,A,HIGH,APPLIED,"A등급 재판정: score 9.5, 대표 키워드+의도 포함, 충돌 없음"
28,2026-08-10-storage-auto-0a8470,https://honsamnote.co.kr/blog/2026-08-10-storage-auto-0a8470/,"1인 가구 직장인, 좁은 집에 엉킨 충전 케이블·이어폰 때문에 스트레스라면? 깔끔하게 정리하고 바로 찾아 쓰는 현실 수납법",1인 가구 케이블 정리 알아보기｜충전기 수납,1인 가구 케이블 정리,질문형,cable-small-items,yes,9.5,A,HIGH,APPLIED,"A등급 재판정: score 9.4, 대표 키워드+의도 포함, 충돌 없음"
29,2026-08-06-cleaning-auto-ba24cc,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-ba24cc/,"혼자 사는 당신, 설거지 후 주방 싱크대 물이 안 내려가? 지금 당장 막힌 배수구 뻥 뚫는 현실적인 솔루션",싱크대 막혔을 때 알아보기｜배수구 뚫는 법,싱크대 막혔을 때,질문형,bathroom-cleaning,no,9.4,A,HIGH,APPLIED,"A등급 재판정: score 9.4, 대표 키워드+의도 포함, 충돌 없음"
30,2026-08-08-cleaning-auto-a279f2,https://honsamnote.co.kr/blog/2026-08-08-cleaning-auto-a279f2/,"혼자 사는 당신, 쌓이는 설거지 스트레스! 손 설거지 vs 미니 식기세척기, 현명한 선택 기준",1인 가구 설거지 비교｜식기세척기 장단점,1인 가구 설거지,비교형,kitchen-cleaning,no,9.4,A,HIGH,APPLIED,"A등급 재판정: score 9.4, 대표 키워드+의도 포함, 충돌 없음"
31,2026-08-08-cleaning-auto-a4c61f,https://honsamnote.co.kr/blog/2026-08-08-cleaning-auto-a4c61f/,"혼자 사는 당신, 가습기/제습기 속 검은 물때와 퀴퀴한 냄새? 15분 만에 세균 걱정 없이 쾌적하게 만드는 현실 솔루션",가습기 물때 알아보기｜제습기 냄새,가습기 물때,질문형,bathroom-cleaning,no,9.4,A,HIGH,APPLIED,"A등급 재판정: score 9.4, 대표 키워드+의도 포함, 충돌 없음"
32,2026-07-30-safety-37,https://honsamnote.co.kr/blog/2026-07-30-safety-37/,나 혼자 사는 집에 불이 났다면? 당황하지 않고 대피하는 5단계 행동 수칙,1인 가구 화재 알아보기｜화재 대피 요령,1인 가구 화재,질문형,fire-prevention,yes,9.3,A,HIGH,APPLIED,"A등급 재판정: score 9.3, 대표 키워드+의도 포함, 충돌 없음"
33,2026-07-30-cleaning-27,https://honsamnote.co.kr/blog/2026-07-30-cleaning-27/,"혼자 사는 당신, 샤워실 배수구 냄새? 퇴근 후 15분 만에 잡는 법",배수구 청소 알아보기｜샤워실 냄새,배수구 청소,질문형,bathroom-cleaning,no,9.1,A,HIGH,APPLIED,"A등급 재판정: score 9.1, 대표 키워드+의도 포함, 충돌 없음"
34,2026-07-30-products-51,https://honsamnote.co.kr/blog/2026-07-30-products-51/,"꿉꿉한 빨래, 좁은 방에 널지 마세요! 1인 가구 직장인을 위한 미니 건조기, 실패 없이 선택하는 법",1인 가구 미니 건조기 방법｜원룸 건조기 추천,1인 가구 미니 건조기,방법형,products-general,no,9.1,A,HIGH,APPLIED,"A등급 재판정: score 9.1, 대표 키워드+의도 포함, 충돌 없음"
35,2026-07-30-products-53,https://honsamnote.co.kr/blog/2026-07-30-products-53/,퇴근 후 음식물 쓰레기 냄새? 1인 가구에 딱 맞는 음식물처리기 현명하게 고르는 법,음식물 쓰레기 처리 방법｜음식물처리기 종류,음식물 쓰레기 처리,방법형,products-general,no,9.1,A,HIGH,APPLIED,"A등급 재판정: score 9.1, 대표 키워드+의도 포함, 충돌 없음"
36,2026-08-06-cost-auto-e8c32b,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-e8c32b/,"혼자 사는 직장인, 예상치 못한 지출에 늘 불안하다면? 나만의 비상금 통장, 어떻게 만들어야 할까?",1인 가구 비상금 알아보기｜생활비 최적화,1인 가구 비상금,질문형,general-living-cost,no,9.1,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
37,2026-08-09-products-auto-b63f8d,https://honsamnote.co.kr/blog/2026-08-09-products-auto-b63f8d/,"혼자 사는 직장인, 좁은 집 꽉 찬 옷장, 계절 옷 수납 때문에 골치 아프다면? 1인 가구 맞춤 계절 옷 보관, 이 3가지 방법으로 공간을 되찾으세요!",1인 가구 옷 정리 방법｜좁은 집 옷 수납,1인 가구 옷 정리,방법형,storage-products,yes,9.1,A,HIGH,APPLIED,"A등급 재판정: score 9.1, 대표 키워드+의도 포함, 충돌 없음"
38,2026-08-10-lifestyle-auto-3e13f1,https://honsamnote.co.kr/blog/2026-08-10-lifestyle-auto-3e13f1/,"혼자 사는 직장인, 휴가 계획할 때 친구들과 갈까 혼자 갈까 고민된다면? 나에게 맞는 여행 스타일 선택 가이드",1인 가구 여행 알아보기｜혼자 여행,1인 가구 여행,질문형,solo-travel-hobby,yes,9.1,A,HIGH,APPLIED,"A등급 재판정: score 9.1, 대표 키워드+의도 포함, 충돌 없음"
39,2026-07-30-cleaning-28,https://honsamnote.co.kr/blog/2026-07-30-cleaning-28/,"퇴근 후 급하게 돌린 빨래, 쉰 냄새 고민 끝! 1인 가구를 위한 초간단 세탁 관리법",빨래 쉰 냄새 제거 해결 방법｜세탁기 냄새,빨래 쉰 냄새 제거,문제해결형,laundry-clothing,yes,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
40,2026-07-30-storage-24,https://honsamnote.co.kr/blog/2026-07-30-storage-24/,"자꾸 쌓이는 물건에 한숨 쉬는 1인 가구라면: '수납 용품, 이거 사야 할까?' 판단하는 3가지 기준",1인 가구 수납 기준｜수납용품 추천,1인 가구 수납,판단형,oneroom-storage,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
41,2026-07-31-cleaning-74,https://honsamnote.co.kr/blog/2026-07-31-cleaning-74/,"퇴근 후 빨래에서 쉰 냄새가 난다고? 세탁기 속 퀴퀴한 곰팡이 냄새, 이렇게 없애세요!",세탁기 냄새 알아보기｜세탁기 청소,세탁기 냄새,질문형,laundry-clothing,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
42,2026-08-01-cleaning-auto-070bfd,https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-070bfd/,"좁은 원룸 빨래 건조, 쉰내와 공간 문제 한 번에? 1인 가구, 빨래 건조대 vs 미니 건조기 현명한 답 찾는 법",1인 가구 빨래 비교｜원룸 빨래 건조,1인 가구 빨래,비교형,laundry-clothing,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
43,2026-08-01-cleaning-auto-2b8bbd,https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-2b8bbd/,"출근길 커피 얼룩, 퇴근 후 저녁 식사 흔적? 혼자 사는 당신의 옷 얼룩, 망치지 않고 빠르게 지우는 법",옷 얼룩 제거 알아보기｜커피 얼룩,옷 얼룩 제거,질문형,laundry-clothing,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
44,2026-08-01-food-auto-2c9171,https://honsamnote.co.kr/blog/2026-08-01-food-auto-2c9171/,"1인 가구 직장인, 대형마트 대용량 식재료 앞에서 망설일 때? 현명하게 구매하고 다 쓰는 전략",1인 가구 장보기 알아보기｜대용량 식재료 활용,1인 가구 장보기,질문형,grocery-shopping,yes,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
45,2026-08-01-food-auto-8c9a71,https://honsamnote.co.kr/blog/2026-08-01-food-auto-8c9a71/,"혼자 사는 직장인, 냉장고 속 식용유와 조미료, 버릴까 말까? 알뜰하게 다 쓰는 보관법",1인 가구 식용유 보관 알아보기｜식용유 유통기한,1인 가구 식용유 보관,질문형,food-waste,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
46,2026-08-01-safety-auto-835af8,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-835af8/,"혼자 사는 당신, 보일러나 난방기 사용 중 갑자기 어지럽고 메스꺼울 때? 침묵의 살인자 일산화탄소 대처법",일산화탄소 중독 알아보기｜보일러 안전,일산화탄소 중독,질문형,emergency-response,no,9,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
47,2026-08-01-safety-auto-a71046,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-a71046/,"혼자 사는 당신, 늦은 밤 집 문 앞에서 열쇠를 잃어버렸을 때 안전하게 귀가하고 문을 여는 방법",혼자 살 때 열쇠 분실 방법｜늦은 밤 문 잠김,혼자 살 때 열쇠 분실,방법형,emergency-response,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
48,2026-08-01-storage-auto-316ab0,https://honsamnote.co.kr/blog/2026-08-01-storage-auto-316ab0/,"좁은 원룸, 물건은 많은데 더 답답해 보이긴 싫다면? 오픈형 vs 문 있는 수납장, 현명하게 고르는 기준",1인 가구 수납 비교｜좁은 집 수납,1인 가구 수납,비교형,oneroom-storage,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
49,2026-08-04-cleaning-auto-123d17,https://honsamnote.co.kr/blog/2026-08-04-cleaning-auto-123d17/,"혼자 사는 당신, 아끼던 니트/티셔츠가 빨래 후 줄어들거나 늘어났다고? 망가진 옷 되살리고 예방하는 현실적인 솔루션",옷 줄었을 때 알아보기｜옷 늘어났을 때,옷 줄었을 때,질문형,laundry-clothing,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
50,2026-08-04-cost-auto-959521,https://honsamnote.co.kr/blog/2026-08-04-cost-auto-959521/,"혼자 사는 직장인, 집밥 먹고 싶은데 매번 고민된다면? 밀키트 vs 직접 요리 vs 간편식, 내게 맞는 최적의 선택은?",혼자 사는 직장인 식비 비교｜밀키트 추천,혼자 사는 직장인 식비,비교형,general-living-cost,no,9,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
51,2026-08-06-cleaning-auto-eb5789,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-eb5789/,"혼자 사는 당신, 매일 쓰는 세탁기, 속까지 깨끗하게 관리하고 있나요? 세탁 효율 높이고 고장 막는 구석구석 청소 가이드",세탁기 청소 주기 방법｜세탁기 냄새,세탁기 청소 주기,방법형,laundry-clothing,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
52,2026-08-06-cleaning-auto-f4b529,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-f4b529/,"혼자 사는 당신, 빨래 망치는 습관 아직도? 옷감 손상 없이 세탁하는 스마트 분리 세탁법",1인 가구 빨래 알아보기｜옷감 손상 방지,1인 가구 빨래,질문형,laundry-clothing,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
53,2026-08-08-cleaning-auto-e6a45e,https://honsamnote.co.kr/blog/2026-08-08-cleaning-auto-e6a45e/,"혼자 사는 당신, 세탁 후에도 옷에서 쿰쿰한 냄새? 세탁기 고무패킹과 세제 투입구 곰팡이, 딱 15분이면 끝!",세탁기 냄새 알아보기｜세탁기 곰팡이,세탁기 냄새,질문형,laundry-clothing,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
54,2026-08-08-safety-auto-84a0bd,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-84a0bd/,"혼자 사는 당신, 주방이나 보일러실에서 가스 냄새가 희미하게 날 때: 당황하지 않고 안전하게 확인하고 대처하는 현실적인 방법",1인 가구 가스 냄새 방법｜가스 누출,1인 가구 가스 냄새,방법형,gas-safety,yes,9,A,HIGH,APPLIED,"A등급 재판정: score 8.9, 대표 키워드+의도 포함, 충돌 없음"
55,2026-08-08-storage-auto-9dbb87,https://honsamnote.co.kr/blog/2026-08-08-storage-auto-9dbb87/,"1인 가구 직장인, 좁은 욕실 세면대·선반 위 '화장품·세면도구' 넘쳐난다면? 깔끔하게 숨기고 효율적으로 쓰는 현실 수납법",1인 가구 욕실 수납 알아보기｜좁은 욕실 정리,1인 가구 욕실 수납,질문형,bathroom-storage,yes,9,A,HIGH,APPLIED,"A등급 재판정: score 8.9, 대표 키워드+의도 포함, 충돌 없음"
56,2026-08-10-cleaning-auto-aeb4a0,https://honsamnote.co.kr/blog/2026-08-10-cleaning-auto-aeb4a0/,"혼자 사는 당신, 좁은 집에서 빨래가 축축하고 냄새난다고요? 소형 건조기 vs 스마트 건조대, 후회 없는 선택 기준",1인 가구 빨래 비교｜좁은 집 빨래,1인 가구 빨래,비교형,laundry-clothing,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
57,2026-08-10-products-auto-b0092a,https://honsamnote.co.kr/blog/2026-08-10-products-auto-b0092a/,"혼자 사는 직장인, 퇴근 후 간편하고 맛있는 요리, 어떤 조리 기구가 답일까? 에어프라이어 vs 전자레인지, 내게 맞는 최적의 선택은?",1인 가구 에어프라이어 비교｜주방 가전 추천,1인 가구 에어프라이어,비교형,kitchen-appliances,yes,9,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
58,2026-08-10-storage-auto-046a46,https://honsamnote.co.kr/blog/2026-08-10-storage-auto-046a46/,"1인 가구 직장인, 현관 한 켠 ‘애매하게 쌓이는 장바구니’ 때문에 스트레스라면? 깔끔하게 정리하고 필요할 때 바로 꺼내 쓰는 현실 수납법",1인 가구 장바구니 수납 알아보기｜에코백 정리,1인 가구 장바구니 수납,질문형,oneroom-storage,no,9,A,HIGH,APPLIED,"A등급 재판정: score 9.0, 대표 키워드+의도 포함, 충돌 없음"
59,2026-08-01-products-auto-7e3829,https://honsamnote.co.kr/blog/2026-08-01-products-auto-7e3829/,"혼자 사는 직장인, 가구·가전제품 폐기 막막하다면? 대형 폐기물 현명하게 버리는 4가지 방법 비교",1인 가구 폐기물 비교｜대형 폐기물 처리,1인 가구 폐기물,비교형,products-general,no,8.9,A,HIGH,APPLIED,"A등급 재판정: score 8.9, 대표 키워드+의도 포함, 충돌 없음"
60,2026-08-06-cleaning-auto-17f2ed,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-17f2ed/,"혼자 사는 당신, 세탁 세제 유목민 탈출! 액체·분말·캡슐, 나에게 맞는 현명한 선택 기준",1인 가구 세제 기준｜세탁 세제 추천,1인 가구 세제,판단형,laundry-clothing,no,8.9,A,HIGH,APPLIED,"A등급 재판정: score 8.9, 대표 키워드+의도 포함, 충돌 없음"
61,2026-08-06-food-auto-9e2cfe,https://honsamnote.co.kr/blog/2026-08-06-food-auto-9e2cfe/,"1인 가구 직장인, 냉장고 속 개봉한 소스·반찬류, 언제까지 먹어야 할지 헷갈릴 때? 버리지 않고 안전하게 끝까지 다 먹는 법",개봉 후 유통기한 알아보기｜소스 보관법,개봉 후 유통기한,질문형,food-waste,no,8.9,A,HIGH,APPLIED,"A등급 재판정: score 8.9, 대표 키워드+의도 포함, 충돌 없음"
