source_slug,source_title,target_slug,target_title,relevance_score,relation_type,reason
2026-07-30-storage-24,"자꾸 쌓이는 물건에 한숨 쉬는 1인 가구라면: '수납 용품, 이거 사야 할까?' 판단하는 3가지 기준",2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-31-cleaning-68,"퇴근 후 발견한 화장실 날벌레, 하룻밤 만에 뿌리 뽑는 현실적인 초고속 퇴치법",2026-07-30-cleaning-25,"퇴근 후 지친 1인 가구, 10분씩 쪼개서 끝내는 주간 청소 루틴",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-31-cleaning-68,"퇴근 후 발견한 화장실 날벌레, 하룻밤 만에 뿌리 뽑는 현실적인 초고속 퇴치법",2026-07-30-cleaning-28,"퇴근 후 급하게 돌린 빨래, 쉰 냄새 고민 끝! 1인 가구를 위한 초간단 세탁 관리법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-31-cleaning-74,"퇴근 후 빨래에서 쉰 냄새가 난다고? 세탁기 속 퀴퀴한 곰팡이 냄새, 이렇게 없애세요!",2026-07-30-cleaning-25,"퇴근 후 지친 1인 가구, 10분씩 쪼개서 끝내는 주간 청소 루틴",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-07-31-cleaning-74,"퇴근 후 빨래에서 쉰 냄새가 난다고? 세탁기 속 퀴퀴한 곰팡이 냄새, 이렇게 없애세요!",2026-07-30-cleaning-26,"퇴근 후 마주한 눅눅한 욕실, 1인 가구 화장실 곰팡이, 딱 30분이면 끝내는 완벽 제거 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-cleaning-auto-b67a07,1인 가구 세탁 비교｜대형 이불 세탁,2026-07-30-cleaning-25,"퇴근 후 지친 1인 가구, 10분씩 쪼개서 끝내는 주간 청소 루틴",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-cost-auto-0d71f8,"혼자 사는 직장인, 배달 앱 유료 멤버십, 나에게 진짜 이득일까? 손익분기점 계산해 후회 없이 결정하는 법",2026-07-30-cost-2,"혼자 사는 직장인, 예상치 못한 공과금 폭탄 피하는 전기·가스·수도 요금 절약 실전 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-cost-auto-0d71f8,"혼자 사는 직장인, 배달 앱 유료 멤버십, 나에게 진짜 이득일까? 손익분기점 계산해 후회 없이 결정하는 법",2026-07-30-cost-3,"혼자 사는 직장인, 통신비 월 2만원 아끼는 알뜰폰+인터넷 vs 3사 결합, 현명한 선택 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-cost-auto-44803f,"혼자 사는 직장인, 매년 놓치는 연말정산 환급금! 내 돈 최대로 돌려받는 실전 가이드",2026-07-30-cost-2,"혼자 사는 직장인, 예상치 못한 공과금 폭탄 피하는 전기·가스·수도 요금 절약 실전 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-cost-auto-44803f,"혼자 사는 직장인, 매년 놓치는 연말정산 환급금! 내 돈 최대로 돌려받는 실전 가이드",2026-07-30-cost-3,"혼자 사는 직장인, 통신비 월 2만원 아끼는 알뜰폰+인터넷 vs 3사 결합, 현명한 선택 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-cost-auto-8e14b1,"혼자 사는 직장인, 대용량 생필품/식료품, 사야 할까? 말아야 할까? 내게 맞는 구매 기준 3단계",2026-07-30-cost-2,"혼자 사는 직장인, 예상치 못한 공과금 폭탄 피하는 전기·가스·수도 요금 절약 실전 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-housing-auto-1c1518,"혼자 사는 직장인, 이사 갈 때 대형 폐기물 처리? 시간과 돈 아끼는 3가지 선택 비교",2026-07-30-housing-42,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-housing-auto-abec0f,"내 첫 전월세 계약 만료, 집주인 무리한 요구에 당황? 계약갱신청구권으로 당당하게 대처하는 법",2026-07-30-housing-42,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-housing-auto-abec0f,"내 첫 전월세 계약 만료, 집주인 무리한 요구에 당황? 계약갱신청구권으로 당당하게 대처하는 법",2026-07-30-housing-43,"첫 관리비 고지서, 뭉뚱그려진 금액에 헷갈리는 1인 가구? 내 돈 지키는 항목별 확인법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-housing-auto-ace922,"혼자 사는 직장인, 살던 집 주인이 바뀌었다고 연락 왔을 때? 내 보증금 지키고 계약 유지하는 똑똑한 대처법",2026-07-30-housing-42,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-housing-auto-ace922,"혼자 사는 직장인, 살던 집 주인이 바뀌었다고 연락 왔을 때? 내 보증금 지키고 계약 유지하는 똑똑한 대처법",2026-07-30-housing-43,"첫 관리비 고지서, 뭉뚱그려진 금액에 헷갈리는 1인 가구? 내 돈 지키는 항목별 확인법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-housing-auto-ecfb76,"혼자 사는 직장인, 갑자기 이사 가야 할 때? 전월세 계약 중도 해지, 손해 최소화하는 현명한 대처법",2026-07-30-housing-42,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-housing-auto-ecfb76,"혼자 사는 직장인, 갑자기 이사 가야 할 때? 전월세 계약 중도 해지, 손해 최소화하는 현명한 대처법",2026-07-30-housing-43,"첫 관리비 고지서, 뭉뚱그려진 금액에 헷갈리는 1인 가구? 내 돈 지키는 항목별 확인법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-lifestyle-auto-19ac88,"혼자 사는 직장인, 주말만 되면 흐트러지는 생활 리듬, 무너지지 않고 재정비하는 현실 가이드",2026-07-30-lifestyle-61,"혼자 사는 직장인, 퇴근 후 찾아오는 쓸쓸함을 현명하게 다루는 3단계 루틴",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-lifestyle-auto-37c919,"1인 가구 직장인, 북적이던 집이 조용해질 때 찾아오는 허전함, 능숙하게 다루는 회복 루틴",2026-07-30-lifestyle-59,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-lifestyle-auto-976633,"1인 가구 직장인, '혼자라서 시간 많지?' 오해에 지쳤다면? 퇴근 후 내 시간 지키는 현명한 거절법",2026-07-30-lifestyle-59,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-lifestyle-auto-a6f950,"혼자 사는 직장인, 경조사 챙기기가 막막하다면? 시간과 에너지를 아끼는 스마트 가이드",2026-07-30-lifestyle-59,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-lifestyle-auto-a6f950,"혼자 사는 직장인, 경조사 챙기기가 막막하다면? 시간과 에너지를 아끼는 스마트 가이드",2026-07-30-lifestyle-60,주말 무기력 해결 방법｜주말 계획,1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-lifestyle-auto-ac59b7,혼자 사는 직장인 관계 알아보기｜친구 약속 피로,2026-07-30-lifestyle-60,주말 무기력 해결 방법｜주말 계획,1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-lifestyle-auto-ac59b7,혼자 사는 직장인 관계 알아보기｜친구 약속 피로,2026-07-30-lifestyle-62,"퇴근 후 혼밥이 귀찮은 1인 가구, 매일 끼니 거르지 않고 건강 챙기는 현실적인 식사 루틴",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-safety-auto-0466e2,"혼자 사는 당신, 집에서 갑자기 쓰러지거나 움직일 수 없을 때? 스마트 응급 호출 시스템, 나에게 정말 필요할까?",2026-07-30-safety-35,"혼자 사는 당신, 늦은 밤 퇴근 후 불안한 현관 보안 이대로 강화하세요",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-safety-auto-0e6262,일산화탄소 중독 해결 방법｜보일러 이상,2026-07-30-safety-35,"혼자 사는 당신, 늦은 밤 퇴근 후 불안한 현관 보안 이대로 강화하세요",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-storage-auto-316ab0,"좁은 원룸, 물건은 많은데 더 답답해 보이긴 싫다면? 오픈형 vs 문 있는 수납장, 현명하게 고르는 기준",2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-storage-auto-39ae63,"좁은 원룸 1인 가구, 커다란 청소 도구와 공구, 어디에 두어야 할지 막막하다면? 깔끔하게 숨기고 효율적으로 쓰는 현실 수납법",2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-storage-auto-499287,"베란다 없는 원룸러, 방 한가운데 빨래 건조대? 최소 공간으로 '빨래 지옥' 끝내는 법",2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-storage-auto-4eec70,1인 가구 욕실 정리 비교｜원룸 욕실 수납,2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-storage-auto-4eec70,1인 가구 욕실 정리 비교｜원룸 욕실 수납,2026-07-30-storage-20,"바쁜 1인 가구 직장인, 퇴근 후에도 어지러운 주방? 딱 3단계로 끝내는 현실적인 정리법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-storage-auto-f1fb81,"1인 가구 직장인, 큰 물건 둘 곳 없어 발에 걸린다면? '자주 쓰는 부피 큰 짐' 숨기는 현실 수납법",2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-01-storage-auto-f1fb81,"1인 가구 직장인, 큰 물건 둘 곳 없어 발에 걸린다면? '자주 쓰는 부피 큰 짐' 숨기는 현실 수납법",2026-07-30-storage-20,"바쁜 1인 가구 직장인, 퇴근 후에도 어지러운 주방? 딱 3단계로 끝내는 현실적인 정리법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-cost-auto-4d199c,교통비 비교｜대중교통,2026-07-30-cost-2,"혼자 사는 직장인, 예상치 못한 공과금 폭탄 피하는 전기·가스·수도 요금 절약 실전 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-cost-auto-4d199c,교통비 비교｜대중교통,2026-07-30-cost-3,"혼자 사는 직장인, 통신비 월 2만원 아끼는 알뜰폰+인터넷 vs 3사 결합, 현명한 선택 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-food-auto-f85a75,"1인 가구, '이거 왜 샀지?' 냉장고 속 낯선 식재료, 버릴까 말까? 알뜰하게 다 쓰는 활용법",2026-07-29-food-9,퇴근 후 지쳐도 괜찮아: 1인 가구 직장인이 냉장고 털어 일주일 식단을 미리 짜는 현실적인 방법,1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-food-auto-f85a75,"1인 가구, '이거 왜 샀지?' 냉장고 속 낯선 식재료, 버릴까 말까? 알뜰하게 다 쓰는 활용법",2026-07-30-food-10,"퇴근 후 요리 스트레스 줄여줄 1인 가구 필수템, 식재료 소분과 냉동 보관 완벽 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-housing-auto-5b4f05,"혼자 사는 직장인, 이사 당일 보증금 못 받을 위기? 당황 말고 내 돈 지키는 3단계 대처법",2026-07-30-housing-42,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-housing-auto-e4e5c4,"혼자 사는 직장인, 이사 전 빈집 점검 소홀하면 보증금 날릴 수도! 꼼꼼하게 현장 확인하는 순서",2026-07-30-housing-42,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-housing-auto-e4e5c4,"혼자 사는 직장인, 이사 전 빈집 점검 소홀하면 보증금 날릴 수도! 꼼꼼하게 현장 확인하는 순서",2026-07-30-housing-43,"첫 관리비 고지서, 뭉뚱그려진 금액에 헷갈리는 1인 가구? 내 돈 지키는 항목별 확인법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-housing-auto-f53851,"혼자 사는 직장인, 빈집 vs 풀옵션 원룸/오피스텔, 뭘 골라야 현명할까? 시간과 돈 아끼는 최적의 선택 가이드",2026-07-30-housing-42,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-lifestyle-auto-7c20c0,"혼자 사는 직장인, 한동안 쉬었던 모임 다시 시작하려니 어색하고 부담스럽다면? 관계 회복을 위한 현실적인 첫걸음",2026-07-30-lifestyle-59,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-lifestyle-auto-7c20c0,"혼자 사는 직장인, 한동안 쉬었던 모임 다시 시작하려니 어색하고 부담스럽다면? 관계 회복을 위한 현실적인 첫걸음",2026-07-30-lifestyle-60,주말 무기력 해결 방법｜주말 계획,1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-lifestyle-auto-dfa23e,"혼자 사는 직장인, 명절·연말연시 찾아오는 외로움, 나만의 방식으로 즐겁게 대비하는 법",2026-07-30-lifestyle-60,주말 무기력 해결 방법｜주말 계획,1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-lifestyle-auto-dfa23e,"혼자 사는 직장인, 명절·연말연시 찾아오는 외로움, 나만의 방식으로 즐겁게 대비하는 법",2026-07-30-lifestyle-62,"퇴근 후 혼밥이 귀찮은 1인 가구, 매일 끼니 거르지 않고 건강 챙기는 현실적인 식사 루틴",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-safety-auto-75476d,1인 가구 지진 방법｜지진 대피 요령,2026-07-30-safety-35,"혼자 사는 당신, 늦은 밤 퇴근 후 불안한 현관 보안 이대로 강화하세요",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-storage-auto-45d4eb,1인 가구 수납 비교｜좁은 집 이불,2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-storage-auto-45d4eb,1인 가구 수납 비교｜좁은 집 이불,2026-07-30-storage-20,"바쁜 1인 가구 직장인, 퇴근 후에도 어지러운 주방? 딱 3단계로 끝내는 현실적인 정리법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-storage-auto-747118,"1인 가구 직장인, 좁은 주방 '가끔 쓰는 소형 가전' 공간만 차지한다면? '이것'부터 확인하고 똑똑하게 수납하는 법",2026-07-30-storage-17,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-03-storage-auto-747118,"1인 가구 직장인, 좁은 주방 '가끔 쓰는 소형 가전' 공간만 차지한다면? '이것'부터 확인하고 똑똑하게 수납하는 법",2026-07-30-storage-18,"퇴근 후 좁은 원룸, 넘쳐나는 계절옷을 깔끔하게 정리하고 보관하는 현실적인 팁",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-04-cleaning-auto-99cb94,"혼자 사는 당신, 퇴근 후 끈적이는 바닥? 손 걸레질 vs 스팀 청소기, 후회 없는 선택 기준",2026-07-30-cleaning-25,"퇴근 후 지친 1인 가구, 10분씩 쪼개서 끝내는 주간 청소 루틴",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-04-cleaning-auto-99cb94,"혼자 사는 당신, 퇴근 후 끈적이는 바닥? 손 걸레질 vs 스팀 청소기, 후회 없는 선택 기준",2026-07-30-cleaning-26,"퇴근 후 마주한 눅눅한 욕실, 1인 가구 화장실 곰팡이, 딱 30분이면 끝내는 완벽 제거 가이드",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
2026-08-04-lifestyle-auto-8920c5,"혼자 사는 직장인, 친구나 가족을 집으로 초대하고 싶은데 막상 망설여진다면? 부담 없이 즐기는 '우리 집' 초대의 기술",2026-07-30-lifestyle-59,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법",1,next,강한 신호(같은 클러스터/대표 키워드 일치) 없이 카테고리 일치 또는 소수 keyword/tag overlap만으로 연결됨(점수 1)
