cluster,primary_slug,url,title,primary_keyword,has_pillar,cluster_size,incoming_links,outgoing_links,word_count,title_confidence,factcheck_risk,authority_score,status,recommendations
solo-cooking-tips,2026-08-06-food-auto-06029f,https://honsamnote.co.kr/blog/2026-08-06-food-auto-06029f/,1인 가구 양념 기준｜필수 양념,1인 가구 양념,no,2,4,3,944,HIGH,no,74,STRONG,이상 없음
appliance-cleaning,2026-08-06-cleaning-auto-ab8bbf,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-ab8bbf/,에어컨 필터 청소 비교｜에어컨 관리,에어컨 필터 청소,no,2,4,3,1132,HIGH,no,74,STRONG,이상 없음
gas-bill,2026-07-30-cost-2,https://honsamnote.co.kr/blog/2026-07-30-cost-2/,전기세 줄이기 비용 정리｜가스비 절약,전기세 줄이기,no,1,17,2,1281,HIGH,no,76.5,STRONG,이상 없음
kitchen-storage,2026-07-30-storage-20,https://honsamnote.co.kr/blog/2026-07-30-storage-20/,1인 가구 주방 알아보기｜원룸 주방 정리,1인 가구 주방,no,6,32,6,864,MEDIUM,no,77,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
leak-accident,2026-08-01-safety-auto-b177af,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-b177af/,혼자 사는 집 누수 방법｜천장 물샘 대처,혼자 사는 집 누수,no,3,4,4,1312,HIGH,no,77.5,STRONG,이상 없음
appliance-layout,2026-07-30-storage-17,https://honsamnote.co.kr/blog/2026-07-30-storage-17/,원룸 침실 분리 해결 방법｜원룸 거실 분리,원룸 침실 분리,no,2,39,3,1114,HIGH,no,78,STRONG,이상 없음
odor-removal,2026-08-06-cleaning-auto-907063,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-907063/,신발 냄새 제거 알아보기｜신발장 관리,신발 냄새 제거,no,7,9,6,1230,MEDIUM,no,78.5,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
grocery-shopping,2026-08-01-food-auto-2c9171,https://honsamnote.co.kr/blog/2026-08-01-food-auto-2c9171/,1인 가구 장보기 알아보기｜대용량 식재료 활용,1인 가구 장보기,no,7,12,6,1422,MEDIUM,no,78.5,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
management-fee,2026-07-30-housing-43,https://honsamnote.co.kr/blog/2026-07-30-housing-43/,관리비 항목 알아보기｜관리비 확인법,관리비 항목,no,3,12,4,970,HIGH,no,79.5,STRONG,이상 없음
safety-products,2026-08-08-products-auto-613b49,https://honsamnote.co.kr/blog/2026-08-08-products-auto-613b49/,1인 가구 해충 비교｜벌레 퇴치법,1인 가구 해충,no,3,7,4,1457,HIGH,no,79.5,STRONG,이상 없음
pest-control,2026-08-03-safety-auto-273fdf,https://honsamnote.co.kr/blog/2026-08-03-safety-auto-273fdf/,1인 가구 해충 방법｜쥐 퇴치,1인 가구 해충,no,3,6,4,946,HIGH,no,79.5,STRONG,이상 없음
deposit,2026-08-01-housing-auto-c039f6,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-c039f6/,전월세 계약 갱신 방법｜묵시적 갱신,전월세 계약 갱신,no,13,11,6,1104,HIGH,yes,80,STRONG,사실 확인 위험 있음 — 내용 검증 후 권한 부여
cleaning-appliances,2026-08-05-products-auto-7a3772,https://honsamnote.co.kr/blog/2026-08-05-products-auto-7a3772/,1인 가구 청소기 기준｜무선 청소기 추천,1인 가구 청소기,no,5,5,6,1116,HIGH,no,82.5,STRONG,이상 없음
food-waste,2026-07-30-food-13,https://honsamnote.co.kr/blog/2026-07-30-food-13/,배달음식 보관 알아보기｜남은 음식 처리,배달음식 보관,no,28,32,6,1047,MEDIUM,no,83,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
fire-prevention,2026-07-30-safety-37,https://honsamnote.co.kr/blog/2026-07-30-safety-37/,1인 가구 화재 알아보기｜화재 대피 요령,1인 가구 화재,no,10,19,6,1657,MEDIUM,no,83,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
ingredient-storage,2026-08-06-food-auto-38c543,https://honsamnote.co.kr/blog/2026-08-06-food-auto-38c543/,혼자 사는 직장인 냉장고 냄새 알아보기｜냉장고 청소,혼자 사는 직장인 냉장고 냄새,no,10,11,6,1154,MEDIUM,no,83,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
freeze-portion,2026-07-30-food-10,https://honsamnote.co.kr/blog/2026-07-30-food-10/,1인 가구 식재료 해결 방법｜소분 보관,1인 가구 식재료,no,6,16,6,1140,HIGH,no,84,STRONG,이상 없음
cleaning-tools-time,2026-07-30-cleaning-25,https://honsamnote.co.kr/blog/2026-07-30-cleaning-25/,1인 가구 청소 루틴 해결 방법｜퇴근 후 청소,1인 가구 청소 루틴,no,7,23,6,964,HIGH,no,85.5,STRONG,이상 없음
relationship-management,2026-08-01-lifestyle-auto-ab470f,https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-ab470f/,1인 가구 연애 비교｜데이팅 앱,1인 가구 연애,no,7,9,6,1261,HIGH,no,85.5,STRONG,이상 없음
loneliness-isolation,2026-07-30-lifestyle-59,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-59/,"1인 가구 직장인, 퇴근 후나 주말에 혼자 있을 때 자꾸 무기력해진다면? 당신의 생활 리듬을 되찾는 현실적인 방법",1인 가구 무기력,yes,19,33,6,1078,LOW,no,88,STRONG,제목 신뢰도 낮음 — 제목 개선 대상
solo-meal-recipe,2026-07-29-food-9,https://honsamnote.co.kr/blog/2026-07-29-food-9/,1인 가구 식단 방법｜일주일 식단 짜기,1인 가구 식단,no,10,35,6,894,HIGH,no,90,STRONG,이상 없음
lease-contract,2026-07-30-housing-48,https://honsamnote.co.kr/blog/2026-07-30-housing-48/,옵션 가전 고장 해결 방법｜세입자 책임,옵션 가전 고장,no,11,13,6,1194,HIGH,no,90,STRONG,이상 없음
daily-rhythm,2026-07-30-lifestyle-60,https://honsamnote.co.kr/blog/2026-07-30-lifestyle-60/,주말 무기력 해결 방법｜주말 계획,주말 무기력,no,12,26,6,1198,HIGH,no,90,STRONG,이상 없음
lock-security,2026-07-30-safety-35,https://honsamnote.co.kr/blog/2026-07-30-safety-35/,1인 가구 현관 보안 해결 방법｜현관문 잠금,1인 가구 현관 보안,no,10,27,6,2650,HIGH,no,90,STRONG,이상 없음
bathroom-cleaning,2026-07-30-cleaning-26,https://honsamnote.co.kr/blog/2026-07-30-cleaning-26/,1인 가구 화장실 청소 방법｜곰팡이 제거 방법,1인 가구 화장실 청소,yes,14,21,6,1212,HIGH,no,100,STRONG,이상 없음
laundry-clothing,2026-07-30-cleaning-28,https://honsamnote.co.kr/blog/2026-07-30-cleaning-28/,빨래 쉰 냄새 제거 해결 방법｜세탁기 냄새,빨래 쉰 냄새 제거,yes,23,23,6,1381,HIGH,no,100,STRONG,이상 없음
kitchen-cleaning,2026-07-30-cleaning-31,https://honsamnote.co.kr/blog/2026-07-30-cleaning-31/,혼자 사는 집 청소 해결 방법｜주방 기름때 제거,혼자 사는 집 청소,yes,12,14,6,969,HIGH,no,100,STRONG,이상 없음
emergency-response,2026-07-30-safety-33,https://honsamnote.co.kr/blog/2026-07-30-safety-33/,혼자 아플 때 해결 방법｜비상약,혼자 아플 때,yes,42,45,6,1185,HIGH,no,100,STRONG,이상 없음
oneroom-storage,2026-07-30-storage-18,https://honsamnote.co.kr/blog/2026-07-30-storage-18/,계절옷 보관 해결 방법｜좁은 집 수납,계절옷 보관,yes,57,57,6,1026,HIGH,no,100,STRONG,이상 없음
